title,url
UFO Dad (VITA),https://www.metacritic.com/game/playstation-vita/ufo-dad
Ultimate Marvel vs. Capcom 3 (VITA),https://www.metacritic.com/game/playstation-vita/ultimate-marvel-vs-capcom-3
Ultimate Solitaire Collection (VITA),https://www.metacritic.com/game/playstation-vita/ultimate-solitaire-collection
Ultra Mission (VITA),https://www.metacritic.com/game/playstation-vita/ultra-mission
Ultracore (VITA),https://www.metacritic.com/game/playstation-vita/ultracore
Ultratron (VITA),https://www.metacritic.com/game/playstation-vita/ultratron
Uncanny Valley (VITA),https://www.metacritic.com/game/playstation-vita/uncanny-valley
Uncharted: Fight for Fortune (VITA),https://www.metacritic.com/game/playstation-vita/uncharted-fight-for-fortune
Uncharted: Golden Abyss (VITA),https://www.metacritic.com/game/playstation-vita/uncharted-golden-abyss
Under Night In-Birth Exe:Late[st] (VITA),https://www.metacritic.com/game/playstation-vita/under-night-in-birth-exelatest
Underline (VITA),https://www.metacritic.com/game/playstation-vita/underline
Undertale (VITA),https://www.metacritic.com/game/playstation-vita/undertale
Unepic (VITA),https://www.metacritic.com/game/playstation-vita/unepic
Unit 13 (VITA),https://www.metacritic.com/game/playstation-vita/unit-13
Urban Trial Freestyle (VITA),https://www.metacritic.com/game/playstation-vita/urban-trial-freestyle
Utawarerumono: Mask of Deception (VITA),https://www.metacritic.com/game/playstation-vita/utawarerumono-mask-of-deception
Utawarerumono: Mask of Truth (VITA),https://www.metacritic.com/game/playstation-vita/utawarerumono-mask-of-truth
Utawarerumono: Prelude to the Fallen (VITA),https://www.metacritic.com/game/playstation-vita/utawarerumono-prelude-to-the-fallen
