title,url
Waking Violet (VITA),https://www.metacritic.com/game/playstation-vita/waking-violet
Wanderjahr (VITA),https://www.metacritic.com/game/playstation-vita/wanderjahr
Wanted Corp. (VITA),https://www.metacritic.com/game/playstation-vita/wanted-corp
War Theatre (VITA),https://www.metacritic.com/game/playstation-vita/war-theatre
Warfare Shooter (VITA),https://www.metacritic.com/game/playstation-vita/warfare-shooter
Warfare Shooter 2 (VITA),https://www.metacritic.com/game/playstation-vita/warfare-shooter-2
Warlock's Tower (VITA),https://www.metacritic.com/game/playstation-vita/warlocks-tower
Warriors Orochi 3 Ultimate (VITA),https://www.metacritic.com/game/playstation-vita/warriors-orochi-3-ultimate
WE ARE DOOMED (VITA),https://www.metacritic.com/game/playstation-vita/we-are-doomed
When Vikings Attack! (VITA),https://www.metacritic.com/game/playstation-vita/when-vikings-attack!
Whispering Willows (VITA),https://www.metacritic.com/game/playstation-vita/whispering-willows
WindJammers (VITA),https://www.metacritic.com/game/playstation-vita/windjammers
Wing Warriors (VITA),https://www.metacritic.com/game/playstation-vita/wing-warriors
Wipe! (VITA),https://www.metacritic.com/game/playstation-vita/wipe!
Wipeout 2048 (VITA),https://www.metacritic.com/game/playstation-vita/wipeout-2048
Witchcrafty (VITA),https://www.metacritic.com/game/playstation-vita/witchcrafty
Without Escape (VITA),https://www.metacritic.com/game/playstation-vita/without-escape
Wizards of Brandel (VITA),https://www.metacritic.com/game/playstation-vita/wizards-of-brandel
Woah Dave! (VITA),https://www.metacritic.com/game/playstation-vita/woah-dave!
Woodland Walker (VITA),https://www.metacritic.com/game/playstation-vita/woodland-walker
Word Blocked (VITA),https://www.metacritic.com/game/playstation-vita/word-blocked
Word Logic by POWGI (VITA),https://www.metacritic.com/game/playstation-vita/word-logic-by-powgi
Word Maze by POWGI (VITA),https://www.metacritic.com/game/playstation-vita/word-maze-by-powgi
Word Search by POWGI (VITA),https://www.metacritic.com/game/playstation-vita/word-search-by-powgi
Word Sudoku by POWGI (VITA),https://www.metacritic.com/game/playstation-vita/word-sudoku-by-powgi
Word Wheel by POWGI (VITA),https://www.metacritic.com/game/playstation-vita/word-wheel-by-powgi
Wordsweeper by POWGI (VITA),https://www.metacritic.com/game/playstation-vita/wordsweeper-by-powgi
World of Final Fantasy (VITA),https://www.metacritic.com/game/playstation-vita/world-of-final-fantasy
Worms Revolution Extreme (VITA),https://www.metacritic.com/game/playstation-vita/worms-revolution-extreme
WRC 3: FIA World Rally Championship (VITA),https://www.metacritic.com/game/playstation-vita/wrc-3-fia-world-rally-championship
WRC 4: FIA World Rally Championship (VITA),https://www.metacritic.com/game/playstation-vita/wrc-4-fia-world-rally-championship
WRC 5 (VITA),https://www.metacritic.com/game/playstation-vita/wrc-5
Wurroom (VITA),https://www.metacritic.com/game/playstation-vita/wurroom
