title,url
Yetin' Around - Ay carambano! (VITA),https://www.metacritic.com/game/playstation-vita/yetin-around---ay-carambano!
Yomawari: Midnight Shadows (VITA),https://www.metacritic.com/game/playstation-vita/yomawari-midnight-shadows
Yomawari: Night Alone (VITA),https://www.metacritic.com/game/playstation-vita/yomawari-night-alone
You are the Ref (VITA),https://www.metacritic.com/game/playstation-vita/you-are-the-ref
You are the Umpire (VITA),https://www.metacritic.com/game/playstation-vita/you-are-the-umpire
Ys Origin (VITA),https://www.metacritic.com/game/playstation-vita/ys-origin
Ys VIII: Lacrimosa of DANA (VITA),https://www.metacritic.com/game/playstation-vita/ys-viii-lacrimosa-of-dana
Ys: Memories of Celceta (VITA),https://www.metacritic.com/game/playstation-vita/ys-memories-of-celceta
YU-NAMA: The Puzzle (VITA),https://www.metacritic.com/game/playstation-vita/yu-nama-the-puzzle
Yule Log (VITA),https://www.metacritic.com/game/playstation-vita/yule-log
Yumeutsutsu Re:After (VITA),https://www.metacritic.com/game/playstation-vita/yumeutsutsu-reafter
Yumeutsutsu Re:Master (VITA),https://www.metacritic.com/game/playstation-vita/yumeutsutsu-remaster
