title,url
A Day at the Carnival (WIIU),https://www.metacritic.com/game/wii-u/a-day-at-the-carnival
A World of Keflings (WIIU),https://www.metacritic.com/game/wii-u/a-world-of-keflings
Absolutely Unstoppable MineRun (WIIU),https://www.metacritic.com/game/wii-u/absolutely-unstoppable-minerun
Abyss (WIIU),https://www.metacritic.com/game/wii-u/abyss
ACE: Alien Cleanup Elite (WIIU),https://www.metacritic.com/game/wii-u/ace-alien-cleanup-elite
ACT IT OUT! A Game of Charades (WIIU),https://www.metacritic.com/game/wii-u/act-it-out!-a-game-of-charades
Adventure Party: Cats and Caverns (WIIU),https://www.metacritic.com/game/wii-u/adventure-party-cats-and-caverns
Adventure Time: Explore the Dungeon Because I DON'T KNOW! (WIIU),https://www.metacritic.com/game/wii-u/adventure-time-explore-the-dungeon-because-i-dont-know!
Adventure Time: Finn & Jake Investigations (WIIU),https://www.metacritic.com/game/wii-u/adventure-time-finn-jake-investigations
Adventures of Pip (WIIU),https://www.metacritic.com/game/wii-u/adventures-of-pip
Aenigma Os (WIIU),https://www.metacritic.com/game/wii-u/aenigma-os
Affordable Space Adventures (WIIU),https://www.metacritic.com/game/wii-u/affordable-space-adventures
Alice in Wonderland (WIIU),https://www.metacritic.com/game/wii-u/alice-in-wonderland
Alphadia Genesis (WIIU),https://www.metacritic.com/game/wii-u/alphadia-genesis
amiibo Tap: Nintendo's Greatest Bits (WIIU),https://www.metacritic.com/game/wii-u/amiibo-tap-nintendos-greatest-bits
Angry Birds Star Wars (WIIU),https://www.metacritic.com/game/wii-u/angry-birds-star-wars
Angry Birds Trilogy (WIIU),https://www.metacritic.com/game/wii-u/angry-birds-trilogy
Angry Bunnies: Colossal Carrot Crusade (WIIU),https://www.metacritic.com/game/wii-u/angry-bunnies-colossal-carrot-crusade
Angry Video Game Nerd Adventures (WIIU),https://www.metacritic.com/game/wii-u/angry-video-game-nerd-adventures
Animal Crossing Plaza (WIIU),https://www.metacritic.com/game/wii-u/animal-crossing-plaza
Animal Crossing: amiibo Festival (WIIU),https://www.metacritic.com/game/wii-u/animal-crossing-amiibo-festival
Animal Gods (WIIU),https://www.metacritic.com/game/wii-u/animal-gods
Annihilation (WIIU),https://www.metacritic.com/game/wii-u/annihilation
Another World: 20th Anniversary Edition (WIIU),https://www.metacritic.com/game/wii-u/another-world-20th-anniversary-edition
Aperion Cyberstorm (WIIU),https://www.metacritic.com/game/wii-u/aperion-cyberstorm
Aqua Moto Racing Utopia (WIIU),https://www.metacritic.com/game/wii-u/aqua-moto-racing-utopia
Aqua TV (WIIU),https://www.metacritic.com/game/wii-u/aqua-tv
Archery by Thornbury Software (WIIU),https://www.metacritic.com/game/wii-u/archery-by-thornbury-software
Armikrog (WIIU),https://www.metacritic.com/game/wii-u/armikrog
Armillo (WIIU),https://www.metacritic.com/game/wii-u/armillo
Armored ACORNs: Action Squirrel Squad (WIIU),https://www.metacritic.com/game/wii-u/armored-acorns-action-squirrel-squad
Arrow Time U (WIIU),https://www.metacritic.com/game/wii-u/arrow-time-u
Art Academy: Home Studio (WIIU),https://www.metacritic.com/game/wii-u/art-academy-home-studio
Art Academy: SketchPad (WIIU),https://www.metacritic.com/game/wii-u/art-academy-sketchpad
Art of Balance (WIIU),https://www.metacritic.com/game/wii-u/art-of-balance
Ascent of Kings (WIIU),https://www.metacritic.com/game/wii-u/ascent-of-kings
Asdivine Hearts (WIIU),https://www.metacritic.com/game/wii-u/asdivine-hearts
Assassin's Creed III (WIIU),https://www.metacritic.com/game/wii-u/assassins-creed-iii
Assassin's Creed III: The Battle Hardened Pack (WIIU),https://www.metacritic.com/game/wii-u/assassins-creed-iii-the-battle-hardened-pack
Assassin's Creed III: The Hidden Secrets Pack (WIIU),https://www.metacritic.com/game/wii-u/assassins-creed-iii-the-hidden-secrets-pack
Assassin's Creed IV: Black Flag (WIIU),https://www.metacritic.com/game/wii-u/assassins-creed-iv-black-flag
Asteroid Quarry (WIIU),https://www.metacritic.com/game/wii-u/asteroid-quarry
Astral Breakers (WIIU),https://www.metacritic.com/game/wii-u/astral-breakers
Ava and Avior Save the Earth (WIIU),https://www.metacritic.com/game/wii-u/ava-and-avior-save-the-earth
Avoider (WIIU),https://www.metacritic.com/game/wii-u/avoider
Axiom Verge (WIIU),https://www.metacritic.com/game/wii-u/axiom-verge
Azure Snake (WIIU),https://www.metacritic.com/game/wii-u/azure-snake
