title,url
B3 Game Expo For Bees (WIIU),https://www.metacritic.com/game/wii-u/b3-game-expo-for-bees
Back to Bed (WIIU),https://www.metacritic.com/game/wii-u/back-to-bed
BADLAND: Game of the Year Edition (WIIU),https://www.metacritic.com/game/wii-u/badland-game-of-the-year-edition
Baila Latino (WIIU),https://www.metacritic.com/game/wii-u/baila-latino
Ballpoint Universe: Infinite (WIIU),https://www.metacritic.com/game/wii-u/ballpoint-universe-infinite
Barbie and Her Sisters: Puppy Rescue (WIIU),https://www.metacritic.com/game/wii-u/barbie-and-her-sisters-puppy-rescue
Barbie Dreamhouse Party (WIIU),https://www.metacritic.com/game/wii-u/barbie-dreamhouse-party
Batman: Arkham City - Armored Edition (WIIU),https://www.metacritic.com/game/wii-u/batman-arkham-city---armored-edition
Batman: Arkham Origins (WIIU),https://www.metacritic.com/game/wii-u/batman-arkham-origins
Batman: Arkham Origins Blackgate - Deluxe Edition (WIIU),https://www.metacritic.com/game/wii-u/batman-arkham-origins-blackgate---deluxe-edition
Bayonetta (WIIU),https://www.metacritic.com/game/wii-u/bayonetta
Bayonetta + Bayonetta 2 (WIIU),https://www.metacritic.com/game/wii-u/bayonetta-+-bayonetta-2
Bayonetta 2 (WIIU),https://www.metacritic.com/game/wii-u/bayonetta-2
Beatbuddy: Tale of the Guardians (WIIU),https://www.metacritic.com/game/wii-u/beatbuddy-tale-of-the-guardians
Ben 10 Omniverse 2 (WIIU),https://www.metacritic.com/game/wii-u/ben-10-omniverse-2
Ben 10: Omniverse (WIIU),https://www.metacritic.com/game/wii-u/ben-10-omniverse
Bigley's Revenge (WIIU),https://www.metacritic.com/game/wii-u/bigleys-revenge
Bike Rider UltraDX - WORLD TOUR (WIIU),https://www.metacritic.com/game/wii-u/bike-rider-ultradx---world-tour
Bird Mania Party (WIIU),https://www.metacritic.com/game/wii-u/bird-mania-party
Bit Dungeon+ (WIIU),https://www.metacritic.com/game/wii-u/bit-dungeon+
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien (WIIU),https://www.metacritic.com/game/wii-u/bittrip-presentsrunner2-future-legend-of-rhythm-alien
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien - Good Friends Character Pack (WIIU),https://www.metacritic.com/game/wii-u/bittrip-presentsrunner2-future-legend-of-rhythm-alien---good-friends-character-pack
Blackjack 21 (WIIU),https://www.metacritic.com/game/wii-u/blackjack-21
Blasting Agent: Ultimate Edition (WIIU),https://www.metacritic.com/game/wii-u/blasting-agent-ultimate-edition
Blek (WIIU),https://www.metacritic.com/game/wii-u/blek
Bloc (WIIU),https://www.metacritic.com/game/wii-u/bloc
Block Zombies! (WIIU),https://www.metacritic.com/game/wii-u/block-zombies!
Blockara (WIIU),https://www.metacritic.com/game/wii-u/blockara
Blocky Bot (WIIU),https://www.metacritic.com/game/wii-u/blocky-bot
Blok Drop U (WIIU),https://www.metacritic.com/game/wii-u/blok-drop-u
Blok Drop X: Twisted Fusion (WIIU),https://www.metacritic.com/game/wii-u/blok-drop-x-twisted-fusion
Blue-Collar Astronaut (WIIU),https://www.metacritic.com/game/wii-u/blue-collar-astronaut
Bombing Bastards (WIIU),https://www.metacritic.com/game/wii-u/bombing-bastards
Booty Diver (WIIU),https://www.metacritic.com/game/wii-u/booty-diver
BOX UP (WIIU),https://www.metacritic.com/game/wii-u/box-up
Brave Tank Hero (WIIU),https://www.metacritic.com/game/wii-u/brave-tank-hero
Breakout Defense (WIIU),https://www.metacritic.com/game/wii-u/breakout-defense
Breakout Defense 2 (WIIU),https://www.metacritic.com/game/wii-u/breakout-defense-2
Breezeblox (WIIU),https://www.metacritic.com/game/wii-u/breezeblox
Brick Breaker (WIIU),https://www.metacritic.com/game/wii-u/brick-breaker
BRICK RACE (WIIU),https://www.metacritic.com/game/wii-u/brick-race
BrickBlast U! (WIIU),https://www.metacritic.com/game/wii-u/brickblast-u!
Bridge Constructor Playground (WIIU),https://www.metacritic.com/game/wii-u/bridge-constructor-playground
Brunswick Pro Bowling (WIIU),https://www.metacritic.com/game/wii-u/brunswick-pro-bowling
Bubble Gum Popper (WIIU),https://www.metacritic.com/game/wii-u/bubble-gum-popper
Buddy & Me: Dream Edition (WIIU),https://www.metacritic.com/game/wii-u/buddy-me-dream-edition
