title,url
Cabela's Big Game Hunter: Pro Hunts (WIIU),https://www.metacritic.com/game/wii-u/cabelas-big-game-hunter-pro-hunts
Cabela's Dangerous Hunts 2013 (WIIU),https://www.metacritic.com/game/wii-u/cabelas-dangerous-hunts-2013
Cake Ninja 3: The Legend Continues (WIIU),https://www.metacritic.com/game/wii-u/cake-ninja-3-the-legend-continues
Call of Duty: Black Ops II (WIIU),https://www.metacritic.com/game/wii-u/call-of-duty-black-ops-ii
Call of Duty: Ghosts (WIIU),https://www.metacritic.com/game/wii-u/call-of-duty-ghosts
Call of Nightmare (WIIU),https://www.metacritic.com/game/wii-u/call-of-nightmare
Candy Hoarder (WIIU),https://www.metacritic.com/game/wii-u/candy-hoarder
Canvaleon (WIIU),https://www.metacritic.com/game/wii-u/canvaleon
Captain Toad: Treasure Tracker (WIIU),https://www.metacritic.com/game/wii-u/captain-toad-treasure-tracker
CastleStorm (WIIU),https://www.metacritic.com/game/wii-u/castlestorm
CastleStorm: The Warrior Queen (WIIU),https://www.metacritic.com/game/wii-u/castlestorm-the-warrior-queen
Chariot (WIIU),https://www.metacritic.com/game/wii-u/chariot
Chasing Aurora (WIIU),https://www.metacritic.com/game/wii-u/chasing-aurora
Chasing Dead (WIIU),https://www.metacritic.com/game/wii-u/chasing-dead
Chests O' Booty (WIIU),https://www.metacritic.com/game/wii-u/chests-o-booty
Child of Light (WIIU),https://www.metacritic.com/game/wii-u/child-of-light
Chimpuzzle Pro (WIIU),https://www.metacritic.com/game/wii-u/chimpuzzle-pro
Chompy Chomp Chomp Party (WIIU),https://www.metacritic.com/game/wii-u/chompy-chomp-chomp-party
Christmas Adventure of Rocket Penguin (WIIU),https://www.metacritic.com/game/wii-u/christmas-adventure-of-rocket-penguin
Chroma Blast (WIIU),https://www.metacritic.com/game/wii-u/chroma-blast
Chronicles of Teddy: Harmony of Exidus (WIIU),https://www.metacritic.com/game/wii-u/chronicles-of-teddy-harmony-of-exidus
Chubbins (WIIU),https://www.metacritic.com/game/wii-u/chubbins
Citadale - The Legends Trilogy (WIIU),https://www.metacritic.com/game/wii-u/citadale---the-legends-trilogy
Citadale: Gate of Souls (WIIU),https://www.metacritic.com/game/wii-u/citadale-gate-of-souls
Citizens of Earth (WIIU),https://www.metacritic.com/game/wii-u/citizens-of-earth
Cloudberry Kingdom (WIIU),https://www.metacritic.com/game/wii-u/cloudberry-kingdom
Coaster Crazy Deluxe (WIIU),https://www.metacritic.com/game/wii-u/coaster-crazy-deluxe
Cocoto Magic Circus 2 (WIIU),https://www.metacritic.com/game/wii-u/cocoto-magic-circus-2
Collateral Thinking (WIIU),https://www.metacritic.com/game/wii-u/collateral-thinking
Color Bombs (WIIU),https://www.metacritic.com/game/wii-u/color-bombs
COLOR CUBES (WIIU),https://www.metacritic.com/game/wii-u/color-cubes
Color Symphony 2 (WIIU),https://www.metacritic.com/game/wii-u/color-symphony-2
Color Zen (WIIU),https://www.metacritic.com/game/wii-u/color-zen
Color Zen Kids (WIIU),https://www.metacritic.com/game/wii-u/color-zen-kids
Coqui The Game (WIIU),https://www.metacritic.com/game/wii-u/coqui-the-game
Cosmophony (WIIU),https://www.metacritic.com/game/wii-u/cosmophony
Costume Quest 2 (WIIU),https://www.metacritic.com/game/wii-u/costume-quest-2
Crab Cakes Rescue (WIIU),https://www.metacritic.com/game/wii-u/crab-cakes-rescue
Crush Insects (WIIU),https://www.metacritic.com/game/wii-u/crush-insects
Crystorld (WIIU),https://www.metacritic.com/game/wii-u/crystorld
Cube Blitz (WIIU),https://www.metacritic.com/game/wii-u/cube-blitz
Cube Life: Island Survival (WIIU),https://www.metacritic.com/game/wii-u/cube-life-island-survival
Cube Life: Pixel Action Heroes (WIIU),https://www.metacritic.com/game/wii-u/cube-life-pixel-action-heroes
Cubemen 2 (WIIU),https://www.metacritic.com/game/wii-u/cubemen-2
Cubeshift (WIIU),https://www.metacritic.com/game/wii-u/cubeshift
Cubit The Hardcore Platformer Robot HD (WIIU),https://www.metacritic.com/game/wii-u/cubit-the-hardcore-platformer-robot-hd
Cup Critters (WIIU),https://www.metacritic.com/game/wii-u/cup-critters
Cutie Clash (WIIU),https://www.metacritic.com/game/wii-u/cutie-clash
Cutie Pets Go Fishing (WIIU),https://www.metacritic.com/game/wii-u/cutie-pets-go-fishing
Cutie Pets Jump Rope (WIIU),https://www.metacritic.com/game/wii-u/cutie-pets-jump-rope
Cutie Pets Pick Berries (WIIU),https://www.metacritic.com/game/wii-u/cutie-pets-pick-berries
Cycle of Eternity: Space Anomaly (WIIU),https://www.metacritic.com/game/wii-u/cycle-of-eternity-space-anomaly
