title,url
F1 Race Stars: Powered Up Edition (WIIU),https://www.metacritic.com/game/wii-u/f1-race-stars-powered-up-edition
Factotum (WIIU),https://www.metacritic.com/game/wii-u/factotum
Falling Skies: The Game (WIIU),https://www.metacritic.com/game/wii-u/falling-skies-the-game
Family Party: 30 Great Games Obstacle Arcade (WIIU),https://www.metacritic.com/game/wii-u/family-party-30-great-games-obstacle-arcade
Family Tennis SP (WIIU),https://www.metacritic.com/game/wii-u/family-tennis-sp
Fast & Furious: Showdown (WIIU),https://www.metacritic.com/game/wii-u/fast-furious-showdown
FAST Racing NEO (WIIU),https://www.metacritic.com/game/wii-u/fast-racing-neo
Fat City (WIIU),https://www.metacritic.com/game/wii-u/fat-city
Fat Dragons (WIIU),https://www.metacritic.com/game/wii-u/fat-dragons
Fatal Frame: Maiden of Black Water (WIIU),https://www.metacritic.com/game/wii-u/fatal-frame-maiden-of-black-water
FIFA Soccer 13 (WIIU),https://www.metacritic.com/game/wii-u/fifa-soccer-13
FIFTEEN (WIIU),https://www.metacritic.com/game/wii-u/fifteen
Fire: Ungh's Quest (WIIU),https://www.metacritic.com/game/wii-u/fire-unghs-quest
Fist of the North Star: Ken's Rage 2 (WIIU),https://www.metacritic.com/game/wii-u/fist-of-the-north-star-kens-rage-2
Fit Music for Wii U (WIIU),https://www.metacritic.com/game/wii-u/fit-music-for-wii-u
Flapp & Zegeta (WIIU),https://www.metacritic.com/game/wii-u/flapp-zegeta
Flight of Light (WIIU),https://www.metacritic.com/game/wii-u/flight-of-light
Flowerworks HD: Follie's Adventure (WIIU),https://www.metacritic.com/game/wii-u/flowerworks-hd-follies-adventure
Forest Escape (WIIU),https://www.metacritic.com/game/wii-u/forest-escape
forma.8 (WIIU),https://www.metacritic.com/game/wii-u/forma8
Frederic: Resurrection of Music (WIIU),https://www.metacritic.com/game/wii-u/frederic-resurrection-of-music
Free Balling (WIIU),https://www.metacritic.com/game/wii-u/free-balling
Freedom Planet (WIIU),https://www.metacritic.com/game/wii-u/freedom-planet
FreezeME (WIIU),https://www.metacritic.com/game/wii-u/freezeme
Frenchy Bird (WIIU),https://www.metacritic.com/game/wii-u/frenchy-bird
FullBlast (WIIU),https://www.metacritic.com/game/wii-u/fullblast
Funk of Titans (WIIU),https://www.metacritic.com/game/wii-u/funk-of-titans
Funky Barn (WIIU),https://www.metacritic.com/game/wii-u/funky-barn
Funky Physics (WIIU),https://www.metacritic.com/game/wii-u/funky-physics
Futuridium EP Deluxe (WIIU),https://www.metacritic.com/game/wii-u/futuridium-ep-deluxe
