title,url
Gaiabreaker (WIIU),https://www.metacritic.com/game/wii-u/gaiabreaker
Galaxy Blaster (WIIU),https://www.metacritic.com/game/wii-u/galaxy-blaster
Game & Wario (WIIU),https://www.metacritic.com/game/wii-u/game-wario
Game Party Champions (WIIU),https://www.metacritic.com/game/wii-u/game-party-champions
Games for Toddlers (WIIU),https://www.metacritic.com/game/wii-u/games-for-toddlers
Gear Gauntlet (WIIU),https://www.metacritic.com/game/wii-u/gear-gauntlet
Gemology (WIIU),https://www.metacritic.com/game/wii-u/gemology
GEOM (WIIU),https://www.metacritic.com/game/wii-u/geom
GetClose: A game for RIVALS (WIIU),https://www.metacritic.com/game/wii-u/getclose-a-game-for-rivals
Ghost Blade HD (WIIU),https://www.metacritic.com/game/wii-u/ghost-blade-hd
Giana Sisters: Twisted Dreams (WIIU),https://www.metacritic.com/game/wii-u/giana-sisters-twisted-dreams
Giana Sisters: Twisted Dreams - Director's Cut (WIIU),https://www.metacritic.com/game/wii-u/giana-sisters-twisted-dreams---directors-cut
Girls Like Robots (WIIU),https://www.metacritic.com/game/wii-u/girls-like-robots
GravBlocks+ (WIIU),https://www.metacritic.com/game/wii-u/gravblocks+
Gravity Badgers (WIIU),https://www.metacritic.com/game/wii-u/gravity-badgers
Gravity+ (WIIU),https://www.metacritic.com/game/wii-u/gravity+
Guac' a Mole (WIIU),https://www.metacritic.com/game/wii-u/guac-a-mole
Guacamelee! Super Turbo Championship Edition (WIIU),https://www.metacritic.com/game/wii-u/guacamelee!-super-turbo-championship-edition
Guitar Hero Live (WIIU),https://www.metacritic.com/game/wii-u/guitar-hero-live
Gunman Clive HD Collection (WIIU),https://www.metacritic.com/game/wii-u/gunman-clive-hd-collection
