title,url
Hello Kitty Kruisers (WIIU),https://www.metacritic.com/game/wii-u/hello-kitty-kruisers
Heptrix (WIIU),https://www.metacritic.com/game/wii-u/heptrix
High Strangeness (WIIU),https://www.metacritic.com/game/wii-u/high-strangeness
Hive Jump (WIIU),https://www.metacritic.com/game/wii-u/hive-jump
Hold Your Fire: A Game About Responsibility (WIIU),https://www.metacritic.com/game/wii-u/hold-your-fire-a-game-about-responsibility
Horror Stories (WIIU),https://www.metacritic.com/game/wii-u/horror-stories
Hot Rod Racer (WIIU),https://www.metacritic.com/game/wii-u/hot-rod-racer
Hot Wheels: World's Best Driver (WIIU),https://www.metacritic.com/game/wii-u/hot-wheels-worlds-best-driver
How to Survive (WIIU),https://www.metacritic.com/game/wii-u/how-to-survive
Human Resource Machine (WIIU),https://www.metacritic.com/game/wii-u/human-resource-machine
Humanitarian Helicopter (WIIU),https://www.metacritic.com/game/wii-u/humanitarian-helicopter
Hurry Up! Bird Hunter (WIIU),https://www.metacritic.com/game/wii-u/hurry-up!-bird-hunter
Hyrule Warriors (WIIU),https://www.metacritic.com/game/wii-u/hyrule-warriors
Hyrule Warriors: Boss Pack (WIIU),https://www.metacritic.com/game/wii-u/hyrule-warriors-boss-pack
Hyrule Warriors: Majora's Mask Pack (WIIU),https://www.metacritic.com/game/wii-u/hyrule-warriors-majoras-mask-pack
Hyrule Warriors: Master Quest Pack (WIIU),https://www.metacritic.com/game/wii-u/hyrule-warriors-master-quest-pack
Hyrule Warriors: Twilight Princess Pack (WIIU),https://www.metacritic.com/game/wii-u/hyrule-warriors-twilight-princess-pack
