title,url
Jackpot 777 (WIIU),https://www.metacritic.com/game/wii-u/jackpot-777
Jeopardy! (WIIU),https://www.metacritic.com/game/wii-u/jeopardy!
Jett Tailfin (WIIU),https://www.metacritic.com/game/wii-u/jett-tailfin
Jewel Quest (WIIU),https://www.metacritic.com/game/wii-u/jewel-quest
Job the Leprechaun (WIIU),https://www.metacritic.com/game/wii-u/job-the-leprechaun
Joe's Diner (WIIU),https://www.metacritic.com/game/wii-u/joes-diner
Jolt Family Robot Racer (WIIU),https://www.metacritic.com/game/wii-u/jolt-family-robot-racer
Jones On Fire (WIIU),https://www.metacritic.com/game/wii-u/jones-on-fire
Jotun: Valhalla Edition (WIIU),https://www.metacritic.com/game/wii-u/jotun-valhalla-edition
Journey of a Special Average Balloon (WIIU),https://www.metacritic.com/game/wii-u/journey-of-a-special-average-balloon
Just Dance 2014 (French) (WIIU),https://www.metacritic.com/game/wii-u/just-dance-2014-french
Just Dance 2015 (WIIU),https://www.metacritic.com/game/wii-u/just-dance-2015
Just Dance 2016 (WIIU),https://www.metacritic.com/game/wii-u/just-dance-2016
Just Dance 2017 (WIIU),https://www.metacritic.com/game/wii-u/just-dance-2017
Just Dance 2018 (WIIU),https://www.metacritic.com/game/wii-u/just-dance-2018
Just Dance 2019 (WIIU),https://www.metacritic.com/game/wii-u/just-dance-2019
Just Dance 4 (WIIU),https://www.metacritic.com/game/wii-u/just-dance-4
Just Dance Kids 2014 (WIIU),https://www.metacritic.com/game/wii-u/just-dance-kids-2014
Just Dance: Disney Party 2 (WIIU),https://www.metacritic.com/game/wii-u/just-dance-disney-party-2
