title,url
Land it Rocket (WIIU),https://www.metacritic.com/game/wii-u/land-it-rocket
Laser Blaster (WIIU),https://www.metacritic.com/game/wii-u/laser-blaster
Last Soldier (WIIU),https://www.metacritic.com/game/wii-u/last-soldier
Legend of Kay Anniversary (WIIU),https://www.metacritic.com/game/wii-u/legend-of-kay-anniversary
LEGO Batman 2: DC Super Heroes (WIIU),https://www.metacritic.com/game/wii-u/lego-batman-2-dc-super-heroes
LEGO Batman 3: Beyond Gotham (WIIU),https://www.metacritic.com/game/wii-u/lego-batman-3-beyond-gotham
LEGO City Undercover (WIIU),https://www.metacritic.com/game/wii-u/lego-city-undercover
LEGO Dimensions (WIIU),https://www.metacritic.com/game/wii-u/lego-dimensions
LEGO Jurassic World (WIIU),https://www.metacritic.com/game/wii-u/lego-jurassic-world
LEGO Marvel Super Heroes (WIIU),https://www.metacritic.com/game/wii-u/lego-marvel-super-heroes
LEGO Marvel's Avengers (WIIU),https://www.metacritic.com/game/wii-u/lego-marvels-avengers
LEGO Star Wars: The Force Awakens (WIIU),https://www.metacritic.com/game/wii-u/lego-star-wars-the-force-awakens
LEGO The Hobbit (WIIU),https://www.metacritic.com/game/wii-u/lego-the-hobbit
Letter Quest: Grimm's Journey Remastered (WIIU),https://www.metacritic.com/game/wii-u/letter-quest-grimms-journey-remastered
"LEVEL 22, Gary's Misadventures (WIIU)",https://www.metacritic.com/game/wii-u/level-22-garys-misadventures
Life of Pixel (WIIU),https://www.metacritic.com/game/wii-u/life-of-pixel
Little Inferno (WIIU),https://www.metacritic.com/game/wii-u/little-inferno
Lone Survivor: The Director's Cut (WIIU),https://www.metacritic.com/game/wii-u/lone-survivor-the-directors-cut
Lost Reavers (WIIU),https://www.metacritic.com/game/wii-u/lost-reavers
Lovely Planet (WIIU),https://www.metacritic.com/game/wii-u/lovely-planet
Lucadian Chronicles (WIIU),https://www.metacritic.com/game/wii-u/lucadian-chronicles
Lucentek - Activate (WIIU),https://www.metacritic.com/game/wii-u/lucentek---activate
Lucentek Beyond (WIIU),https://www.metacritic.com/game/wii-u/lucentek-beyond
Luv me Buddies Wonderland (WIIU),https://www.metacritic.com/game/wii-u/luv-me-buddies-wonderland
