title,url
Madden NFL 13 (WIIU),https://www.metacritic.com/game/wii-u/madden-nfl-13
Mahjong (WIIU),https://www.metacritic.com/game/wii-u/mahjong
Mahjong Deluxe 3 (WIIU),https://www.metacritic.com/game/wii-u/mahjong-deluxe-3
Mario & Sonic at the Rio 2016 Olympic Games (WIIU),https://www.metacritic.com/game/wii-u/mario-sonic-at-the-rio-2016-olympic-games
Mario & Sonic at the Sochi 2014 Olympic Winter Games (WIIU),https://www.metacritic.com/game/wii-u/mario-sonic-at-the-sochi-2014-olympic-winter-games
Mario Kart 8 (WIIU),https://www.metacritic.com/game/wii-u/mario-kart-8
Mario Kart 8 DLC Pack 1 (WIIU),https://www.metacritic.com/game/wii-u/mario-kart-8-dlc-pack-1
Mario Kart 8 DLC Pack 2 (WIIU),https://www.metacritic.com/game/wii-u/mario-kart-8-dlc-pack-2
Mario Party 10 (WIIU),https://www.metacritic.com/game/wii-u/mario-party-10
Mario Tennis: Ultra Smash (WIIU),https://www.metacritic.com/game/wii-u/mario-tennis-ultra-smash
Mario vs. Donkey Kong: Tipping Stars (WIIU),https://www.metacritic.com/game/wii-u/mario-vs-donkey-kong-tipping-stars
Marvel Avengers: Battle for Earth (WIIU),https://www.metacritic.com/game/wii-u/marvel-avengers-battle-for-earth
Masked Forces (WIIU),https://www.metacritic.com/game/wii-u/masked-forces
Mass Effect 3: Special Edition (WIIU),https://www.metacritic.com/game/wii-u/mass-effect-3-special-edition
Master Reboot (WIIU),https://www.metacritic.com/game/wii-u/master-reboot
Maze (WIIU),https://www.metacritic.com/game/wii-u/maze
Maze Break (WIIU),https://www.metacritic.com/game/wii-u/maze-break
Mega Maze (WIIU),https://www.metacritic.com/game/wii-u/mega-maze
Meme Run (WIIU),https://www.metacritic.com/game/wii-u/meme-run
Midnight (WIIU),https://www.metacritic.com/game/wii-u/midnight
Midnight 2 (WIIU),https://www.metacritic.com/game/wii-u/midnight-2
Midtown Crazy Race (WIIU),https://www.metacritic.com/game/wii-u/midtown-crazy-race
Mighty No. 9 (WIIU),https://www.metacritic.com/game/wii-u/mighty-no-9
Mighty Switch Force! 2 (WIIU),https://www.metacritic.com/game/wii-u/mighty-switch-force!-2
Mighty Switch Force! Hyper Drive Edition (WIIU),https://www.metacritic.com/game/wii-u/mighty-switch-force!-hyper-drive-edition
Miko Mole (WIIU),https://www.metacritic.com/game/wii-u/miko-mole
MikroGame: Rotator (WIIU),https://www.metacritic.com/game/wii-u/mikrogame-rotator
Minecraft: Story Mode - A Telltale Games Series (WIIU),https://www.metacritic.com/game/wii-u/minecraft-story-mode---a-telltale-games-series
Minecraft: Story Mode - A Telltale Games Series - Season Pass (WIIU),https://www.metacritic.com/game/wii-u/minecraft-story-mode---a-telltale-games-series---season-pass
Minecraft: Story Mode - A Telltale Games Series - The Complete Adventure (WIIU),https://www.metacritic.com/game/wii-u/minecraft-story-mode---a-telltale-games-series---the-complete-adventure
Minecraft: Story Mode - Episode 1: The Order of the Stone (WIIU),https://www.metacritic.com/game/wii-u/minecraft-story-mode---episode-1-the-order-of-the-stone
Minecraft: Wii U Edition (WIIU),https://www.metacritic.com/game/wii-u/minecraft-wii-u-edition
Mini-Games Madness Volume: #1 - Hello World! (WIIU),https://www.metacritic.com/game/wii-u/mini-games-madness-volume-1---hello-world!
Mini-Mario & Friends: amiibo Challenge (WIIU),https://www.metacritic.com/game/wii-u/mini-mario-friends-amiibo-challenge
Molly Maggot (WIIU),https://www.metacritic.com/game/wii-u/molly-maggot
Momonga Pinball Adventures (WIIU),https://www.metacritic.com/game/wii-u/momonga-pinball-adventures
Mon Premier Karaoke (WIIU),https://www.metacritic.com/game/wii-u/mon-premier-karaoke
Monkey Pirates (WIIU),https://www.metacritic.com/game/wii-u/monkey-pirates
Monster High: 13 Wishes (WIIU),https://www.metacritic.com/game/wii-u/monster-high-13-wishes
Monster High: New Ghoul in School (WIIU),https://www.metacritic.com/game/wii-u/monster-high-new-ghoul-in-school
Monster Hunter 3 Ultimate (WIIU),https://www.metacritic.com/game/wii-u/monster-hunter-3-ultimate
MOP: Operation Cleanup (WIIU),https://www.metacritic.com/game/wii-u/mop-operation-cleanup
Mortar Melon (WIIU),https://www.metacritic.com/game/wii-u/mortar-melon
Mountain Peak Battle Mess (WIIU),https://www.metacritic.com/game/wii-u/mountain-peak-battle-mess
Mr. Pumpkin Adventure (WIIU),https://www.metacritic.com/game/wii-u/mr-pumpkin-adventure
Mutant Alien Moles of the Dead (WIIU),https://www.metacritic.com/game/wii-u/mutant-alien-moles-of-the-dead
Mutant Mudds Deluxe (WIIU),https://www.metacritic.com/game/wii-u/mutant-mudds-deluxe
Mutant Mudds: Super Challenge (WIIU),https://www.metacritic.com/game/wii-u/mutant-mudds-super-challenge
My Arctic Farm (WIIU),https://www.metacritic.com/game/wii-u/my-arctic-farm
My Exotic Farm (WIIU),https://www.metacritic.com/game/wii-u/my-exotic-farm
My Farm (WIIU),https://www.metacritic.com/game/wii-u/my-farm
My First Songs (WIIU),https://www.metacritic.com/game/wii-u/my-first-songs
My Jurassic Farm (WIIU),https://www.metacritic.com/game/wii-u/my-jurassic-farm
My Style Studio: Hair Salon (WIIU),https://www.metacritic.com/game/wii-u/my-style-studio-hair-salon
My Style Studio: Notebook (WIIU),https://www.metacritic.com/game/wii-u/my-style-studio-notebook
