title,url
Nano Assault Neo (WIIU),https://www.metacritic.com/game/wii-u/nano-assault-neo
NBA 2K13 (WIIU),https://www.metacritic.com/game/wii-u/nba-2k13
Near Earth Objects (WIIU),https://www.metacritic.com/game/wii-u/near-earth-objects
Need for Speed: Most Wanted U (WIIU),https://www.metacritic.com/game/wii-u/need-for-speed-most-wanted-u
Neon Battle (WIIU),https://www.metacritic.com/game/wii-u/neon-battle
NES Remix (WIIU),https://www.metacritic.com/game/wii-u/nes-remix
NES Remix 2 (WIIU),https://www.metacritic.com/game/wii-u/nes-remix-2
NES Remix Pack (WIIU),https://www.metacritic.com/game/wii-u/nes-remix-pack
Never Alone (WIIU),https://www.metacritic.com/game/wii-u/never-alone
New Super Luigi U (WIIU),https://www.metacritic.com/game/wii-u/new-super-luigi-u
New Super Mario Bros. U (WIIU),https://www.metacritic.com/game/wii-u/new-super-mario-bros-u
New Super Mario Bros. U + New Super Luigi U (WIIU),https://www.metacritic.com/game/wii-u/new-super-mario-bros-u-+-new-super-luigi-u
Nihilumbra (WIIU),https://www.metacritic.com/game/wii-u/nihilumbra
Ninja Gaiden 3: Razor's Edge (WIIU),https://www.metacritic.com/game/wii-u/ninja-gaiden-3-razors-edge
Ninja Pizza Girl (WIIU),https://www.metacritic.com/game/wii-u/ninja-pizza-girl
Ninja Strike: Dangerous Dash (WIIU),https://www.metacritic.com/game/wii-u/ninja-strike-dangerous-dash
Nintendo Land (WIIU),https://www.metacritic.com/game/wii-u/nintendo-land
Noitu Love: Devolution (WIIU),https://www.metacritic.com/game/wii-u/noitu-love-devolution
NOVA-111 (WIIU),https://www.metacritic.com/game/wii-u/nova-111
Now I know my ABCs (WIIU),https://www.metacritic.com/game/wii-u/now-i-know-my-abcs
