title,url
Pac-Man and the Ghostly Adventures (WIIU),https://www.metacritic.com/game/wii-u/pac-man-and-the-ghostly-adventures
Pac-Man and the Ghostly Adventures 2 (WIIU),https://www.metacritic.com/game/wii-u/pac-man-and-the-ghostly-adventures-2
Panda Love (WIIU),https://www.metacritic.com/game/wii-u/panda-love
Paparazzi (WIIU),https://www.metacritic.com/game/wii-u/paparazzi
Paper Mario: Color Splash (WIIU),https://www.metacritic.com/game/wii-u/paper-mario-color-splash
Paper Monsters Recut (WIIU),https://www.metacritic.com/game/wii-u/paper-monsters-recut
Paranautical Activity (WIIU),https://www.metacritic.com/game/wii-u/paranautical-activity
Peg Solitaire (WIIU),https://www.metacritic.com/game/wii-u/peg-solitaire
PENTAPUZZLE (WIIU),https://www.metacritic.com/game/wii-u/pentapuzzle
Percy's Predicament (WIIU),https://www.metacritic.com/game/wii-u/percys-predicament
Perpetual Blast (WIIU),https://www.metacritic.com/game/wii-u/perpetual-blast
Petite Zombies (WIIU),https://www.metacritic.com/game/wii-u/petite-zombies
Phineas and Ferb: Quest for Cool Stuff (WIIU),https://www.metacritic.com/game/wii-u/phineas-and-ferb-quest-for-cool-stuff
Piano Teacher (WIIU),https://www.metacritic.com/game/wii-u/piano-teacher
Pic-a-Pix Color (WIIU),https://www.metacritic.com/game/wii-u/pic-a-pix-color
PictoParty (WIIU),https://www.metacritic.com/game/wii-u/pictoparty
Pier Solar and the Great Architects (WIIU),https://www.metacritic.com/game/wii-u/pier-solar-and-the-great-architects
Pikmin 3 (WIIU),https://www.metacritic.com/game/wii-u/pikmin-3
PINBALL (WIIU),https://www.metacritic.com/game/wii-u/pinball
Pinball Breakout (WIIU),https://www.metacritic.com/game/wii-u/pinball-breakout
PING 1.5+ (WIIU),https://www.metacritic.com/game/wii-u/ping-15+
Pirate Pop Plus (WIIU),https://www.metacritic.com/game/wii-u/pirate-pop-plus
Pixel Paint (WIIU),https://www.metacritic.com/game/wii-u/pixel-paint
Pixel Slime U (WIIU),https://www.metacritic.com/game/wii-u/pixel-slime-u
PixelJunk Monsters (WIIU),https://www.metacritic.com/game/wii-u/pixeljunk-monsters
PixelMaker (WIIU),https://www.metacritic.com/game/wii-u/pixelmaker
PixelMaker Studio (WIIU),https://www.metacritic.com/game/wii-u/pixelmaker-studio
PixlCross (WIIU),https://www.metacritic.com/game/wii-u/pixlcross
Placards (WIIU),https://www.metacritic.com/game/wii-u/placards
Plantera (WIIU),https://www.metacritic.com/game/wii-u/plantera
Plenty of Fishies (WIIU),https://www.metacritic.com/game/wii-u/plenty-of-fishies
Pokemon Rumble U (WIIU),https://www.metacritic.com/game/wii-u/pokemon-rumble-u
Poker Dice Solitaire Future (WIIU),https://www.metacritic.com/game/wii-u/poker-dice-solitaire-future
Pokken Tournament (WIIU),https://www.metacritic.com/game/wii-u/pokken-tournament
PONCHO (WIIU),https://www.metacritic.com/game/wii-u/poncho
Preston Sterling (WIIU),https://www.metacritic.com/game/wii-u/preston-sterling
Prism Pets (WIIU),https://www.metacritic.com/game/wii-u/prism-pets
PSIBO (WIIU),https://www.metacritic.com/game/wii-u/psibo
psyscrolr (WIIU),https://www.metacritic.com/game/wii-u/psyscrolr
Puddle (WIIU),https://www.metacritic.com/game/wii-u/puddle
Pumped BMX + (WIIU),https://www.metacritic.com/game/wii-u/pumped-bmx-+
Pure Chess (WIIU),https://www.metacritic.com/game/wii-u/pure-chess
Pushmo World (WIIU),https://www.metacritic.com/game/wii-u/pushmo-world
Puzzle Monkeys (WIIU),https://www.metacritic.com/game/wii-u/puzzle-monkeys
