title,url
Rabbids Land (WIIU),https://www.metacritic.com/game/wii-u/rabbids-land
Race the Sun (WIIU),https://www.metacritic.com/game/wii-u/race-the-sun
Radiantflux: Hyperfractal (WIIU),https://www.metacritic.com/game/wii-u/radiantflux-hyperfractal
Rainbow Snake (WIIU),https://www.metacritic.com/game/wii-u/rainbow-snake
Rakoo & Friends (WIIU),https://www.metacritic.com/game/wii-u/rakoo-friends
Rapala Pro Bass Fishing (WIIU),https://www.metacritic.com/game/wii-u/rapala-pro-bass-fishing
Rayman Legends (WIIU),https://www.metacritic.com/game/wii-u/rayman-legends
Rayman Legends Challenges App (WIIU),https://www.metacritic.com/game/wii-u/rayman-legends-challenges-app
Red Riding Hood (WIIU),https://www.metacritic.com/game/wii-u/red-riding-hood
Regina & Mac (WIIU),https://www.metacritic.com/game/wii-u/regina-mac
Replay: VHS is not dead (WIIU),https://www.metacritic.com/game/wii-u/replay-vhs-is-not-dead
Reptilian Rebellion (WIIU),https://www.metacritic.com/game/wii-u/reptilian-rebellion
Resident Evil: Revelations (WIIU),https://www.metacritic.com/game/wii-u/resident-evil-revelations
Retro Road Rumble (WIIU),https://www.metacritic.com/game/wii-u/retro-road-rumble
Revenant Saga (WIIU),https://www.metacritic.com/game/wii-u/revenant-saga
Rise of the Guardians (WIIU),https://www.metacritic.com/game/wii-u/rise-of-the-guardians
Rock 'N Racing Grand Prix (WIIU),https://www.metacritic.com/game/wii-u/rock-n-racing-grand-prix
Rock 'N Racing Off Road (WIIU),https://www.metacritic.com/game/wii-u/rock-n-racing-off-road
Rock 'N Racing Off Road DX (WIIU),https://www.metacritic.com/game/wii-u/rock-n-racing-off-road-dx
Rock Zombie (WIIU),https://www.metacritic.com/game/wii-u/rock-zombie
Rodea the Sky Soldier (WIIU),https://www.metacritic.com/game/wii-u/rodea-the-sky-soldier
Rorrim (WIIU),https://www.metacritic.com/game/wii-u/rorrim
Roving Rogue (WIIU),https://www.metacritic.com/game/wii-u/roving-rogue
RTO (WIIU),https://www.metacritic.com/game/wii-u/rto
RTO 2 (WIIU),https://www.metacritic.com/game/wii-u/rto-2
Rubik's Cube (WIIU),https://www.metacritic.com/game/wii-u/rubiks-cube
Run Run and Die (WIIU),https://www.metacritic.com/game/wii-u/run-run-and-die
Runbow (WIIU),https://www.metacritic.com/game/wii-u/runbow
RUSH (WIIU),https://www.metacritic.com/game/wii-u/rush
Rynn's Adventure: Trouble in the Enchanted Forest (WIIU),https://www.metacritic.com/game/wii-u/rynns-adventure-trouble-in-the-enchanted-forest
