title,url
Sanatory Hallways (WIIU),https://www.metacritic.com/game/wii-u/sanatory-hallways
Santa Factory (WIIU),https://www.metacritic.com/game/wii-u/santa-factory
SCOOP! Around the World in 80 Spaces (WIIU),https://www.metacritic.com/game/wii-u/scoop!-around-the-world-in-80-spaces
Scram Kitty and His Buddy on Rails (WIIU),https://www.metacritic.com/game/wii-u/scram-kitty-and-his-buddy-on-rails
Scribble (WIIU),https://www.metacritic.com/game/wii-u/scribble
Scribblenauts Unlimited (WIIU),https://www.metacritic.com/game/wii-u/scribblenauts-unlimited
Scribblenauts Unmasked: A DC Comics Adventure (WIIU),https://www.metacritic.com/game/wii-u/scribblenauts-unmasked-a-dc-comics-adventure
SDK Paint (WIIU),https://www.metacritic.com/game/wii-u/sdk-paint
SDK Spriter (WIIU),https://www.metacritic.com/game/wii-u/sdk-spriter
Severed (WIIU),https://www.metacritic.com/game/wii-u/severed
Shadow Archer (WIIU),https://www.metacritic.com/game/wii-u/shadow-archer
Shadow Archery (WIIU),https://www.metacritic.com/game/wii-u/shadow-archery
Shadow Puppeteer (WIIU),https://www.metacritic.com/game/wii-u/shadow-puppeteer
Shakedown Hawaii (WIIU),https://www.metacritic.com/game/wii-u/shakedown-hawaii
Shantae and the Pirate's Curse (WIIU),https://www.metacritic.com/game/wii-u/shantae-and-the-pirates-curse
Shantae: Half-Genie Hero (WIIU),https://www.metacritic.com/game/wii-u/shantae-half-genie-hero
Shantae: Half-Genie Hero - Friends to the End (WIIU),https://www.metacritic.com/game/wii-u/shantae-half-genie-hero---friends-to-the-end
Shantae: Half-Genie Hero - Pirate Queen's Quest (WIIU),https://www.metacritic.com/game/wii-u/shantae-half-genie-hero---pirate-queens-quest
Shantae: Risky's Revenge - Director's Cut (WIIU),https://www.metacritic.com/game/wii-u/shantae-riskys-revenge---directors-cut
Shapes of Gray (WIIU),https://www.metacritic.com/game/wii-u/shapes-of-gray
Shiftlings (WIIU),https://www.metacritic.com/game/wii-u/shiftlings
Shiny The Firefly (WIIU),https://www.metacritic.com/game/wii-u/shiny-the-firefly
Shoot the Ball (WIIU),https://www.metacritic.com/game/wii-u/shoot-the-ball
Shooting Range by Thornbury Software (WIIU),https://www.metacritic.com/game/wii-u/shooting-range-by-thornbury-software
Shooty Space (WIIU),https://www.metacritic.com/game/wii-u/shooty-space
Shovel Knight (WIIU),https://www.metacritic.com/game/wii-u/shovel-knight
Shovel Knight: King of Cards (WIIU),https://www.metacritic.com/game/wii-u/shovel-knight-king-of-cards
Shovel Knight: Plague of Shadows (WIIU),https://www.metacritic.com/game/wii-u/shovel-knight-plague-of-shadows
Shovel Knight: Specter of Torment (WIIU),https://www.metacritic.com/game/wii-u/shovel-knight-specter-of-torment
Shut the Box (WIIU),https://www.metacritic.com/game/wii-u/shut-the-box
Shutshimi (WIIU),https://www.metacritic.com/game/wii-u/shutshimi
Shuttle Rush (WIIU),https://www.metacritic.com/game/wii-u/shuttle-rush
SiNG Party (WIIU),https://www.metacritic.com/game/wii-u/sing-party
Sinister Assistant (WIIU),https://www.metacritic.com/game/wii-u/sinister-assistant
Skeasy (WIIU),https://www.metacritic.com/game/wii-u/skeasy
Sketch Wars (WIIU),https://www.metacritic.com/game/wii-u/sketch-wars
SKORB (WIIU),https://www.metacritic.com/game/wii-u/skorb
Skunky B's Super Slots Saga #1 (WIIU),https://www.metacritic.com/game/wii-u/skunky-bs-super-slots-saga-1
Sky Force Anniversary (WIIU),https://www.metacritic.com/game/wii-u/sky-force-anniversary
Skylanders Giants (WIIU),https://www.metacritic.com/game/wii-u/skylanders-giants
Skylanders Imaginators (WIIU),https://www.metacritic.com/game/wii-u/skylanders-imaginators
Skylanders SuperChargers (WIIU),https://www.metacritic.com/game/wii-u/skylanders-superchargers
Skylanders Swap Force (WIIU),https://www.metacritic.com/game/wii-u/skylanders-swap-force
Skylanders Trap Team (WIIU),https://www.metacritic.com/game/wii-u/skylanders-trap-team
Slender: The Arrival (WIIU),https://www.metacritic.com/game/wii-u/slender-the-arrival
Slots - Pharaoh's Riches (WIIU),https://www.metacritic.com/game/wii-u/slots---pharaohs-riches
SMART Adventures Mission Math (WIIU),https://www.metacritic.com/game/wii-u/smart-adventures-mission-math
Snake Den (WIIU),https://www.metacritic.com/game/wii-u/snake-den
Sniper Elite V2 (WIIU),https://www.metacritic.com/game/wii-u/sniper-elite-v2
Snowball (WIIU),https://www.metacritic.com/game/wii-u/snowball
Solitaire (WIIU),https://www.metacritic.com/game/wii-u/solitaire
Solitaire Dungeon Escape (WIIU),https://www.metacritic.com/game/wii-u/solitaire-dungeon-escape
Sonic & All-Stars Racing Transformed (WIIU),https://www.metacritic.com/game/wii-u/sonic-all-stars-racing-transformed
Sonic Boom: Rise of Lyric (WIIU),https://www.metacritic.com/game/wii-u/sonic-boom-rise-of-lyric
Sonic: Lost World (WIIU),https://www.metacritic.com/game/wii-u/sonic-lost-world
Soon Shine (WIIU),https://www.metacritic.com/game/wii-u/soon-shine
Soul Axiom (WIIU),https://www.metacritic.com/game/wii-u/soul-axiom
Space Hulk (WIIU),https://www.metacritic.com/game/wii-u/space-hulk
Space Hunted (WIIU),https://www.metacritic.com/game/wii-u/space-hunted
Space Hunted: The Lost Levels (WIIU),https://www.metacritic.com/game/wii-u/space-hunted-the-lost-levels
Space Intervention (WIIU),https://www.metacritic.com/game/wii-u/space-intervention
SpaceRoads (WIIU),https://www.metacritic.com/game/wii-u/spaceroads
Spellcaster's Assistant (WIIU),https://www.metacritic.com/game/wii-u/spellcasters-assistant
SPHERE SLICE (WIIU),https://www.metacritic.com/game/wii-u/sphere-slice
SphereZor (WIIU),https://www.metacritic.com/game/wii-u/spherezor
Spheroids (WIIU),https://www.metacritic.com/game/wii-u/spheroids
Spikey Walls (WIIU),https://www.metacritic.com/game/wii-u/spikey-walls
Spin the Bottle: Bumpie's Party (WIIU),https://www.metacritic.com/game/wii-u/spin-the-bottle-bumpies-party
Splashy Duck (WIIU),https://www.metacritic.com/game/wii-u/splashy-duck
Splatoon (WIIU),https://www.metacritic.com/game/wii-u/splatoon
SpongeBob SquarePants: Plankton's Robotic Revenge (WIIU),https://www.metacritic.com/game/wii-u/spongebob-squarepants-planktons-robotic-revenge
Sportsball (WIIU),https://www.metacritic.com/game/wii-u/sportsball
Spot the Differences! Party (WIIU),https://www.metacritic.com/game/wii-u/spot-the-differences!-party
Spy Chameleon (WIIU),https://www.metacritic.com/game/wii-u/spy-chameleon
Squids Odyssey (WIIU),https://www.metacritic.com/game/wii-u/squids-odyssey
Star Fox Guard (WIIU),https://www.metacritic.com/game/wii-u/star-fox-guard
Star Fox Zero (WIIU),https://www.metacritic.com/game/wii-u/star-fox-zero
Star Fox Zero Double Pack (WIIU),https://www.metacritic.com/game/wii-u/star-fox-zero-double-pack
Star Ghost (WIIU),https://www.metacritic.com/game/wii-u/star-ghost
Star Sky (WIIU),https://www.metacritic.com/game/wii-u/star-sky
Star Sky 2 (WIIU),https://www.metacritic.com/game/wii-u/star-sky-2
Star Splash: Shattered Star (WIIU),https://www.metacritic.com/game/wii-u/star-splash-shattered-star
Star Wars Pinball (WIIU),https://www.metacritic.com/game/wii-u/star-wars-pinball
Star Wars Pinball: Balance of the Force (WIIU),https://www.metacritic.com/game/wii-u/star-wars-pinball-balance-of-the-force
Star Wars Pinball: Heroes Within (WIIU),https://www.metacritic.com/game/wii-u/star-wars-pinball-heroes-within
Starwhal (WIIU),https://www.metacritic.com/game/wii-u/starwhal
Stealth Inc 2: A Game of Clones (WIIU),https://www.metacritic.com/game/wii-u/stealth-inc-2-a-game-of-clones
SteamWorld Collection (WIIU),https://www.metacritic.com/game/wii-u/steamworld-collection
SteamWorld Dig (WIIU),https://www.metacritic.com/game/wii-u/steamworld-dig
SteamWorld Heist (WIIU),https://www.metacritic.com/game/wii-u/steamworld-heist
SteamWorld Heist: The Outsider (WIIU),https://www.metacritic.com/game/wii-u/steamworld-heist-the-outsider
STEEL LORDS (WIIU),https://www.metacritic.com/game/wii-u/steel-lords
STEEL RIVALS (WIIU),https://www.metacritic.com/game/wii-u/steel-rivals
Stick it to the Man! (WIIU),https://www.metacritic.com/game/wii-u/stick-it-to-the-man!
Stone Shire (WIIU),https://www.metacritic.com/game/wii-u/stone-shire
Sudoku and Permudoku (WIIU),https://www.metacritic.com/game/wii-u/sudoku-and-permudoku
Sudoku Party (WIIU),https://www.metacritic.com/game/wii-u/sudoku-party
Super Destronaut (WIIU),https://www.metacritic.com/game/wii-u/super-destronaut
Super Destronaut 2: Go Duck Yourself (WIIU),https://www.metacritic.com/game/wii-u/super-destronaut-2-go-duck-yourself
Super Hero Math (WIIU),https://www.metacritic.com/game/wii-u/super-hero-math
Super Mario 3D World (WIIU),https://www.metacritic.com/game/wii-u/super-mario-3d-world
Super Mario Maker (WIIU),https://www.metacritic.com/game/wii-u/super-mario-maker
Super Meat Boy (WIIU),https://www.metacritic.com/game/wii-u/super-meat-boy
SUPER ROBO MOUSE (WIIU),https://www.metacritic.com/game/wii-u/super-robo-mouse
Super Smash Bros. for Nintendo 3DS / Wii U: Mewtwo (WIIU),https://www.metacritic.com/game/wii-u/super-smash-bros-for-nintendo-3ds-wii-u-mewtwo
Super Smash Bros. for Wii U (WIIU),https://www.metacritic.com/game/wii-u/super-smash-bros-for-wii-u
Super Toy Cars (WIIU),https://www.metacritic.com/game/wii-u/super-toy-cars
Super Ultra Star Shooter (WIIU),https://www.metacritic.com/game/wii-u/super-ultra-star-shooter
Surfin' Sam: Attack of the Aqualites (WIIU),https://www.metacritic.com/game/wii-u/surfin-sam-attack-of-the-aqualites
Suspension Railroad Simulator (WIIU),https://www.metacritic.com/game/wii-u/suspension-railroad-simulator
SWAP BLOCKS (WIIU),https://www.metacritic.com/game/wii-u/swap-blocks
Swap Fire (WIIU),https://www.metacritic.com/game/wii-u/swap-fire
Sweetest Thing (WIIU),https://www.metacritic.com/game/wii-u/sweetest-thing
Swords & Soldiers HD (WIIU),https://www.metacritic.com/game/wii-u/swords-soldiers-hd
Swords & Soldiers II (WIIU),https://www.metacritic.com/game/wii-u/swords-soldiers-ii
