title,url
Tabletop Gallery (WIIU),https://www.metacritic.com/game/wii-u/tabletop-gallery
Tachyon Project (WIIU),https://www.metacritic.com/game/wii-u/tachyon-project
Tadpole Treble (WIIU),https://www.metacritic.com/game/wii-u/tadpole-treble
Tallowmere (WIIU),https://www.metacritic.com/game/wii-u/tallowmere
Tank! Tank! Tank! (WIIU),https://www.metacritic.com/game/wii-u/tank!-tank!-tank!
Tap Tap Arcade (WIIU),https://www.metacritic.com/game/wii-u/tap-tap-arcade
Tap Tap Arcade 2 (WIIU),https://www.metacritic.com/game/wii-u/tap-tap-arcade-2
Tekken Tag Tournament 2: Wii U Edition (WIIU),https://www.metacritic.com/game/wii-u/tekken-tag-tournament-2-wii-u-edition
Temple of Yog (WIIU),https://www.metacritic.com/game/wii-u/temple-of-yog
Tengami (WIIU),https://www.metacritic.com/game/wii-u/tengami
Terraria (WIIU),https://www.metacritic.com/game/wii-u/terraria
Teslagrad (WIIU),https://www.metacritic.com/game/wii-u/teslagrad
Teslapunk (WIIU),https://www.metacritic.com/game/wii-u/teslapunk
Test Your Mind (WIIU),https://www.metacritic.com/game/wii-u/test-your-mind
Tetraminos (WIIU),https://www.metacritic.com/game/wii-u/tetraminos
Tetrobot and Co. (WIIU),https://www.metacritic.com/game/wii-u/tetrobot-and-co
The Amazing Spider-Man (WIIU),https://www.metacritic.com/game/wii-u/the-amazing-spider-man
The Amazing Spider-Man 2 (WIIU),https://www.metacritic.com/game/wii-u/the-amazing-spider-man-2
The Beggar's Ride (WIIU),https://www.metacritic.com/game/wii-u/the-beggars-ride
The Binding of Isaac: Rebirth (WIIU),https://www.metacritic.com/game/wii-u/the-binding-of-isaac-rebirth
The Book of Unwritten Tales 2 (WIIU),https://www.metacritic.com/game/wii-u/the-book-of-unwritten-tales-2
The Bridge (WIIU),https://www.metacritic.com/game/wii-u/the-bridge
The Cave (WIIU),https://www.metacritic.com/game/wii-u/the-cave
The Deer God (WIIU),https://www.metacritic.com/game/wii-u/the-deer-god
The Delusions of Von Sottendorff and His Squared Mind (WIIU),https://www.metacritic.com/game/wii-u/the-delusions-of-von-sottendorff-and-his-squared-mind
The Fall (WIIU),https://www.metacritic.com/game/wii-u/the-fall
The First Skunk Bundle (WIIU),https://www.metacritic.com/game/wii-u/the-first-skunk-bundle
The Gem Collector (WIIU),https://www.metacritic.com/game/wii-u/the-gem-collector
The Girl and the Robot (WIIU),https://www.metacritic.com/game/wii-u/the-girl-and-the-robot
The Grumpy Reaper (WIIU),https://www.metacritic.com/game/wii-u/the-grumpy-reaper
The Legend of Zelda: Breath of the Wild (WIIU),https://www.metacritic.com/game/wii-u/the-legend-of-zelda-breath-of-the-wild
The Legend of Zelda: Breath of the Wild - The Champions' Ballad (WIIU),https://www.metacritic.com/game/wii-u/the-legend-of-zelda-breath-of-the-wild---the-champions-ballad
The Legend of Zelda: Breath of the Wild - The Master Trials (WIIU),https://www.metacritic.com/game/wii-u/the-legend-of-zelda-breath-of-the-wild---the-master-trials
The Legend of Zelda: The Wind Waker HD (WIIU),https://www.metacritic.com/game/wii-u/the-legend-of-zelda-the-wind-waker-hd
The Legend of Zelda: Twilight Princess HD (WIIU),https://www.metacritic.com/game/wii-u/the-legend-of-zelda-twilight-princess-hd
The LEGO Movie Videogame (WIIU),https://www.metacritic.com/game/wii-u/the-lego-movie-videogame
The Letter (WIIU),https://www.metacritic.com/game/wii-u/the-letter
The Mysterious Cities of Gold: Secret Paths (WIIU),https://www.metacritic.com/game/wii-u/the-mysterious-cities-of-gold-secret-paths
The Peanuts Movie: Snoopy's Grand Adventure (WIIU),https://www.metacritic.com/game/wii-u/the-peanuts-movie-snoopys-grand-adventure
The Perplexing Orb (WIIU),https://www.metacritic.com/game/wii-u/the-perplexing-orb
The Pinball Arcade (WIIU),https://www.metacritic.com/game/wii-u/the-pinball-arcade
The Quiet Collection (WIIU),https://www.metacritic.com/game/wii-u/the-quiet-collection
The Rivers of Alice (Extended Version) (WIIU),https://www.metacritic.com/game/wii-u/the-rivers-of-alice-extended-version
The Smurfs 2 (WIIU),https://www.metacritic.com/game/wii-u/the-smurfs-2
