title,url
Wall Ball (WIIU),https://www.metacritic.com/game/wii-u/wall-ball
Warriors Orochi 3 Hyper (WIIU),https://www.metacritic.com/game/wii-u/warriors-orochi-3-hyper
Watch Dogs (WIIU),https://www.metacritic.com/game/wii-u/watch-dogs
Wheel of Fortune (WIIU),https://www.metacritic.com/game/wii-u/wheel-of-fortune
Whispering Willows (WIIU),https://www.metacritic.com/game/wii-u/whispering-willows
Wicked Monsters Blast! HD PLUS (WIIU),https://www.metacritic.com/game/wii-u/wicked-monsters-blast!-hd-plus
Wii Fit U (WIIU),https://www.metacritic.com/game/wii-u/wii-fit-u
Wii Party U (WIIU),https://www.metacritic.com/game/wii-u/wii-party-u
Wii Sports Club (WIIU),https://www.metacritic.com/game/wii-u/wii-sports-club
Wii Street U (WIIU),https://www.metacritic.com/game/wii-u/wii-street-u
Wii U Panorama View (WIIU),https://www.metacritic.com/game/wii-u/wii-u-panorama-view
Wind-up Knight 2 (WIIU),https://www.metacritic.com/game/wii-u/wind-up-knight-2
Wings of Magloryx (WIIU),https://www.metacritic.com/game/wii-u/wings-of-magloryx
WinKings (WIIU),https://www.metacritic.com/game/wii-u/winkings
Wipeout 3 (WIIU),https://www.metacritic.com/game/wii-u/wipeout-3
Wipeout: Create & Crash (WIIU),https://www.metacritic.com/game/wii-u/wipeout-create-crash
Woah Dave! (WIIU),https://www.metacritic.com/game/wii-u/woah-dave!
Wooden Sen'SeY (WIIU),https://www.metacritic.com/game/wii-u/wooden-sensey
Word Logic by POWGI (WIIU),https://www.metacritic.com/game/wii-u/word-logic-by-powgi
Word Party (WIIU),https://www.metacritic.com/game/wii-u/word-party
Word Puzzles by POWGI (WIIU),https://www.metacritic.com/game/wii-u/word-puzzles-by-powgi
Word Search by POWGI (WIIU),https://www.metacritic.com/game/wii-u/word-search-by-powgi
Words Up! Academy (WIIU),https://www.metacritic.com/game/wii-u/words-up!-academy
WordsUp! Academy (WIIU),https://www.metacritic.com/game/wii-u/wordsup!-academy
World to the West (WIIU),https://www.metacritic.com/game/wii-u/world-to-the-west
