title,url
ZaciSa's Last Stand (WIIU),https://www.metacritic.com/game/wii-u/zacisas-last-stand
ZaciSa: Defense of the Crayon Dimensions! (WIIU),https://www.metacritic.com/game/wii-u/zacisa-defense-of-the-crayon-dimensions!
ZEN Pinball 2 (WIIU),https://www.metacritic.com/game/wii-u/zen-pinball-2
ZEN Pinball 2: Deadpool (WIIU),https://www.metacritic.com/game/wii-u/zen-pinball-2-deadpool
ZEN Pinball 2: Guardians of the Galaxy (WIIU),https://www.metacritic.com/game/wii-u/zen-pinball-2-guardians-of-the-galaxy
ZEN Pinball 2: The Walking Dead (WIIU),https://www.metacritic.com/game/wii-u/zen-pinball-2-the-walking-dead
ZEN Pinball 2: Venom (WIIU),https://www.metacritic.com/game/wii-u/zen-pinball-2-venom
Ziggurat (WIIU),https://www.metacritic.com/game/wii-u/ziggurat
Zombeer (WIIU),https://www.metacritic.com/game/wii-u/zombeer
Zombie Brigade: No Brain No Gain (WIIU),https://www.metacritic.com/game/wii-u/zombie-brigade-no-brain-no-gain
Zombie Defense (WIIU),https://www.metacritic.com/game/wii-u/zombie-defense
ZombiU (WIIU),https://www.metacritic.com/game/wii-u/zombiu
Zumba Fitness World Party (WIIU),https://www.metacritic.com/game/wii-u/zumba-fitness-world-party
