title,url
"""Aha! I Found It!"" Hidden Object Game (WII)",https://www.metacritic.com/game/wii/aha!-i-found-it!-hidden-object-game
"""Aha! I Got It!"" Escape Game (WII)",https://www.metacritic.com/game/wii/aha!-i-got-it!-escape-game
007: Quantum of Solace (WII),https://www.metacritic.com/game/wii/007-quantum-of-solace
10 Minute Solution (WII),https://www.metacritic.com/game/wii/10-minute-solution
101-in-1 Explosive Megamix (WII),https://www.metacritic.com/game/wii/101-in-1-explosive-megamix
101-in-1 Party Megamix (WII),https://www.metacritic.com/game/wii/101-in-1-party-megamix
101-in-1 Sports Party Megamix (WII),https://www.metacritic.com/game/wii/101-in-1-sports-party-megamix
1080: TenEighty Snowboarding (WII),https://www.metacritic.com/game/wii/1080-teneighty-snowboarding
1942 (WII),https://www.metacritic.com/game/wii/1942
2 Fast 4 Gnomz (WII),https://www.metacritic.com/game/wii/2-fast-4-gnomz
2 for 1 Power Pack: Kawasaki Jet Ski/Summer Sports (WII),https://www.metacritic.com/game/wii/2-for-1-power-pack-kawasaki-jet-skisummer-sports
2-for-1 Power Pack: Winter Blast/Summer Sports 2 (WII),https://www.metacritic.com/game/wii/2-for-1-power-pack-winter-blastsummer-sports-2
2010 FIFA World Cup South Africa (WII),https://www.metacritic.com/game/wii/2010-fifa-world-cup-south-africa
3-2-1 Rattle Battle (WII),https://www.metacritic.com/game/wii/3-2-1-rattle-battle
3D Pixel Racing (WII),https://www.metacritic.com/game/wii/3d-pixel-racing
4 in 1 Racing Wheel Pack (WII),https://www.metacritic.com/game/wii/4-in-1-racing-wheel-pack
5 Arcade Gems (WII),https://www.metacritic.com/game/wii/5-arcade-gems
5 in 1 Solitaire (WII),https://www.metacritic.com/game/wii/5-in-1-solitaire
5 Spots Party (WII),https://www.metacritic.com/game/wii/5-spots-party
