title,url
A Boy and His Blob (WII),https://www.metacritic.com/game/wii/a-boy-and-his-blob
A Boy and His Blob: Trouble on Blobolonia (WII),https://www.metacritic.com/game/wii/a-boy-and-his-blob-trouble-on-blobolonia
A Monsteca Corral: Monsters vs. Robots (WII),https://www.metacritic.com/game/wii/a-monsteca-corral-monsters-vs-robots
ABBA: You Can Dance (WII),https://www.metacritic.com/game/wii/abba-you-can-dance
AC/DC Live: Rock Band Track Pack (WII),https://www.metacritic.com/game/wii/acdc-live-rock-band-track-pack
Academy of Champions: Soccer (WII),https://www.metacritic.com/game/wii/academy-of-champions-soccer
Action Girlz Racing (WII),https://www.metacritic.com/game/wii/action-girlz-racing
Active Life Explorer (WII),https://www.metacritic.com/game/wii/active-life-explorer
Active Life: Extreme Challenge (WII),https://www.metacritic.com/game/wii/active-life-extreme-challenge
Active Life: Magical Carnival (WII),https://www.metacritic.com/game/wii/active-life-magical-carnival
Active Life: Outdoor Challenge (WII),https://www.metacritic.com/game/wii/active-life-outdoor-challenge
ActRaiser (WII),https://www.metacritic.com/game/wii/actraiser
Advanced Art Studio (WII),https://www.metacritic.com/game/wii/advanced-art-studio
Adventure Island (WII),https://www.metacritic.com/game/wii/adventure-island
Adventure Island: The Beginning (WII),https://www.metacritic.com/game/wii/adventure-island-the-beginning
Adventure on Lost Island: Hidden Object Game (WII),https://www.metacritic.com/game/wii/adventure-on-lost-island-hidden-object-game
Adventures of Lolo (WII),https://www.metacritic.com/game/wii/adventures-of-lolo
Adventures of Lolo 2 (WII),https://www.metacritic.com/game/wii/adventures-of-lolo-2
Aero the Acro-Bat (WII),https://www.metacritic.com/game/wii/aero-the-acro-bat
Aero the Acro-Bat 2 (WII),https://www.metacritic.com/game/wii/aero-the-acro-bat-2
Agatha Christie: And Then There Were None (WII),https://www.metacritic.com/game/wii/agatha-christie-and-then-there-were-none
Agatha Christie: Evil Under the Sun (WII),https://www.metacritic.com/game/wii/agatha-christie-evil-under-the-sun
Air Zonk (WII),https://www.metacritic.com/game/wii/air-zonk
Airport Mania: First Flight (WII),https://www.metacritic.com/game/wii/airport-mania-first-flight
Aladdin Magic Racer (WII),https://www.metacritic.com/game/wii/aladdin-magic-racer
Alex Kidd in Miracle World (WII),https://www.metacritic.com/game/wii/alex-kidd-in-miracle-world
Alex Kidd in Shinobi World (WII),https://www.metacritic.com/game/wii/alex-kidd-in-shinobi-world
Alex Kidd in the Enchanted Castle (WII),https://www.metacritic.com/game/wii/alex-kidd-in-the-enchanted-castle
Alex Kidd: The Lost Stars (WII),https://www.metacritic.com/game/wii/alex-kidd-the-lost-stars
Alien Crush (WII),https://www.metacritic.com/game/wii/alien-crush
Alien Crush Returns (WII),https://www.metacritic.com/game/wii/alien-crush-returns
Alien Monster Bowling League (WII),https://www.metacritic.com/game/wii/alien-monster-bowling-league
Alien Soldier (WII),https://www.metacritic.com/game/wii/alien-soldier
Alien Storm (WII),https://www.metacritic.com/game/wii/alien-storm
Alien Syndrome (WII),https://www.metacritic.com/game/wii/alien-syndrome
Aliens in the Attic (WII),https://www.metacritic.com/game/wii/aliens-in-the-attic
All Star Cheer Squad (WII),https://www.metacritic.com/game/wii/all-star-cheer-squad
All Star Cheer Squad 2 (WII),https://www.metacritic.com/game/wii/all-star-cheer-squad-2
All Star Karate (WII),https://www.metacritic.com/game/wii/all-star-karate
Alone in the Dark (WII),https://www.metacritic.com/game/wii/alone-in-the-dark
Altered Beast (Arcade) (WII),https://www.metacritic.com/game/wii/altered-beast-arcade
Altered Beast (Genesis) (WII),https://www.metacritic.com/game/wii/altered-beast-genesis
Alvin and the Chipmunks (WII),https://www.metacritic.com/game/wii/alvin-and-the-chipmunks
Alvin and the Chipmunks: Chipwrecked (WII),https://www.metacritic.com/game/wii/alvin-and-the-chipmunks-chipwrecked
Alvin and the Chipmunks: The Squeakquel (WII),https://www.metacritic.com/game/wii/alvin-and-the-chipmunks-the-squeakquel
America's Next Top Model (WII),https://www.metacritic.com/game/wii/americas-next-top-model
America's Test Kitchen: Let's Get Cooking (WII),https://www.metacritic.com/game/wii/americas-test-kitchen-lets-get-cooking
American Mensa Academy (WII),https://www.metacritic.com/game/wii/american-mensa-academy
AMF Bowling Pinbusters! (WII),https://www.metacritic.com/game/wii/amf-bowling-pinbusters!
AMF Bowling World Lanes (WII),https://www.metacritic.com/game/wii/amf-bowling-world-lanes
And Yet It Moves (WII),https://www.metacritic.com/game/wii/and-yet-it-moves
Angry Birds Star Wars (WII),https://www.metacritic.com/game/wii/angry-birds-star-wars
Angry Birds Trilogy (WII),https://www.metacritic.com/game/wii/angry-birds-trilogy
Anima: Ark of Sinners (WII),https://www.metacritic.com/game/wii/anima-ark-of-sinners
Animal Crossing: City Folk (WII),https://www.metacritic.com/game/wii/animal-crossing-city-folk
Animal Kingdom: Wildlife Expedition (WII),https://www.metacritic.com/game/wii/animal-kingdom-wildlife-expedition
Animal Planet: Vet Life (WII),https://www.metacritic.com/game/wii/animal-planet-vet-life
Ant Nation (WII),https://www.metacritic.com/game/wii/ant-nation
Anubis II (WII),https://www.metacritic.com/game/wii/anubis-ii
Aqua Panic! (WII),https://www.metacritic.com/game/wii/aqua-panic!
AquaSpace (WII),https://www.metacritic.com/game/wii/aquaspace
Arc Rise Fantasia (WII),https://www.metacritic.com/game/wii/arc-rise-fantasia
Arcade Essentials (WII),https://www.metacritic.com/game/wii/arcade-essentials
Arcade Shooting Gallery (WII),https://www.metacritic.com/game/wii/arcade-shooting-gallery
Arcade Sports (WII),https://www.metacritic.com/game/wii/arcade-sports
Arcade Zone (WII),https://www.metacritic.com/game/wii/arcade-zone
Arctic Tale (WII),https://www.metacritic.com/game/wii/arctic-tale
Are You Smarter Than a 5th Grader: Make the Grade (WII),https://www.metacritic.com/game/wii/are-you-smarter-than-a-5th-grader-make-the-grade
Are You Smarter Than a 5th Grader? Back to School (WII),https://www.metacritic.com/game/wii/are-you-smarter-than-a-5th-grader-back-to-school
Are You Smarter than a 5th Grader? Game Time (WII),https://www.metacritic.com/game/wii/are-you-smarter-than-a-5th-grader-game-time
Arkanoid Plus! (WII),https://www.metacritic.com/game/wii/arkanoid-plus!
Army Men: Soldiers of Misfortune (WII),https://www.metacritic.com/game/wii/army-men-soldiers-of-misfortune
Army Rescue (WII),https://www.metacritic.com/game/wii/army-rescue
Around the World (WII),https://www.metacritic.com/game/wii/around-the-world
Around the World in 50 Games (WII),https://www.metacritic.com/game/wii/around-the-world-in-50-games
Art of Balance (WII),https://www.metacritic.com/game/wii/art-of-balance
Art of Fighting (WII),https://www.metacritic.com/game/wii/art-of-fighting
Art of Fighting 2 (WII),https://www.metacritic.com/game/wii/art-of-fighting-2
Art Style: CUBELLO (WII),https://www.metacritic.com/game/wii/art-style-cubello
Art Style: light trax (WII),https://www.metacritic.com/game/wii/art-style-light-trax
Art Style: ORBIENT (WII),https://www.metacritic.com/game/wii/art-style-orbient
Art Style: ROTOHEX (WII),https://www.metacritic.com/game/wii/art-style-rotohex
Art Style: Rotozoa (WII),https://www.metacritic.com/game/wii/art-style-rotozoa
Astro Boy: The Video Game (WII),https://www.metacritic.com/game/wii/astro-boy-the-video-game
Astro Bugz Revenge (WII),https://www.metacritic.com/game/wii/astro-bugz-revenge
Atrevete a Sonar (WII),https://www.metacritic.com/game/wii/atrevete-a-sonar
Attack of the Movies 3D (WII),https://www.metacritic.com/game/wii/attack-of-the-movies-3d
ATV Quad Kings (WII),https://www.metacritic.com/game/wii/atv-quad-kings
Avatar: The Last Airbender (WII),https://www.metacritic.com/game/wii/avatar-the-last-airbender
Avatar: The Last Airbender - Into the Inferno (WII),https://www.metacritic.com/game/wii/avatar-the-last-airbender---into-the-inferno
Avatar: The Last Airbender - The Burning Earth (WII),https://www.metacritic.com/game/wii/avatar-the-last-airbender---the-burning-earth
Axelay (WII),https://www.metacritic.com/game/wii/axelay
Aya and the Cubes of Light (WII),https://www.metacritic.com/game/wii/aya-and-the-cubes-of-light
