title,url
Babysitting Mama (WII),https://www.metacritic.com/game/wii/babysitting-mama
Back to the Future (WII),https://www.metacritic.com/game/wii/back-to-the-future
Back to the Future: The Game (WII),https://www.metacritic.com/game/wii/back-to-the-future-the-game
Backyard Baseball '09 (WII),https://www.metacritic.com/game/wii/backyard-baseball-09
Backyard Baseball '10 (WII),https://www.metacritic.com/game/wii/backyard-baseball-10
Backyard Football (WII),https://www.metacritic.com/game/wii/backyard-football
Backyard Football '09 (WII),https://www.metacritic.com/game/wii/backyard-football-09
Backyard Football '10 (WII),https://www.metacritic.com/game/wii/backyard-football-10
Backyard Sports: Rookie Rush (WII),https://www.metacritic.com/game/wii/backyard-sports-rookie-rush
Backyard Sports: Sandlot Sluggers (WII),https://www.metacritic.com/game/wii/backyard-sports-sandlot-sluggers
Bakugan Battle Brawlers (WII),https://www.metacritic.com/game/wii/bakugan-battle-brawlers
Bakugan: Defenders of the Core (WII),https://www.metacritic.com/game/wii/bakugan-defenders-of-the-core
Balloon Fight (WII),https://www.metacritic.com/game/wii/balloon-fight
Balloon Pop (WII),https://www.metacritic.com/game/wii/balloon-pop
Balloon Pop Festival (WII),https://www.metacritic.com/game/wii/balloon-pop-festival
Balls of Fury (WII),https://www.metacritic.com/game/wii/balls-of-fury
Band Hero (WII),https://www.metacritic.com/game/wii/band-hero
Bang Attack! (WII),https://www.metacritic.com/game/wii/bang-attack!
Barbie and Her Sisters: Puppy Rescue (WII),https://www.metacritic.com/game/wii/barbie-and-her-sisters-puppy-rescue
Barbie and the Three Musketeers (WII),https://www.metacritic.com/game/wii/barbie-and-the-three-musketeers
Barbie as The Island Princess (WII),https://www.metacritic.com/game/wii/barbie-as-the-island-princess
Barbie Dreamhouse Party (WII),https://www.metacritic.com/game/wii/barbie-dreamhouse-party
Barbie Horse Adventures: Riding Camp (WII),https://www.metacritic.com/game/wii/barbie-horse-adventures-riding-camp
Barbie: Groom and Glam Pups (WII),https://www.metacritic.com/game/wii/barbie-groom-and-glam-pups
"Barbie: Jet, Set & Style! (WII)",https://www.metacritic.com/game/wii/barbie-jet-set-style!
Baroque (WII),https://www.metacritic.com/game/wii/baroque
Baseball (WII),https://www.metacritic.com/game/wii/baseball
Baseball Blast! (WII),https://www.metacritic.com/game/wii/baseball-blast!
Baseball Stars 2 (WII),https://www.metacritic.com/game/wii/baseball-stars-2
Bases Loaded (WII),https://www.metacritic.com/game/wii/bases-loaded
Basketball Hall of Fame: Ultimate Hoops Challenge (WII),https://www.metacritic.com/game/wii/basketball-hall-of-fame-ultimate-hoops-challenge
Bass Pro Shops: The Hunt (WII),https://www.metacritic.com/game/wii/bass-pro-shops-the-hunt
Bass Pro Shops: The Hunt - Trophy Showdown (WII),https://www.metacritic.com/game/wii/bass-pro-shops-the-hunt---trophy-showdown
Bass Pro Shops: The Strike (WII),https://www.metacritic.com/game/wii/bass-pro-shops-the-strike
Bass Pro Shops: The Strike - Tournament Edition (WII),https://www.metacritic.com/game/wii/bass-pro-shops-the-strike---tournament-edition
