title,url
Daisy Fuentes Pilates (WII),https://www.metacritic.com/game/wii/daisy-fuentes-pilates
Dance Dance Revolution Hottest Party (WII),https://www.metacritic.com/game/wii/dance-dance-revolution-hottest-party
Dance Dance Revolution Wii (WII),https://www.metacritic.com/game/wii/dance-dance-revolution-wii
Dance Dance Revolution: Disney Grooves (WII),https://www.metacritic.com/game/wii/dance-dance-revolution-disney-grooves
Dance Dance Revolution: Hottest Party 2 (WII),https://www.metacritic.com/game/wii/dance-dance-revolution-hottest-party-2
Dance Dance Revolution: Hottest Party 3 (WII),https://www.metacritic.com/game/wii/dance-dance-revolution-hottest-party-3
Dance on Broadway (WII),https://www.metacritic.com/game/wii/dance-on-broadway
Dance Sensation! (WII),https://www.metacritic.com/game/wii/dance-sensation!
DanceDanceRevolution (WII),https://www.metacritic.com/game/wii/dancedancerevolution
DanceDanceRevolution II (WII),https://www.metacritic.com/game/wii/dancedancerevolution-ii
Dancing with the Stars (WII),https://www.metacritic.com/game/wii/dancing-with-the-stars
Dancing With the Stars: We Dance! (WII),https://www.metacritic.com/game/wii/dancing-with-the-stars-we-dance!
Darius Twin (WII),https://www.metacritic.com/game/wii/darius-twin
Dart Rage (WII),https://www.metacritic.com/game/wii/dart-rage
Data East Arcade Classics (WII),https://www.metacritic.com/game/wii/data-east-arcade-classics
Dave Mirra BMX Challenge (WII),https://www.metacritic.com/game/wii/dave-mirra-bmx-challenge
Dawn of Discovery (WII),https://www.metacritic.com/game/wii/dawn-of-discovery
de Blob (WII),https://www.metacritic.com/game/wii/de-blob
de Blob 2 (WII),https://www.metacritic.com/game/wii/de-blob-2
Dead Moon (WII),https://www.metacritic.com/game/wii/dead-moon
Dead Rising: Chop Till You Drop (WII),https://www.metacritic.com/game/wii/dead-rising-chop-till-you-drop
Dead Space: Extraction (WII),https://www.metacritic.com/game/wii/dead-space-extraction
Deadliest Catch: Sea of Chaos (WII),https://www.metacritic.com/game/wii/deadliest-catch-sea-of-chaos
Deadly Creatures (WII),https://www.metacritic.com/game/wii/deadly-creatures
Deal or No Deal (WII),https://www.metacritic.com/game/wii/deal-or-no-deal
Deal or No Deal: Special Edition (WII),https://www.metacritic.com/game/wii/deal-or-no-deal-special-edition
Death Jr.: Root of Evil (WII),https://www.metacritic.com/game/wii/death-jr-root-of-evil
Deca Sports (WII),https://www.metacritic.com/game/wii/deca-sports
Deca Sports 2 (WII),https://www.metacritic.com/game/wii/deca-sports-2
Deca Sports 3 (WII),https://www.metacritic.com/game/wii/deca-sports-3
Deepak Chopra's Leela (WII),https://www.metacritic.com/game/wii/deepak-chopras-leela
Deer Captor (WII),https://www.metacritic.com/game/wii/deer-captor
Deer Drive (WII),https://www.metacritic.com/game/wii/deer-drive
Deer Drive Legends (WII),https://www.metacritic.com/game/wii/deer-drive-legends
Def Jam Rapstar (WII),https://www.metacritic.com/game/wii/def-jam-rapstar
Defend Your Castle (WII),https://www.metacritic.com/game/wii/defend-your-castle
Defendin' DePenguin (WII),https://www.metacritic.com/game/wii/defendin-depenguin
Derby Dogs (WII),https://www.metacritic.com/game/wii/derby-dogs
Despicable Me: The Game (WII),https://www.metacritic.com/game/wii/despicable-me-the-game
Destroy All Humans! Big Willy Unleashed (WII),https://www.metacritic.com/game/wii/destroy-all-humans!-big-willy-unleashed
Detana!! Twinbee (WII),https://www.metacritic.com/game/wii/detana!!-twinbee
Devil's Crush (WII),https://www.metacritic.com/game/wii/devils-crush
Dewy's Adventure (WII),https://www.metacritic.com/game/wii/dewys-adventure
Diatomic (WII),https://www.metacritic.com/game/wii/diatomic
Dig Dug (NES) (WII),https://www.metacritic.com/game/wii/dig-dug-nes
Digital Champ Battle Boxing (WII),https://www.metacritic.com/game/wii/digital-champ-battle-boxing
Diner Dash (WII),https://www.metacritic.com/game/wii/diner-dash
Dino Strike (WII),https://www.metacritic.com/game/wii/dino-strike
DiRT 2 (WII),https://www.metacritic.com/game/wii/dirt-2
Disney Alice in Wonderland (WII),https://www.metacritic.com/game/wii/disney-alice-in-wonderland
Disney Channel All Star Party (WII),https://www.metacritic.com/game/wii/disney-channel-all-star-party
Disney Epic Mickey (WII),https://www.metacritic.com/game/wii/disney-epic-mickey
Disney Epic Mickey 2: The Power of Two (WII),https://www.metacritic.com/game/wii/disney-epic-mickey-2-the-power-of-two
Disney G-Force (WII),https://www.metacritic.com/game/wii/disney-g-force
Disney Guilty Party (WII),https://www.metacritic.com/game/wii/disney-guilty-party
Disney Hannah Montana: Spotlight World Tour (WII),https://www.metacritic.com/game/wii/disney-hannah-montana-spotlight-world-tour
Disney Infinity (WII),https://www.metacritic.com/game/wii/disney-infinity
Disney Pirates of the Caribbean: At World's End (WII),https://www.metacritic.com/game/wii/disney-pirates-of-the-caribbean-at-worlds-end
Disney Planes (WII),https://www.metacritic.com/game/wii/disney-planes
Disney Planes: Fire & Rescue (WII),https://www.metacritic.com/game/wii/disney-planes-fire-rescue
Disney Princess: Enchanted Journey (WII),https://www.metacritic.com/game/wii/disney-princess-enchanted-journey
Disney Princess: Enchanting Storybooks (WII),https://www.metacritic.com/game/wii/disney-princess-enchanting-storybooks
Disney Princess: My Fairytale Adventure (WII),https://www.metacritic.com/game/wii/disney-princess-my-fairytale-adventure
Disney Sing It (WII),https://www.metacritic.com/game/wii/disney-sing-it
Disney Sing It! High School Musical 3: Senior Year (WII),https://www.metacritic.com/game/wii/disney-sing-it!-high-school-musical-3-senior-year
Disney Sing It: Family Hits (WII),https://www.metacritic.com/game/wii/disney-sing-it-family-hits
Disney Sing It: Party Hits (WII),https://www.metacritic.com/game/wii/disney-sing-it-party-hits
Disney Sing It: Pop Hits (WII),https://www.metacritic.com/game/wii/disney-sing-it-pop-hits
Disney Tangled: The Video Game (WII),https://www.metacritic.com/game/wii/disney-tangled-the-video-game
Disney TH!NK Fast (WII),https://www.metacritic.com/game/wii/disney-th!nk-fast
Disney The Princess and the Frog (WII),https://www.metacritic.com/game/wii/disney-the-princess-and-the-frog
Disney Universe (WII),https://www.metacritic.com/game/wii/disney-universe
