title,url
EA Playground (WII),https://www.metacritic.com/game/wii/ea-playground
EA Sports Active (WII),https://www.metacritic.com/game/wii/ea-sports-active
EA Sports Active 2 (WII),https://www.metacritic.com/game/wii/ea-sports-active-2
EA Sports Active More Workouts (WII),https://www.metacritic.com/game/wii/ea-sports-active-more-workouts
EA Sports Active NFL Training Camp (WII),https://www.metacritic.com/game/wii/ea-sports-active-nfl-training-camp
Earthworm Jim (WII),https://www.metacritic.com/game/wii/earthworm-jim
Earthworm Jim 2 (WII),https://www.metacritic.com/game/wii/earthworm-jim-2
Eat! Fat! Fight! (WII),https://www.metacritic.com/game/wii/eat!-fat!-fight!
Ecco Jr. (WII),https://www.metacritic.com/game/wii/ecco-jr
Ecco the Dolphin (WII),https://www.metacritic.com/game/wii/ecco-the-dolphin
Ecco: The Tides of Time (WII),https://www.metacritic.com/game/wii/ecco-the-tides-of-time
Eco Shooter: Plant 530 (WII),https://www.metacritic.com/game/wii/eco-shooter-plant-530
Eduardo the Samurai Toaster (WII),https://www.metacritic.com/game/wii/eduardo-the-samurai-toaster
El Chavo (WII),https://www.metacritic.com/game/wii/el-chavo
Elebits (WII),https://www.metacritic.com/game/wii/elebits
Elevator Action (WII),https://www.metacritic.com/game/wii/elevator-action
Emergency Heroes (WII),https://www.metacritic.com/game/wii/emergency-heroes
Emergency Mayhem (WII),https://www.metacritic.com/game/wii/emergency-mayhem
Endless Ocean (WII),https://www.metacritic.com/game/wii/endless-ocean
Endless Ocean: Blue World (WII),https://www.metacritic.com/game/wii/endless-ocean-blue-world
Enduro Racer (WII),https://www.metacritic.com/game/wii/enduro-racer
Enjoy your massage! (WII),https://www.metacritic.com/game/wii/enjoy-your-massage!
EQUILIBRIO (WII),https://www.metacritic.com/game/wii/equilibrio
Escape from Bug Island (WII),https://www.metacritic.com/game/wii/escape-from-bug-island
Escape The Museum (WII),https://www.metacritic.com/game/wii/escape-the-museum
escapeVektor: Chapter 1 (WII),https://www.metacritic.com/game/wii/escapevektor-chapter-1
Eternal Champions (WII),https://www.metacritic.com/game/wii/eternal-champions
Evasive Space (WII),https://www.metacritic.com/game/wii/evasive-space
Everybody Votes (WII),https://www.metacritic.com/game/wii/everybody-votes
Excite Truck (WII),https://www.metacritic.com/game/wii/excite-truck
Excitebike (WII),https://www.metacritic.com/game/wii/excitebike
Excitebike: World Rally (WII),https://www.metacritic.com/game/wii/excitebike-world-rally
Excitebots: Trick Racing (WII),https://www.metacritic.com/game/wii/excitebots-trick-racing
Exed Exes (WII),https://www.metacritic.com/game/wii/exed-exes
Exerbeat (WII),https://www.metacritic.com/game/wii/exerbeat
