title,url
F-Zero (WII),https://www.metacritic.com/game/wii/f-zero
F-Zero X (WII),https://www.metacritic.com/game/wii/f-zero-x
F1 2009 (WII),https://www.metacritic.com/game/wii/f1-2009
FaceBreaker K.O. Party (WII),https://www.metacritic.com/game/wii/facebreaker-ko-party
Family & Friends Party (WII),https://www.metacritic.com/game/wii/family-friends-party
Family Card Games (WII),https://www.metacritic.com/game/wii/family-card-games
Family Fest Presents Circus Games (WII),https://www.metacritic.com/game/wii/family-fest-presents-circus-games
Family Fest Presents Movie Games (WII),https://www.metacritic.com/game/wii/family-fest-presents-movie-games
Family Feud Decades (WII),https://www.metacritic.com/game/wii/family-feud-decades
Family Feud: 2010 Edition (WII),https://www.metacritic.com/game/wii/family-feud-2010-edition
Family Feud: 2012 Edition (WII),https://www.metacritic.com/game/wii/family-feud-2012-edition
Family Fun Football (WII),https://www.metacritic.com/game/wii/family-fun-football
Family Game Night 4: The Game Show (WII),https://www.metacritic.com/game/wii/family-game-night-4-the-game-show
Family Games: Pen & Paper Edition! (WII),https://www.metacritic.com/game/wii/family-games-pen-paper-edition!
Family Gameshow (WII),https://www.metacritic.com/game/wii/family-gameshow
Family Glide Hockey (WII),https://www.metacritic.com/game/wii/family-glide-hockey
Family Go-Kart Racing (WII),https://www.metacritic.com/game/wii/family-go-kart-racing
Family Mini Golf (WII),https://www.metacritic.com/game/wii/family-mini-golf
Family Party: 30 Great Games (WII),https://www.metacritic.com/game/wii/family-party-30-great-games
Family Party: 30 Great Games Outdoor Fun (WII),https://www.metacritic.com/game/wii/family-party-30-great-games-outdoor-fun
Family Party: 30 Great Games Winter Fun (WII),https://www.metacritic.com/game/wii/family-party-30-great-games-winter-fun
Family Party: 90 Great Games Party Pack (WII),https://www.metacritic.com/game/wii/family-party-90-great-games-party-pack
Family Party: Fitness Fun (WII),https://www.metacritic.com/game/wii/family-party-fitness-fun
Family Pirate Party (WII),https://www.metacritic.com/game/wii/family-pirate-party
Family Slot Car Racing (WII),https://www.metacritic.com/game/wii/family-slot-car-racing
Family Table Tennis (WII),https://www.metacritic.com/game/wii/family-table-tennis
Family Tennis (WII),https://www.metacritic.com/game/wii/family-tennis
Fantastic Four: Rise of the Silver Surfer (WII),https://www.metacritic.com/game/wii/fantastic-four-rise-of-the-silver-surfer
Fantasy Aquarium World (WII),https://www.metacritic.com/game/wii/fantasy-aquarium-world
Fantasy Slots: Adventure Slots and Games (WII),https://www.metacritic.com/game/wii/fantasy-slots-adventure-slots-and-games
Fantasy Zone (WII),https://www.metacritic.com/game/wii/fantasy-zone
Fantasy Zone II (WII),https://www.metacritic.com/game/wii/fantasy-zone-ii
Far Cry Vengeance (WII),https://www.metacritic.com/game/wii/far-cry-vengeance
FAST - Racing League (WII),https://www.metacritic.com/game/wii/fast---racing-league
Fast Draw Showdown (WII),https://www.metacritic.com/game/wii/fast-draw-showdown
Fast Food Panic (WII),https://www.metacritic.com/game/wii/fast-food-panic
Fatal Fury (WII),https://www.metacritic.com/game/wii/fatal-fury
Fatal Fury 2 (WII),https://www.metacritic.com/game/wii/fatal-fury-2
Fatal Fury 3: Road to the Final Victory (WII),https://www.metacritic.com/game/wii/fatal-fury-3-road-to-the-final-victory
Fatal Fury Special (WII),https://www.metacritic.com/game/wii/fatal-fury-special
Faxanadu (WII),https://www.metacritic.com/game/wii/faxanadu
Fenimore Fillmore: The Westerner (WII),https://www.metacritic.com/game/wii/fenimore-fillmore-the-westerner
Ferrari Challenge Trofeo Pirelli (WII),https://www.metacritic.com/game/wii/ferrari-challenge-trofeo-pirelli
FIFA 14 (WII),https://www.metacritic.com/game/wii/fifa-14
FIFA 15 (WII),https://www.metacritic.com/game/wii/fifa-15
FIFA Soccer 08 (WII),https://www.metacritic.com/game/wii/fifa-soccer-08
FIFA Soccer 09 All-Play (WII),https://www.metacritic.com/game/wii/fifa-soccer-09-all-play
FIFA Soccer 10 (WII),https://www.metacritic.com/game/wii/fifa-soccer-10
FIFA Soccer 11 (WII),https://www.metacritic.com/game/wii/fifa-soccer-11
FIFA Soccer 12 (WII),https://www.metacritic.com/game/wii/fifa-soccer-12
FIFA Soccer 13 (WII),https://www.metacritic.com/game/wii/fifa-soccer-13
