title,url
I Love Horses: Rider's Paradise (WII),https://www.metacritic.com/game/wii/i-love-horses-riders-paradise
I Spy: Spooky Mansion (WII),https://www.metacritic.com/game/wii/i-spy-spooky-mansion
iCarly (WII),https://www.metacritic.com/game/wii/icarly
iCarly 2: iJoin The Click (WII),https://www.metacritic.com/game/wii/icarly-2-ijoin-the-click
Ice Age 2: The Meltdown (WII),https://www.metacritic.com/game/wii/ice-age-2-the-meltdown
Ice Age: Continental Drift - Arctic Games (WII),https://www.metacritic.com/game/wii/ice-age-continental-drift---arctic-games
Ice Age: Dawn of the Dinosaurs (WII),https://www.metacritic.com/game/wii/ice-age-dawn-of-the-dinosaurs
Ice Climber (WII),https://www.metacritic.com/game/wii/ice-climber
Ice Hockey (WII),https://www.metacritic.com/game/wii/ice-hockey
Igor the Game (WII),https://www.metacritic.com/game/wii/igor-the-game
Imagine Fashion Party (WII),https://www.metacritic.com/game/wii/imagine-fashion-party
Imagine Party Babyz (WII),https://www.metacritic.com/game/wii/imagine-party-babyz
Inazuma Eleven Strikers (WII),https://www.metacritic.com/game/wii/inazuma-eleven-strikers
Incoming! (WII),https://www.metacritic.com/game/wii/incoming!
Indiana Jones and the Staff of Kings (WII),https://www.metacritic.com/game/wii/indiana-jones-and-the-staff-of-kings
Indiana Jones' Greatest Adventures (WII),https://www.metacritic.com/game/wii/indiana-jones-greatest-adventures
Indianapolis 500 Legends (WII),https://www.metacritic.com/game/wii/indianapolis-500-legends
Inkub (WII),https://www.metacritic.com/game/wii/inkub
International Karate (WII),https://www.metacritic.com/game/wii/international-karate
Internet Channel (WII),https://www.metacritic.com/game/wii/internet-channel
Iron Chef America: Supreme Cuisine (WII),https://www.metacritic.com/game/wii/iron-chef-america-supreme-cuisine
Iron Man (WII),https://www.metacritic.com/game/wii/iron-man
Iron Man 2 (WII),https://www.metacritic.com/game/wii/iron-man-2
Ivy the Kiwi? (WII),https://www.metacritic.com/game/wii/ivy-the-kiwi
