title,url
Kamen Rider Dragon Knight (WII),https://www.metacritic.com/game/wii/kamen-rider-dragon-knight
Karaoke Joysound Wii (WII),https://www.metacritic.com/game/wii/karaoke-joysound-wii
Karaoke Joysound Wii (WiiWare) (WII),https://www.metacritic.com/game/wii/karaoke-joysound-wii-wiiware
Karaoke Revolution (WII),https://www.metacritic.com/game/wii/karaoke-revolution
Karaoke Revolution Glee (WII),https://www.metacritic.com/game/wii/karaoke-revolution-glee
Karaoke Revolution Glee: Volume 2 (WII),https://www.metacritic.com/game/wii/karaoke-revolution-glee-volume-2
Karaoke Revolution Glee: Volume 3 (WII),https://www.metacritic.com/game/wii/karaoke-revolution-glee-volume-3
Karaoke Revolution Presents: American Idol Encore (WII),https://www.metacritic.com/game/wii/karaoke-revolution-presents-american-idol-encore
Karaoke Revolution Presents: American Idol Encore 2 (WII),https://www.metacritic.com/game/wii/karaoke-revolution-presents-american-idol-encore-2
Kart Racer (WII),https://www.metacritic.com/game/wii/kart-racer
Kawasaki Jet Ski (WII),https://www.metacritic.com/game/wii/kawasaki-jet-ski
Kawasaki Quad Bikes (WII),https://www.metacritic.com/game/wii/kawasaki-quad-bikes
Kawasaki Snowmobiles (WII),https://www.metacritic.com/game/wii/kawasaki-snowmobiles
Kevin VanDam's Big Bass Challenge (WII),https://www.metacritic.com/game/wii/kevin-vandams-big-bass-challenge
Kid Adventures: Sky Captain (WII),https://www.metacritic.com/game/wii/kid-adventures-sky-captain
Kid Chameleon (WII),https://www.metacritic.com/game/wii/kid-chameleon
Kid Fit Island Resort (WII),https://www.metacritic.com/game/wii/kid-fit-island-resort
Kid Icarus (WII),https://www.metacritic.com/game/wii/kid-icarus
Kidz Bop Dance Party! The Video Game (WII),https://www.metacritic.com/game/wii/kidz-bop-dance-party!-the-video-game
Kidz Sports Basketball (WII),https://www.metacritic.com/game/wii/kidz-sports-basketball
Kidz Sports Ice Hockey (WII),https://www.metacritic.com/game/wii/kidz-sports-ice-hockey
Kidz Sports International Soccer (WII),https://www.metacritic.com/game/wii/kidz-sports-international-soccer
Kidz Sports: Crazy Golf (WII),https://www.metacritic.com/game/wii/kidz-sports-crazy-golf
King of Clubs (WII),https://www.metacritic.com/game/wii/king-of-clubs
King of the Monsters (WII),https://www.metacritic.com/game/wii/king-of-the-monsters
King's Knight (WII),https://www.metacritic.com/game/wii/kings-knight
Kirby 64: The Crystal Shards (WII),https://www.metacritic.com/game/wii/kirby-64-the-crystal-shards
Kirby Super Star (WII),https://www.metacritic.com/game/wii/kirby-super-star
Kirby's Adventure (WII),https://www.metacritic.com/game/wii/kirbys-adventure
Kirby's Avalanche (WII),https://www.metacritic.com/game/wii/kirbys-avalanche
Kirby's Dream Collection: Special Edition (WII),https://www.metacritic.com/game/wii/kirbys-dream-collection-special-edition
Kirby's Dream Course (WII),https://www.metacritic.com/game/wii/kirbys-dream-course
Kirby's Dream Land 3 (WII),https://www.metacritic.com/game/wii/kirbys-dream-land-3
Kirby's Epic Yarn (WII),https://www.metacritic.com/game/wii/kirbys-epic-yarn
Kirby's Return to Dream Land (WII),https://www.metacritic.com/game/wii/kirbys-return-to-dream-land
Kitty Luv (WII),https://www.metacritic.com/game/wii/kitty-luv
Klonoa (WII),https://www.metacritic.com/game/wii/klonoa
Kororinpa: Marble Mania (WII),https://www.metacritic.com/game/wii/kororinpa-marble-mania
Kung Fu Funk: Everybody is Kung Fu Fighting! (WII),https://www.metacritic.com/game/wii/kung-fu-funk-everybody-is-kung-fu-fighting!
Kung Fu Panda (WII),https://www.metacritic.com/game/wii/kung-fu-panda
Kung Fu Panda: Kaboom of Doom (WII),https://www.metacritic.com/game/wii/kung-fu-panda-kaboom-of-doom
Kyotokei (WII),https://www.metacritic.com/game/wii/kyotokei
