title,url
Namco Museum Megamix (WII),https://www.metacritic.com/game/wii/namco-museum-megamix
Namco Museum Remix (WII),https://www.metacritic.com/game/wii/namco-museum-remix
Nancy Drew: The White Wolf of Icicle Creek (WII),https://www.metacritic.com/game/wii/nancy-drew-the-white-wolf-of-icicle-creek
Naruto Shippuden: Clash of Ninja Revolution III (WII),https://www.metacritic.com/game/wii/naruto-shippuden-clash-of-ninja-revolution-iii
Naruto Shippuden: Dragon Blade Chronicles (WII),https://www.metacritic.com/game/wii/naruto-shippuden-dragon-blade-chronicles
Naruto: Clash of Ninja Revolution (WII),https://www.metacritic.com/game/wii/naruto-clash-of-ninja-revolution
Naruto: Clash of Ninja Revolution 2 (WII),https://www.metacritic.com/game/wii/naruto-clash-of-ninja-revolution-2
NASCAR 2011: The Game (WII),https://www.metacritic.com/game/wii/nascar-2011-the-game
NASCAR Kart Racing (WII),https://www.metacritic.com/game/wii/nascar-kart-racing
NASCAR The Game: Inside Line (WII),https://www.metacritic.com/game/wii/nascar-the-game-inside-line
NASCAR Unleashed (WII),https://www.metacritic.com/game/wii/nascar-unleashed
Nat Geo Challenge! Wild Life (WII),https://www.metacritic.com/game/wii/nat-geo-challenge!-wild-life
National Geographic Challenge! (WII),https://www.metacritic.com/game/wii/national-geographic-challenge!
Natsume Championship Wrestling (WII),https://www.metacritic.com/game/wii/natsume-championship-wrestling
NBA 2K10 (WII),https://www.metacritic.com/game/wii/nba-2k10
NBA 2K11 (WII),https://www.metacritic.com/game/wii/nba-2k11
NBA 2K12 (WII),https://www.metacritic.com/game/wii/nba-2k12
NBA 2K13 (WII),https://www.metacritic.com/game/wii/nba-2k13
NBA Jam (WII),https://www.metacritic.com/game/wii/nba-jam
NBA Live 08 (WII),https://www.metacritic.com/game/wii/nba-live-08
NBA Live 09 All-Play (WII),https://www.metacritic.com/game/wii/nba-live-09-all-play
NCAA Football 09 All-Play (WII),https://www.metacritic.com/game/wii/ncaa-football-09-all-play
NCIS (WII),https://www.metacritic.com/game/wii/ncis
Need for Speed Carbon (WII),https://www.metacritic.com/game/wii/need-for-speed-carbon
Need for Speed ProStreet (WII),https://www.metacritic.com/game/wii/need-for-speed-prostreet
Need for Speed Undercover (WII),https://www.metacritic.com/game/wii/need-for-speed-undercover
Need for Speed: Hot Pursuit (WII),https://www.metacritic.com/game/wii/need-for-speed-hot-pursuit
Need for Speed: Nitro (WII),https://www.metacritic.com/game/wii/need-for-speed-nitro
Need for Speed: The Run (WII),https://www.metacritic.com/game/wii/need-for-speed-the-run
Neighborhood Games (WII),https://www.metacritic.com/game/wii/neighborhood-games
Neo Turf Masters (WII),https://www.metacritic.com/game/wii/neo-turf-masters
Neopets Puzzle Adventure (WII),https://www.metacritic.com/game/wii/neopets-puzzle-adventure
Nerf N-Strike (WII),https://www.metacritic.com/game/wii/nerf-n-strike
Nerf N-Strike Double Blast Bundle (WII),https://www.metacritic.com/game/wii/nerf-n-strike-double-blast-bundle
Nerf N-Strike Elite (WII),https://www.metacritic.com/game/wii/nerf-n-strike-elite
NES Open Tournament Golf (WII),https://www.metacritic.com/game/wii/nes-open-tournament-golf
NES Play Action Football (WII),https://www.metacritic.com/game/wii/nes-play-action-football
Neutopia (WII),https://www.metacritic.com/game/wii/neutopia
Neutopia II (WII),https://www.metacritic.com/game/wii/neutopia-ii
NEVES Plus (WII),https://www.metacritic.com/game/wii/neves-plus
New Adventure Island (WII),https://www.metacritic.com/game/wii/new-adventure-island
New Carnival Games (WII),https://www.metacritic.com/game/wii/new-carnival-games
New Horizons (WII),https://www.metacritic.com/game/wii/new-horizons
New Play Control! Donkey Kong Jungle Beat (WII),https://www.metacritic.com/game/wii/new-play-control!-donkey-kong-jungle-beat
New Play Control! Mario Power Tennis (WII),https://www.metacritic.com/game/wii/new-play-control!-mario-power-tennis
New Play Control! Pikmin (WII),https://www.metacritic.com/game/wii/new-play-control!-pikmin
New Play Control! Pikmin 2 (WII),https://www.metacritic.com/game/wii/new-play-control!-pikmin-2
New Super Mario Bros. Wii (WII),https://www.metacritic.com/game/wii/new-super-mario-bros-wii
Newton vs. the Horde (WII),https://www.metacritic.com/game/wii/newton-vs-the-horde
"NewU Fitness First Mind Body, Yoga & Pilates Workout (WII)",https://www.metacritic.com/game/wii/newu-fitness-first-mind-body-yoga-pilates-workout
NHL 2K10 (WII),https://www.metacritic.com/game/wii/nhl-2k10
NHL 2K11 (WII),https://www.metacritic.com/game/wii/nhl-2k11
NHL 2K9 (WII),https://www.metacritic.com/game/wii/nhl-2k9
NHL Slapshot (WII),https://www.metacritic.com/game/wii/nhl-slapshot
"Ni Hao, Kai-Lan: Super Game Day (WII)",https://www.metacritic.com/game/wii/ni-hao-kai-lan-super-game-day
Nickelodeon Barnyard (WII),https://www.metacritic.com/game/wii/nickelodeon-barnyard
Nickelodeon Dance (WII),https://www.metacritic.com/game/wii/nickelodeon-dance
Nickelodeon Dance 2 (WII),https://www.metacritic.com/game/wii/nickelodeon-dance-2
Nickelodeon Dora the Explorer: Dora Saves the Crystal Kingdom (WII),https://www.metacritic.com/game/wii/nickelodeon-dora-the-explorer-dora-saves-the-crystal-kingdom
Nickelodeon Dora the Explorer: Dora Saves the Snow Princess (WII),https://www.metacritic.com/game/wii/nickelodeon-dora-the-explorer-dora-saves-the-snow-princess
Nickelodeon Fit (WII),https://www.metacritic.com/game/wii/nickelodeon-fit
Nickelodeon Teenage Mutant Ninja Turtles (WII),https://www.metacritic.com/game/wii/nickelodeon-teenage-mutant-ninja-turtles
Nicktoons MLB (WII),https://www.metacritic.com/game/wii/nicktoons-mlb
Nicktoons: Attack of the Toybots (WII),https://www.metacritic.com/game/wii/nicktoons-attack-of-the-toybots
Night at the Museum: Battle of the Smithsonian (WII),https://www.metacritic.com/game/wii/night-at-the-museum-battle-of-the-smithsonian
NiGHTS: Journey of Dreams (WII),https://www.metacritic.com/game/wii/nights-journey-of-dreams
Niki: Rock 'n' Ball (WII),https://www.metacritic.com/game/wii/niki-rock-n-ball
Ninja Combat (WII),https://www.metacritic.com/game/wii/ninja-combat
Ninja Commando (WII),https://www.metacritic.com/game/wii/ninja-commando
Ninja Gaiden (Arcade) (WII),https://www.metacritic.com/game/wii/ninja-gaiden-arcade
Ninja Gaiden (NES) (WII),https://www.metacritic.com/game/wii/ninja-gaiden-nes
Ninja Gaiden II: The Dark Sword of Chaos (WII),https://www.metacritic.com/game/wii/ninja-gaiden-ii-the-dark-sword-of-chaos
Ninja Gaiden III: The Ancient Ship of Doom (WII),https://www.metacritic.com/game/wii/ninja-gaiden-iii-the-ancient-ship-of-doom
Ninja Jajamaru-kun (WII),https://www.metacritic.com/game/wii/ninja-jajamaru-kun
Ninja Reflex (WII),https://www.metacritic.com/game/wii/ninja-reflex
Ninja Spirit (WII),https://www.metacritic.com/game/wii/ninja-spirit
Ninjabread Man (WII),https://www.metacritic.com/game/wii/ninjabread-man
Nintendo Wii (WII),https://www.metacritic.com/game/wii/nintendo-wii
Nitrobike (WII),https://www.metacritic.com/game/wii/nitrobike
No More Heroes (WII),https://www.metacritic.com/game/wii/no-more-heroes
No More Heroes 2: Desperate Struggle (WII),https://www.metacritic.com/game/wii/no-more-heroes-2-desperate-struggle
No More Heroes/Red Steel Bundle (WII),https://www.metacritic.com/game/wii/no-more-heroesred-steel-bundle
Nobunaga's Ambition (WII),https://www.metacritic.com/game/wii/nobunagas-ambition
North American Hunting Extravaganza (WII),https://www.metacritic.com/game/wii/north-american-hunting-extravaganza
North American Hunting Extravaganza 2 (WII),https://www.metacritic.com/game/wii/north-american-hunting-extravaganza-2
NPPL Championship Paintball 2009 (WII),https://www.metacritic.com/game/wii/nppl-championship-paintball-2009
NyxQuest: Kindred Spirits (WII),https://www.metacritic.com/game/wii/nyxquest-kindred-spirits
