title,url
Obscure: The Aftermath (WII),https://www.metacritic.com/game/wii/obscure-the-aftermath
Ocean Commander (WII),https://www.metacritic.com/game/wii/ocean-commander
Octomania (WII),https://www.metacritic.com/game/wii/octomania
Offroad Extreme! Special Edition (WII),https://www.metacritic.com/game/wii/offroad-extreme!-special-edition
Offshore Tycoon (WII),https://www.metacritic.com/game/wii/offshore-tycoon
Ogre Battle 64: Person of Lordly Caliber (WII),https://www.metacritic.com/game/wii/ogre-battle-64-person-of-lordly-caliber
Ogre Battle: The March of the Black Queen (WII),https://www.metacritic.com/game/wii/ogre-battle-the-march-of-the-black-queen
Okami (WII),https://www.metacritic.com/game/wii/okami
Once Upon a Time (WII),https://www.metacritic.com/game/wii/once-upon-a-time
One Piece: Unlimited Adventure (WII),https://www.metacritic.com/game/wii/one-piece-unlimited-adventure
Onechanbara: Bikini Zombie Slayers (WII),https://www.metacritic.com/game/wii/onechanbara-bikini-zombie-slayers
Onslaught (WII),https://www.metacritic.com/game/wii/onslaught
Oops! Prank Party (WII),https://www.metacritic.com/game/wii/oops!-prank-party
Open Season (WII),https://www.metacritic.com/game/wii/open-season
Operation Wolf (WII),https://www.metacritic.com/game/wii/operation-wolf
Opoona (WII),https://www.metacritic.com/game/wii/opoona
Order Up! (WII),https://www.metacritic.com/game/wii/order-up!
Ordyne (TG16) (WII),https://www.metacritic.com/game/wii/ordyne-tg16
Oregon Trail (WII),https://www.metacritic.com/game/wii/oregon-trail
Our House: Party! (WII),https://www.metacritic.com/game/wii/our-house-party!
Outdoor Action Double Pack (WII),https://www.metacritic.com/game/wii/outdoor-action-double-pack
Overflow (WII),https://www.metacritic.com/game/wii/overflow
Overlord: Dark Legend (WII),https://www.metacritic.com/game/wii/overlord-dark-legend
Overturn (WII),https://www.metacritic.com/game/wii/overturn
