title,url
R-Type (Master System) (WII),https://www.metacritic.com/game/wii/r-type-master-system
R-Type (TurboGrafx-16) (WII),https://www.metacritic.com/game/wii/r-type-turbografx-16
R-Type III (WII),https://www.metacritic.com/game/wii/r-type-iii
Rabbids Go Home (WII),https://www.metacritic.com/game/wii/rabbids-go-home
Rabbids Lab (WII),https://www.metacritic.com/game/wii/rabbids-lab
Racers' Islands: Crazy Arenas (WII),https://www.metacritic.com/game/wii/racers-islands-crazy-arenas
Racers' Islands: Crazy Racers (WII),https://www.metacritic.com/game/wii/racers-islands-crazy-racers
Racquet Sports (WII),https://www.metacritic.com/game/wii/racquet-sports
Rage of the Gladiator (WII),https://www.metacritic.com/game/wii/rage-of-the-gladiator
Rainbow Islands: Towering Adventure! (WII),https://www.metacritic.com/game/wii/rainbow-islands-towering-adventure!
Ram Racing (WII),https://www.metacritic.com/game/wii/ram-racing
Rambo: First Blood Part II (WII),https://www.metacritic.com/game/wii/rambo-first-blood-part-ii
Rampage: Total Destruction (WII),https://www.metacritic.com/game/wii/rampage-total-destruction
Rango (WII),https://www.metacritic.com/game/wii/rango
Rapala Pro Bass Fishing 2010 (WII),https://www.metacritic.com/game/wii/rapala-pro-bass-fishing-2010
Rapala Tournament Fishing! (WII),https://www.metacritic.com/game/wii/rapala-tournament-fishing!
Rapala's Fishing Frenzy (WII),https://www.metacritic.com/game/wii/rapalas-fishing-frenzy
Rapala: We Fish (WII),https://www.metacritic.com/game/wii/rapala-we-fish
Raving Rabbids Party Collection (WII),https://www.metacritic.com/game/wii/raving-rabbids-party-collection
Raving Rabbids: Travel in Time (WII),https://www.metacritic.com/game/wii/raving-rabbids-travel-in-time
Rayman Origins (WII),https://www.metacritic.com/game/wii/rayman-origins
Rayman Raving Rabbids (WII),https://www.metacritic.com/game/wii/rayman-raving-rabbids
Rayman Raving Rabbids 2 (WII),https://www.metacritic.com/game/wii/rayman-raving-rabbids-2
Rayman Raving Rabbids: TV Party (WII),https://www.metacritic.com/game/wii/rayman-raving-rabbids-tv-party
Reader Rabbit: 1st Grade (WII),https://www.metacritic.com/game/wii/reader-rabbit-1st-grade
Reader Rabbit: 2nd Grade (WII),https://www.metacritic.com/game/wii/reader-rabbit-2nd-grade
Reader Rabbit: Kindergarten (WII),https://www.metacritic.com/game/wii/reader-rabbit-kindergarten
Reader Rabbit: Preschool (WII),https://www.metacritic.com/game/wii/reader-rabbit-preschool
Ready 2 Rumble Revolution (WII),https://www.metacritic.com/game/wii/ready-2-rumble-revolution
Real Heroes: Firefighter (WII),https://www.metacritic.com/game/wii/real-heroes-firefighter
Rebel Raiders: Operation Nighthawk (WII),https://www.metacritic.com/game/wii/rebel-raiders-operation-nighthawk
Rec Room Games (WII),https://www.metacritic.com/game/wii/rec-room-games
Red Steel (WII),https://www.metacritic.com/game/wii/red-steel
Red Steel 2 (WII),https://www.metacritic.com/game/wii/red-steel-2
Reel Fishing Challenge (WII),https://www.metacritic.com/game/wii/reel-fishing-challenge
Reel Fishing Challenge II (WII),https://www.metacritic.com/game/wii/reel-fishing-challenge-ii
Reel Fishing: Angler's Dream (WII),https://www.metacritic.com/game/wii/reel-fishing-anglers-dream
Reel Fishing: Ocean Challenge (WII),https://www.metacritic.com/game/wii/reel-fishing-ocean-challenge
Reload: Target Down (WII),https://www.metacritic.com/game/wii/reload-target-down
Remington Great American Bird Hunt (WII),https://www.metacritic.com/game/wii/remington-great-american-bird-hunt
Remington Great American Bird Hunt and Shimano Xtreme Fishing Dual Pack (WII),https://www.metacritic.com/game/wii/remington-great-american-bird-hunt-and-shimano-xtreme-fishing-dual-pack
Remington Super Slam Hunting: Africa (WII),https://www.metacritic.com/game/wii/remington-super-slam-hunting-africa
Remington Super Slam Hunting: Alaska (WII),https://www.metacritic.com/game/wii/remington-super-slam-hunting-alaska
Remington Super Slam Hunting: North America (WII),https://www.metacritic.com/game/wii/remington-super-slam-hunting-north-america
Renegade (WII),https://www.metacritic.com/game/wii/renegade
Resident Evil 4: Wii Edition (WII),https://www.metacritic.com/game/wii/resident-evil-4-wii-edition
Resident Evil Archives: Resident Evil (WII),https://www.metacritic.com/game/wii/resident-evil-archives-resident-evil
Resident Evil Archives: Resident Evil Zero (WII),https://www.metacritic.com/game/wii/resident-evil-archives-resident-evil-zero
Resident Evil: The Darkside Chronicles (WII),https://www.metacritic.com/game/wii/resident-evil-the-darkside-chronicles
Resident Evil: The Umbrella Chronicles (WII),https://www.metacritic.com/game/wii/resident-evil-the-umbrella-chronicles
Retro City Rampage (WII),https://www.metacritic.com/game/wii/retro-city-rampage
Rhythm Heaven Fever (WII),https://www.metacritic.com/game/wii/rhythm-heaven-fever
Rig Racer 2 (WII),https://www.metacritic.com/game/wii/rig-racer-2
Ringling Bros. and Barnum & Bailey Circus (WII),https://www.metacritic.com/game/wii/ringling-bros-and-barnum-bailey-circus
Rio (WII),https://www.metacritic.com/game/wii/rio
Riot Zone (WII),https://www.metacritic.com/game/wii/riot-zone
Rise of the Guardians (WII),https://www.metacritic.com/game/wii/rise-of-the-guardians
