title,url
S.C.A.T.: Special Cybernetic Attack Team (WII),https://www.metacritic.com/game/wii/scat-special-cybernetic-attack-team
Saban's Power Rangers Samurai (WII),https://www.metacritic.com/game/wii/sabans-power-rangers-samurai
Safari Adventures Africa (WII),https://www.metacritic.com/game/wii/safari-adventures-africa
Safecracker: The Ultimate Puzzle Adventure (WII),https://www.metacritic.com/game/wii/safecracker-the-ultimate-puzzle-adventure
Saint (WII),https://www.metacritic.com/game/wii/saint
"Sakura Wars: So Long, My Love (WII)",https://www.metacritic.com/game/wii/sakura-wars-so-long-my-love
Sam & Max: Beyond Time and Space (WII),https://www.metacritic.com/game/wii/sam-max-beyond-time-and-space
Sam & Max: Season One (WII),https://www.metacritic.com/game/wii/sam-max-season-one
Samba de Amigo (WII),https://www.metacritic.com/game/wii/samba-de-amigo
Samurai Ghost (WII),https://www.metacritic.com/game/wii/samurai-ghost
Samurai Shodown (WII),https://www.metacritic.com/game/wii/samurai-shodown
Samurai Shodown Anthology (WII),https://www.metacritic.com/game/wii/samurai-shodown-anthology
Samurai Shodown II (WII),https://www.metacritic.com/game/wii/samurai-shodown-ii
Samurai Shodown III (WII),https://www.metacritic.com/game/wii/samurai-shodown-iii
Samurai Warriors 3 (WII),https://www.metacritic.com/game/wii/samurai-warriors-3
Samurai Warriors: Katana (WII),https://www.metacritic.com/game/wii/samurai-warriors-katana
Sandy Beach (WII),https://www.metacritic.com/game/wii/sandy-beach
Santa Claus is Comin' to Town! (WII),https://www.metacritic.com/game/wii/santa-claus-is-comin-to-town!
Satisfashion (WII),https://www.metacritic.com/game/wii/satisfashion
Save the Furries (WII),https://www.metacritic.com/game/wii/save-the-furries
Scarface: The World Is Yours (WII),https://www.metacritic.com/game/wii/scarface-the-world-is-yours
Scene It? Bright Lights! Big Screen! (WII),https://www.metacritic.com/game/wii/scene-it-bright-lights!-big-screen!
Scene It? Twilight (WII),https://www.metacritic.com/game/wii/scene-it-twilight
Science Papa (WII),https://www.metacritic.com/game/wii/science-papa
Scooby-Doo! and the Spooky Swamp (WII),https://www.metacritic.com/game/wii/scooby-doo!-and-the-spooky-swamp
Scooby-Doo! First Frights (WII),https://www.metacritic.com/game/wii/scooby-doo!-first-frights
SCORE International Baja 1000 (WII),https://www.metacritic.com/game/wii/score-international-baja-1000
Sea Monsters: A Prehistoric Adventure (WII),https://www.metacritic.com/game/wii/sea-monsters-a-prehistoric-adventure
Secret Files 2: Puritas Cordis (WII),https://www.metacritic.com/game/wii/secret-files-2-puritas-cordis
Secret Files: Tunguska (WII),https://www.metacritic.com/game/wii/secret-files-tunguska
Secret of Mana (WII),https://www.metacritic.com/game/wii/secret-of-mana
Sega Bass Fishing (WII),https://www.metacritic.com/game/wii/sega-bass-fishing
Sega Fun Pack: Sonic and the Secret Rings / Super Monkey Ball: Banana Blitz (WII),https://www.metacritic.com/game/wii/sega-fun-pack-sonic-and-the-secret-rings-super-monkey-ball-banana-blitz
Sega Superstars Tennis (WII),https://www.metacritic.com/game/wii/sega-superstars-tennis
Sengoku Basara: Samurai Heroes (WII),https://www.metacritic.com/game/wii/sengoku-basara-samurai-heroes
Sesame Street: Cookie's Counting Carnival (WII),https://www.metacritic.com/game/wii/sesame-street-cookies-counting-carnival
Sesame Street: Elmo's A-to-Zoo Adventure (WII),https://www.metacritic.com/game/wii/sesame-street-elmos-a-to-zoo-adventure
Sesame Street: Elmo's Musical Monsterpiece (WII),https://www.metacritic.com/game/wii/sesame-street-elmos-musical-monsterpiece
"Sesame Street: Ready, Set, Grover! (WII)",https://www.metacritic.com/game/wii/sesame-street-ready-set-grover!
Sexy Poker (WII),https://www.metacritic.com/game/wii/sexy-poker
Shadow Dancer (WII),https://www.metacritic.com/game/wii/shadow-dancer
Shadow of the Ninja (WII),https://www.metacritic.com/game/wii/shadow-of-the-ninja
ShadowPlay (WII),https://www.metacritic.com/game/wii/shadowplay
Shanghai II: Dragon's Eye (WII),https://www.metacritic.com/game/wii/shanghai-ii-dragons-eye
Shaun White Skateboarding (WII),https://www.metacritic.com/game/wii/shaun-white-skateboarding
Shaun White Snowboarding: Road Trip (WII),https://www.metacritic.com/game/wii/shaun-white-snowboarding-road-trip
Shaun White Snowboarding: World Stage (WII),https://www.metacritic.com/game/wii/shaun-white-snowboarding-world-stage
Shawn Johnson Gymnastics (WII),https://www.metacritic.com/game/wii/shawn-johnson-gymnastics
Shimano Xtreme Fishing (WII),https://www.metacritic.com/game/wii/shimano-xtreme-fishing
Shining Force (WII),https://www.metacritic.com/game/wii/shining-force
Shining Force II (WII),https://www.metacritic.com/game/wii/shining-force-ii
Shining in the Darkness (WII),https://www.metacritic.com/game/wii/shining-in-the-darkness
Shinobi (WII),https://www.metacritic.com/game/wii/shinobi
Shinobi III: Return of the Ninja Master (WII),https://www.metacritic.com/game/wii/shinobi-iii-return-of-the-ninja-master
Shiren the Wanderer (WII),https://www.metacritic.com/game/wii/shiren-the-wanderer
Shockman (WII),https://www.metacritic.com/game/wii/shockman
Shootanto: Evolutionary Mayhem (WII),https://www.metacritic.com/game/wii/shootanto-evolutionary-mayhem
Showtime Championship Boxing (WII),https://www.metacritic.com/game/wii/showtime-championship-boxing
Shrek the Third (WII),https://www.metacritic.com/game/wii/shrek-the-third
Sid Meier's Pirates! (WII),https://www.metacritic.com/game/wii/sid-meiers-pirates!
Silent Debuggers (WII),https://www.metacritic.com/game/wii/silent-debuggers
Silent Hill: Shattered Memories (WII),https://www.metacritic.com/game/wii/silent-hill-shattered-memories
Silver Star Chess (WII),https://www.metacritic.com/game/wii/silver-star-chess
Silver Star Reversi (WII),https://www.metacritic.com/game/wii/silver-star-reversi
SimAnimals (WII),https://www.metacritic.com/game/wii/simanimals
SimAnimals Africa (WII),https://www.metacritic.com/game/wii/simanimals-africa
SimCity (WII),https://www.metacritic.com/game/wii/simcity
SimCity Creator (WII),https://www.metacritic.com/game/wii/simcity-creator
SimEarth: The Living Planet (WII),https://www.metacritic.com/game/wii/simearth-the-living-planet
Sin & Punishment: Star Successor (WII),https://www.metacritic.com/game/wii/sin-punishment-star-successor
Sin and Punishment (WII),https://www.metacritic.com/game/wii/sin-and-punishment
Sing4: The Hits Edition (WII),https://www.metacritic.com/game/wii/sing4-the-hits-edition
Six Flags Fun Park (WII),https://www.metacritic.com/game/wii/six-flags-fun-park
Skate City Heroes (WII),https://www.metacritic.com/game/wii/skate-city-heroes
Skate It (WII),https://www.metacritic.com/game/wii/skate-it
Ski and Shoot (WII),https://www.metacritic.com/game/wii/ski-and-shoot
Ski-Doo: Snowmobile Challenge (WII),https://www.metacritic.com/game/wii/ski-doo-snowmobile-challenge
Sky Kid (NES) (WII),https://www.metacritic.com/game/wii/sky-kid-nes
Skylanders Giants (WII),https://www.metacritic.com/game/wii/skylanders-giants
Skylanders SuperChargers Racing (WII),https://www.metacritic.com/game/wii/skylanders-superchargers-racing
Skylanders Swap Force (WII),https://www.metacritic.com/game/wii/skylanders-swap-force
Skylanders Trap Team (WII),https://www.metacritic.com/game/wii/skylanders-trap-team
Skylanders: Spyro's Adventure (WII),https://www.metacritic.com/game/wii/skylanders-spyros-adventure
Sled Shred featuring the Jamaican Bobsled Team (WII),https://www.metacritic.com/game/wii/sled-shred-featuring-the-jamaican-bobsled-team
Smart Series: Jaja's Adventure (WII),https://www.metacritic.com/game/wii/smart-series-jajas-adventure
Smarty Pants (WII),https://www.metacritic.com/game/wii/smarty-pants
Smiley World: Island Challenge (WII),https://www.metacritic.com/game/wii/smiley-world-island-challenge
Snail Mail (WII),https://www.metacritic.com/game/wii/snail-mail
Sneezies (WII),https://www.metacritic.com/game/wii/sneezies
Sniper Elite (WII),https://www.metacritic.com/game/wii/sniper-elite
SNK Arcade Classics Vol. 1 (WII),https://www.metacritic.com/game/wii/snk-arcade-classics-vol-1
Snowboard Riot (WII),https://www.metacritic.com/game/wii/snowboard-riot
Snowpack Park (WII),https://www.metacritic.com/game/wii/snowpack-park
Soccer (WII),https://www.metacritic.com/game/wii/soccer
Soccer Bashi (WII),https://www.metacritic.com/game/wii/soccer-bashi
Soldier Blade (WII),https://www.metacritic.com/game/wii/soldier-blade
Solitaire & Mahjong (WII),https://www.metacritic.com/game/wii/solitaire-mahjong
Solomon's Key (ARCADE) (WII),https://www.metacritic.com/game/wii/solomons-key-arcade
Solomon's Key (NES) (WII),https://www.metacritic.com/game/wii/solomons-key-nes
Sonic & Knuckles (WII),https://www.metacritic.com/game/wii/sonic-knuckles
Sonic & Sega All-Stars Racing (WII),https://www.metacritic.com/game/wii/sonic-sega-all-stars-racing
Sonic 3D Blast (WII),https://www.metacritic.com/game/wii/sonic-3d-blast
Sonic and the Black Knight (WII),https://www.metacritic.com/game/wii/sonic-and-the-black-knight
Sonic and the Secret Rings (WII),https://www.metacritic.com/game/wii/sonic-and-the-secret-rings
Sonic Chaos (WII),https://www.metacritic.com/game/wii/sonic-chaos
Sonic Colors (WII),https://www.metacritic.com/game/wii/sonic-colors
Sonic Riders: Zero Gravity (WII),https://www.metacritic.com/game/wii/sonic-riders-zero-gravity
Sonic Spinball (WII),https://www.metacritic.com/game/wii/sonic-spinball
Sonic the Hedgehog (WII),https://www.metacritic.com/game/wii/sonic-the-hedgehog
Sonic the Hedgehog (Master System) (WII),https://www.metacritic.com/game/wii/sonic-the-hedgehog-master-system
Sonic the Hedgehog 2 (WII),https://www.metacritic.com/game/wii/sonic-the-hedgehog-2
