title,url
U-four-ia: The Saga (WII),https://www.metacritic.com/game/wii/u-four-ia-the-saga
Ubongo (WII),https://www.metacritic.com/game/wii/ubongo
uDraw Studio (WII),https://www.metacritic.com/game/wii/udraw-studio
uDraw Studio: Instant Artist (WII),https://www.metacritic.com/game/wii/udraw-studio-instant-artist
UFC Personal Trainer: The Ultimate Fitness System (WII),https://www.metacritic.com/game/wii/ufc-personal-trainer-the-ultimate-fitness-system
Ultimate Band (WII),https://www.metacritic.com/game/wii/ultimate-band
Ultimate Board Game Collection (WII),https://www.metacritic.com/game/wii/ultimate-board-game-collection
Ultimate Duck Hunting (WII),https://www.metacritic.com/game/wii/ultimate-duck-hunting
Ultimate I Spy (WII),https://www.metacritic.com/game/wii/ultimate-i-spy
Ultimate Party Challenge (WII),https://www.metacritic.com/game/wii/ultimate-party-challenge
Ultimate Shooting Collection (WII),https://www.metacritic.com/game/wii/ultimate-shooting-collection
Uno (WII),https://www.metacritic.com/game/wii/uno
Urban Champion (WII),https://www.metacritic.com/game/wii/urban-champion
Urbanix (WII),https://www.metacritic.com/game/wii/urbanix
