title,url
Zack & Wiki: Quest for Barbaros' Treasure (WII),https://www.metacritic.com/game/wii/zack-wiki-quest-for-barbaros-treasure
Zanac (WII),https://www.metacritic.com/game/wii/zanac
Zaxxon (WII),https://www.metacritic.com/game/wii/zaxxon
Zelda II: The Adventure of Link (WII),https://www.metacritic.com/game/wii/zelda-ii-the-adventure-of-link
ZhuZhu Pets: Featuring The Wild Bunch (WII),https://www.metacritic.com/game/wii/zhuzhu-pets-featuring-the-wild-bunch
Zombie Panic in Wonderland (WII),https://www.metacritic.com/game/wii/zombie-panic-in-wonderland
Zombies Ate My Neighbors (WII),https://www.metacritic.com/game/wii/zombies-ate-my-neighbors
Zombii Attack (WII),https://www.metacritic.com/game/wii/zombii-attack
Zoo Disc Golf (WII),https://www.metacritic.com/game/wii/zoo-disc-golf
Zoo Hospital (WII),https://www.metacritic.com/game/wii/zoo-hospital
Zumba Fitness 2 (WII),https://www.metacritic.com/game/wii/zumba-fitness-2
Zumba Fitness Core (WII),https://www.metacritic.com/game/wii/zumba-fitness-core
Zumba Fitness World Party (WII),https://www.metacritic.com/game/wii/zumba-fitness-world-party
Zumba Fitness: Join the Party (WII),https://www.metacritic.com/game/wii/zumba-fitness-join-the-party
Zumba Kids (WII),https://www.metacritic.com/game/wii/zumba-kids
