title,url
A Frog's Job (XBSX),https://www.metacritic.com/game/xbox-series-x/a-frogs-job
A Gummy's Life (XBSX),https://www.metacritic.com/game/xbox-series-x/a-gummys-life
A Juggler's Tale (XBSX),https://www.metacritic.com/game/xbox-series-x/a-jugglers-tale
A Little Lily Princess (XBSX),https://www.metacritic.com/game/xbox-series-x/a-little-lily-princess
A Memoir Blue (XBSX),https://www.metacritic.com/game/xbox-series-x/a-memoir-blue
A Musical Story (XBSX),https://www.metacritic.com/game/xbox-series-x/a-musical-story
A Plague Tale: Innocence (XBSX),https://www.metacritic.com/game/xbox-series-x/a-plague-tale-innocence
A Plague Tale: Requiem (XBSX),https://www.metacritic.com/game/xbox-series-x/a-plague-tale-requiem
A Pretty Odd Bunny (XBSX),https://www.metacritic.com/game/xbox-series-x/a-pretty-odd-bunny
A Sketchbook About Her Sun (XBSX),https://www.metacritic.com/game/xbox-series-x/a-sketchbook-about-her-sun
A Space For The Unbound (XBSX),https://www.metacritic.com/game/xbox-series-x/a-space-for-the-unbound
A Tale of Paper: Refolded (XBSX),https://www.metacritic.com/game/xbox-series-x/a-tale-of-paper-refolded
A Winter's Daydream (XBSX),https://www.metacritic.com/game/xbox-series-x/a-winters-daydream
A YEAR OF SPRINGS (XBSX),https://www.metacritic.com/game/xbox-series-x/a-year-of-springs
Active Neurons - Puzzle game (XBSX),https://www.metacritic.com/game/xbox-series-x/active-neurons---puzzle-game
Aeon Drive (XBSX),https://www.metacritic.com/game/xbox-series-x/aeon-drive
Aerial_Knight's Never Yield (XBSX),https://www.metacritic.com/game/xbox-series-x/aerial_knights-never-yield
Aeterna Noctis (XBSX),https://www.metacritic.com/game/xbox-series-x/aeterna-noctis
After Us (XBSX),https://www.metacritic.com/game/xbox-series-x/after-us
After Wave: Downfall (XBSX),https://www.metacritic.com/game/xbox-series-x/after-wave-downfall
Afterglitch (XBSX),https://www.metacritic.com/game/xbox-series-x/afterglitch
Afterimage (XBSX),https://www.metacritic.com/game/xbox-series-x/afterimage
Age of Empires II: Definitive Edition (XBSX),https://www.metacritic.com/game/xbox-series-x/age-of-empires-ii-definitive-edition
Age of Wonders 4 (XBSX),https://www.metacritic.com/game/xbox-series-x/age-of-wonders-4
Agent Intercept (XBSX),https://www.metacritic.com/game/xbox-series-x/agent-intercept
Airborne Kingdom (XBSX),https://www.metacritic.com/game/xbox-series-x/airborne-kingdom
Airoheart (XBSX),https://www.metacritic.com/game/xbox-series-x/airoheart
Akka Arrh (XBSX),https://www.metacritic.com/game/xbox-series-x/akka-arrh
Alan Wake Remastered (XBSX),https://www.metacritic.com/game/xbox-series-x/alan-wake-remastered
Alba: A Wildlife Adventure (XBSX),https://www.metacritic.com/game/xbox-series-x/alba-a-wildlife-adventure
Albacete Warrior (XBSX),https://www.metacritic.com/game/xbox-series-x/albacete-warrior
Alchemic Cutie (XBSX),https://www.metacritic.com/game/xbox-series-x/alchemic-cutie
