title,url
EA Sports PGA Tour (XBSX),https://www.metacritic.com/game/xbox-series-x/ea-sports-pga-tour
EA SPORTS UFC 4 (XBSX),https://www.metacritic.com/game/xbox-series-x/ea-sports-ufc-4
Echo Generation (XBSX),https://www.metacritic.com/game/xbox-series-x/echo-generation
Ed-0: Zombie Uprising (XBSX),https://www.metacritic.com/game/xbox-series-x/ed-0-zombie-uprising
Edge Of Eternity (XBSX),https://www.metacritic.com/game/xbox-series-x/edge-of-eternity
eFootball 2022 (XBSX),https://www.metacritic.com/game/xbox-series-x/efootball-2022
eFootball 2023 (XBSX),https://www.metacritic.com/game/xbox-series-x/efootball-2023
Egglien (XBSX),https://www.metacritic.com/game/xbox-series-x/egglien
Eiyuden Chronicle: Rising (XBSX),https://www.metacritic.com/game/xbox-series-x/eiyuden-chronicle-rising
Elasto Mania Remastered (XBSX),https://www.metacritic.com/game/xbox-series-x/elasto-mania-remastered
Elden Ring (XBSX),https://www.metacritic.com/game/xbox-series-x/elden-ring
Eldest Souls (XBSX),https://www.metacritic.com/game/xbox-series-x/eldest-souls
Elemental War 2 (XBSX),https://www.metacritic.com/game/xbox-series-x/elemental-war-2
ELEX II (XBSX),https://www.metacritic.com/game/xbox-series-x/elex-ii
Embr (XBSX),https://www.metacritic.com/game/xbox-series-x/embr
emoji Kart Racer (XBSX),https://www.metacritic.com/game/xbox-series-x/emoji-kart-racer
ENDER LILIES: Quietus of the Knights (XBSX),https://www.metacritic.com/game/xbox-series-x/ender-lilies-quietus-of-the-knights
Endless Dungeon (XBSX),https://www.metacritic.com/game/xbox-series-x/endless-dungeon
Endless Fables: Shadow Within (XBSX),https://www.metacritic.com/game/xbox-series-x/endless-fables-shadow-within
Endling - Extinction is Forever (XBSX),https://www.metacritic.com/game/xbox-series-x/endling---extinction-is-forever
Endzone: A World Apart - Distant Places (XBSX),https://www.metacritic.com/game/xbox-series-x/endzone-a-world-apart---distant-places
Endzone: A World Apart - Survivor Edition (XBSX),https://www.metacritic.com/game/xbox-series-x/endzone-a-world-apart---survivor-edition
Energy Cycle (XBSX),https://www.metacritic.com/game/xbox-series-x/energy-cycle
Energy Cycle Edge (XBSX),https://www.metacritic.com/game/xbox-series-x/energy-cycle-edge
Enlisted (XBSX),https://www.metacritic.com/game/xbox-series-x/enlisted
Escape Academy (XBSX),https://www.metacritic.com/game/xbox-series-x/escape-academy
Escape Academy: Escape from Anti-Escape Island (XBSX),https://www.metacritic.com/game/xbox-series-x/escape-academy-escape-from-anti-escape-island
Ever Forward (XBSX),https://www.metacritic.com/game/xbox-series-x/ever-forward
Evergate (XBSX),https://www.metacritic.com/game/xbox-series-x/evergate
Evil Dead: The Game (XBSX),https://www.metacritic.com/game/xbox-series-x/evil-dead-the-game
Evil Genius 2: World Domination (XBSX),https://www.metacritic.com/game/xbox-series-x/evil-genius-2-world-domination
Evil Inside (XBSX),https://www.metacritic.com/game/xbox-series-x/evil-inside
Evil West (XBSX),https://www.metacritic.com/game/xbox-series-x/evil-west
Eville (XBSX),https://www.metacritic.com/game/xbox-series-x/eville
EvilUP (XBSX),https://www.metacritic.com/game/xbox-series-x/evilup
Exo One (XBSX),https://www.metacritic.com/game/xbox-series-x/exo-one
Exoprimal (XBSX),https://www.metacritic.com/game/xbox-series-x/exoprimal
Explosive Candy World (XBSX),https://www.metacritic.com/game/xbox-series-x/explosive-candy-world
Enigmatis: The Ghosts of Maple Creek (PS4),https://www.metacritic.com/game/playstation-4/enigmatis-the-ghosts-of-maple-creek
Enlisted (PS4),https://www.metacritic.com/game/playstation-4/enlisted
Enter Digiton: Heart of Corruption (PS4),https://www.metacritic.com/game/playstation-4/enter-digiton-heart-of-corruption
Enter the Gungeon (PS4),https://www.metacritic.com/game/playstation-4/enter-the-gungeon
Entwined (PS4),https://www.metacritic.com/game/playstation-4/entwined
Epic Astro Story (PS4),https://www.metacritic.com/game/playstation-4/epic-astro-story
Epic Chef (PS4),https://www.metacritic.com/game/playstation-4/epic-chef
Epic Dumpster Bear 2: He Who Bears Wins (PS4),https://www.metacritic.com/game/playstation-4/epic-dumpster-bear-2-he-who-bears-wins
Epic Dumpster Bear: Dumpster Fire Redux (PS4),https://www.metacritic.com/game/playstation-4/epic-dumpster-bear-dumpster-fire-redux
Epic Word Search Collection (PS4),https://www.metacritic.com/game/playstation-4/epic-word-search-collection
Epic Word Search Collection 2 (PS4),https://www.metacritic.com/game/playstation-4/epic-word-search-collection-2
Epic World (PS4),https://www.metacritic.com/game/playstation-4/epic-world
Epitasis (PS4),https://www.metacritic.com/game/playstation-4/epitasis
Erica (PS4),https://www.metacritic.com/game/playstation-4/erica
Escape 2088 (PS4),https://www.metacritic.com/game/playstation-4/escape-2088
Escape Academy (PS4),https://www.metacritic.com/game/playstation-4/escape-academy
Escape Academy: Escape from Anti-Escape Island (PS4),https://www.metacritic.com/game/playstation-4/escape-academy-escape-from-anti-escape-island
Escape First (PS4),https://www.metacritic.com/game/playstation-4/escape-first
Escape First 2 (PS4),https://www.metacritic.com/game/playstation-4/escape-first-2
Escape First 3 (PS4),https://www.metacritic.com/game/playstation-4/escape-first-3
Escape from Life Inc (PS4),https://www.metacritic.com/game/playstation-4/escape-from-life-inc
Escape From Tethys (PS4),https://www.metacritic.com/game/playstation-4/escape-from-tethys
Escape Game - FORT BOYARD 2022 (PS4),https://www.metacritic.com/game/playstation-4/escape-game---fort-boyard-2022
Escape Game: Aloha (PS4),https://www.metacritic.com/game/playstation-4/escape-game-aloha
Escape Game: Fort Boyard (PS4),https://www.metacritic.com/game/playstation-4/escape-game-fort-boyard
Escape Goat 2 (PS4),https://www.metacritic.com/game/playstation-4/escape-goat-2
Escape Plan (PS4),https://www.metacritic.com/game/playstation-4/escape-plan
Escape Plan: Director's Cut (PS4),https://www.metacritic.com/game/playstation-4/escape-plan-directors-cut
Escape Plan: The Asylum (PS4),https://www.metacritic.com/game/playstation-4/escape-plan-the-asylum
Escape Plan: The Underground (PS4),https://www.metacritic.com/game/playstation-4/escape-plan-the-underground
Escape Sequence (PS4),https://www.metacritic.com/game/playstation-4/escape-sequence
Escape String (PS4),https://www.metacritic.com/game/playstation-4/escape-string
Eschatos (PS4),https://www.metacritic.com/game/playstation-4/eschatos
Esper (PS4),https://www.metacritic.com/game/playstation-4/esper
Espire 1: VR Operative (PS4),https://www.metacritic.com/game/playstation-4/espire-1-vr-operative
Esports Life Tycoon (PS4),https://www.metacritic.com/game/playstation-4/esports-life-tycoon
Eternal Hope (PS4),https://www.metacritic.com/game/playstation-4/eternal-hope
Eternal Kingdom Battle Peak (PS4),https://www.metacritic.com/game/playstation-4/eternal-kingdom-battle-peak
Eternal Radiance (PS4),https://www.metacritic.com/game/playstation-4/eternal-radiance
Eternal Ring (PS4),https://www.metacritic.com/game/playstation-4/eternal-ring
Eternity: The Last Unicorn (PS4),https://www.metacritic.com/game/playstation-4/eternity-the-last-unicorn
Eternum EX (PS4),https://www.metacritic.com/game/playstation-4/eternum-ex
ETHER One (PS4),https://www.metacritic.com/game/playstation-4/ether-one
Etherborn (PS4),https://www.metacritic.com/game/playstation-4/etherborn
