title,url
F1 2021 (XBSX),https://www.metacritic.com/game/xbox-series-x/f1-2021
F1 22 (XBSX),https://www.metacritic.com/game/xbox-series-x/f1-22
F1 Manager 2022 (XBSX),https://www.metacritic.com/game/xbox-series-x/f1-manager-2022
Fae Tactics (XBSX),https://www.metacritic.com/game/xbox-series-x/fae-tactics
Fairy Elements (XBSX),https://www.metacritic.com/game/xbox-series-x/fairy-elements
Fall Guys (XBSX),https://www.metacritic.com/game/xbox-series-x/fall-guys
Fallen Legion: Rise to Glory / Fallen Legion Revenants (XBSX),https://www.metacritic.com/game/xbox-series-x/fallen-legion-rise-to-glory-fallen-legion-revenants
FALLING OUT (XBSX),https://www.metacritic.com/game/xbox-series-x/falling-out
Family Feud (XBSX),https://www.metacritic.com/game/xbox-series-x/family-feud
Family Mysteries 3: Criminal Mindset (XBSX),https://www.metacritic.com/game/xbox-series-x/family-mysteries-3-criminal-mindset
Fantasy Dash (XBSX),https://www.metacritic.com/game/xbox-series-x/fantasy-dash
Far Cry 6 (XBSX),https://www.metacritic.com/game/xbox-series-x/far-cry-6
Far Cry 6 - Joseph: Collapse (XBSX),https://www.metacritic.com/game/xbox-series-x/far-cry-6---joseph-collapse
Far Cry 6 - Pagan: Control (XBSX),https://www.metacritic.com/game/xbox-series-x/far-cry-6---pagan-control
Far Cry 6 - The Vanishing (XBSX),https://www.metacritic.com/game/xbox-series-x/far-cry-6---the-vanishing
Far Cry 6 - Vaas: Insanity (XBSX),https://www.metacritic.com/game/xbox-series-x/far-cry-6---vaas-insanity
Far Cry 6: Lost Between Worlds (XBSX),https://www.metacritic.com/game/xbox-series-x/far-cry-6-lost-between-worlds
FAR: Changing Tides (XBSX),https://www.metacritic.com/game/xbox-series-x/far-changing-tides
Farm Slider (XBSX),https://www.metacritic.com/game/xbox-series-x/farm-slider
Farming Simulator 22 (XBSX),https://www.metacritic.com/game/xbox-series-x/farming-simulator-22
Farming Simulator 22: Platinum Edition (XBSX),https://www.metacritic.com/game/xbox-series-x/farming-simulator-22-platinum-edition
Farming Simulator 22: Platinum Expansion (XBSX),https://www.metacritic.com/game/xbox-series-x/farming-simulator-22-platinum-expansion
