title,url
Kaichu - The Kaiju Dating Sim (XBSX),https://www.metacritic.com/game/xbox-series-x/kaichu---the-kaiju-dating-sim
Kaiju Wars (XBSX),https://www.metacritic.com/game/xbox-series-x/kaiju-wars
Kamikaze Veggies (XBSX),https://www.metacritic.com/game/xbox-series-x/kamikaze-veggies
Kansei: The Second Turn HD (XBSX),https://www.metacritic.com/game/xbox-series-x/kansei-the-second-turn-hd
Kao the Kangaroo (XBSX),https://www.metacritic.com/game/xbox-series-x/kao-the-kangaroo
"Kao the Kangaroo: Oh, Well! (XBSX)",https://www.metacritic.com/game/xbox-series-x/kao-the-kangaroo-oh-well!
Katamari Damacy REROLL (XBSX),https://www.metacritic.com/game/xbox-series-x/katamari-damacy-reroll
Kattish (XBSX),https://www.metacritic.com/game/xbox-series-x/kattish
Kerbal Space Program: Enhanced Edition (XBSX),https://www.metacritic.com/game/xbox-series-x/kerbal-space-program-enhanced-edition
KeyWe (XBSX),https://www.metacritic.com/game/xbox-series-x/keywe
Kid Ball Adventure (XBSX),https://www.metacritic.com/game/xbox-series-x/kid-ball-adventure
Kid Tripp (XBSX),https://www.metacritic.com/game/xbox-series-x/kid-tripp
Kinduo (XBSX),https://www.metacritic.com/game/xbox-series-x/kinduo
King Leo (XBSX),https://www.metacritic.com/game/xbox-series-x/king-leo
King of the Arcade (XBSX),https://www.metacritic.com/game/xbox-series-x/king-of-the-arcade
Kingdom of Arcadia (XBSX),https://www.metacritic.com/game/xbox-series-x/kingdom-of-arcadia
Kingdom: Two Crowns - Norse Lands (XBSX),https://www.metacritic.com/game/xbox-series-x/kingdom-two-crowns---norse-lands
Kitaria Fables (XBSX),https://www.metacritic.com/game/xbox-series-x/kitaria-fables
Klang 2 (XBSX),https://www.metacritic.com/game/xbox-series-x/klang-2
Klonoa Phantasy Reverie Series (XBSX),https://www.metacritic.com/game/xbox-series-x/klonoa-phantasy-reverie-series
Knightin'+ (XBSX),https://www.metacritic.com/game/xbox-series-x/knightin+
Knockout City (XBSX),https://www.metacritic.com/game/xbox-series-x/knockout-city
Kombinera (XBSX),https://www.metacritic.com/game/xbox-series-x/kombinera
Krampus Kills (XBSX),https://www.metacritic.com/game/xbox-series-x/krampus-kills
Krut: The Mythic Wings (XBSX),https://www.metacritic.com/game/xbox-series-x/krut-the-mythic-wings
KungFu Kickball (XBSX),https://www.metacritic.com/game/xbox-series-x/kungfu-kickball
Klonoa Phantasy Reverie Series (PS4),https://www.metacritic.com/game/playstation-4/klonoa-phantasy-reverie-series
Knack (PS4),https://www.metacritic.com/game/playstation-4/knack
Knack 2 (PS4),https://www.metacritic.com/game/playstation-4/knack-2
Knee Deep (PS4),https://www.metacritic.com/game/playstation-4/knee-deep
Knight Squad 2 (PS4),https://www.metacritic.com/game/playstation-4/knight-squad-2
Knight's Retreat (PS4),https://www.metacritic.com/game/playstation-4/knights-retreat
Knightin'+ (PS4),https://www.metacritic.com/game/playstation-4/knightin+
Knights and Bikes (PS4),https://www.metacritic.com/game/playstation-4/knights-and-bikes
Knights of Pen & Paper 2: Deluxiest Edition (PS4),https://www.metacritic.com/game/playstation-4/knights-of-pen-paper-2-deluxiest-edition
Knights of Pen and Paper +1 Deluxier Edition (PS4),https://www.metacritic.com/game/playstation-4/knights-of-pen-and-paper-+1-deluxier-edition
