title,url
Ultra Pixel Survive (XBSX),https://www.metacritic.com/game/xbox-series-x/ultra-pixel-survive
UltraGoodness 2 (XBSX),https://www.metacritic.com/game/xbox-series-x/ultragoodness-2
Unbound: Worlds Apart (XBSX),https://www.metacritic.com/game/xbox-series-x/unbound-worlds-apart
Undertale (XBSX),https://www.metacritic.com/game/xbox-series-x/undertale
Unexplored 2: The Wayfarer's Legacy (XBSX),https://www.metacritic.com/game/xbox-series-x/unexplored-2-the-wayfarers-legacy
Unichrome: A 1-bit Unicorn Adventure (XBSX),https://www.metacritic.com/game/xbox-series-x/unichrome-a-1-bit-unicorn-adventure
United Assault - Battle of the Bulge (XBSX),https://www.metacritic.com/game/xbox-series-x/united-assault---battle-of-the-bulge
United Assault - Normandy '44 (XBSX),https://www.metacritic.com/game/xbox-series-x/united-assault---normandy-44
Unsouled (XBSX),https://www.metacritic.com/game/xbox-series-x/unsouled
Until the Last Plane (XBSX),https://www.metacritic.com/game/xbox-series-x/until-the-last-plane
Untitled Darkness (XBSX),https://www.metacritic.com/game/xbox-series-x/untitled-darkness
Unusual Findings (XBSX),https://www.metacritic.com/game/xbox-series-x/unusual-findings
