title,url
Wanted: Dead (XBSX),https://www.metacritic.com/game/xbox-series-x/wanted-dead
War Hospital (XBSX),https://www.metacritic.com/game/xbox-series-x/war-hospital
War Thunder (XBSX),https://www.metacritic.com/game/xbox-series-x/war-thunder
"Warhammer 40,000: Battlesector (XBSX)",https://www.metacritic.com/game/xbox-series-x/warhammer-40000-battlesector
"Warhammer 40,000: Battlesector - Necrons (XBSX)",https://www.metacritic.com/game/xbox-series-x/warhammer-40000-battlesector---necrons
"Warhammer 40,000: Boltgun (XBSX)",https://www.metacritic.com/game/xbox-series-x/warhammer-40000-boltgun
"Warhammer 40,000: Inquisitor - Martyr (XBSX)",https://www.metacritic.com/game/xbox-series-x/warhammer-40000-inquisitor---martyr
"Warhammer 40,000: Inquisitor - Ultimate Edition (XBSX)",https://www.metacritic.com/game/xbox-series-x/warhammer-40000-inquisitor---ultimate-edition
"Warhammer 40,000: Shootas, Blood & Teef (XBSX)",https://www.metacritic.com/game/xbox-series-x/warhammer-40000-shootas-blood-teef
Warhammer: Chaosbane (XBSX),https://www.metacritic.com/game/xbox-series-x/warhammer-chaosbane
Warp Drive (XBSX),https://www.metacritic.com/game/xbox-series-x/warp-drive
Warpips (XBSX),https://www.metacritic.com/game/xbox-series-x/warpips
Watch Dogs: Legion (XBSX),https://www.metacritic.com/game/xbox-series-x/watch-dogs-legion
Watch Dogs: Legion - Bloodline (XBSX),https://www.metacritic.com/game/xbox-series-x/watch-dogs-legion---bloodline
Wave Break (XBSX),https://www.metacritic.com/game/xbox-series-x/wave-break
Wavetale (XBSX),https://www.metacritic.com/game/xbox-series-x/wavetale
Way of the Hunter (XBSX),https://www.metacritic.com/game/xbox-series-x/way-of-the-hunter
Wayward Strand (XBSX),https://www.metacritic.com/game/xbox-series-x/wayward-strand
We Are The Caretakers (XBSX),https://www.metacritic.com/game/xbox-series-x/we-are-the-caretakers
We Love Katamari REROLL+ Royal Reverie (XBSX),https://www.metacritic.com/game/xbox-series-x/we-love-katamari-reroll+-royal-reverie
We Were Here Forever (XBSX),https://www.metacritic.com/game/xbox-series-x/we-were-here-forever
Webgeon Speedrun Edition (XBSX),https://www.metacritic.com/game/xbox-series-x/webgeon-speedrun-edition
Werewolf: The Apocalypse - Earthblood (XBSX),https://www.metacritic.com/game/xbox-series-x/werewolf-the-apocalypse---earthblood
What Remains of Edith Finch (XBSX),https://www.metacritic.com/game/xbox-series-x/what-remains-of-edith-finch
Whiskey & Zombies (XBSX),https://www.metacritic.com/game/xbox-series-x/whiskey-zombies
White Day: A Labyrinth Named School (XBSX),https://www.metacritic.com/game/xbox-series-x/white-day-a-labyrinth-named-school
White Shadows (XBSX),https://www.metacritic.com/game/xbox-series-x/white-shadows
Who's Your Daddy?! (XBSX),https://www.metacritic.com/game/xbox-series-x/whos-your-daddy!
Why Pizza? (XBSX),https://www.metacritic.com/game/xbox-series-x/why-pizza
Wife Quest (XBSX),https://www.metacritic.com/game/xbox-series-x/wife-quest
Wild Hearts (XBSX),https://www.metacritic.com/game/xbox-series-x/wild-hearts
Wild West Crops (XBSX),https://www.metacritic.com/game/xbox-series-x/wild-west-crops
Will Die Alone (XBSX),https://www.metacritic.com/game/xbox-series-x/will-die-alone
Wings of Bluestar (XBSX),https://www.metacritic.com/game/xbox-series-x/wings-of-bluestar
Winter Ember (XBSX),https://www.metacritic.com/game/xbox-series-x/winter-ember
Winter Games 2023 (XBSX),https://www.metacritic.com/game/xbox-series-x/winter-games-2023
Winter Sports Games: 4K Edition (XBSX),https://www.metacritic.com/game/xbox-series-x/winter-sports-games-4k-edition
Witchcrafty (XBSX),https://www.metacritic.com/game/xbox-series-x/witchcrafty
Within the Blade (XBSX),https://www.metacritic.com/game/xbox-series-x/within-the-blade
Wo Long: Fallen Dynasty (XBSX),https://www.metacritic.com/game/xbox-series-x/wo-long-fallen-dynasty
