title,url
Damage Inc.: Pacific Squadron WWII (X360),https://www.metacritic.com/game/xbox-360/damage-inc-pacific-squadron-wwii
Damnation (X360),https://www.metacritic.com/game/xbox-360/damnation
Dance Central (X360),https://www.metacritic.com/game/xbox-360/dance-central
Dance Central 2 (X360),https://www.metacritic.com/game/xbox-360/dance-central-2
Dance Central 3 (X360),https://www.metacritic.com/game/xbox-360/dance-central-3
Dance Dance Revolution Universe (X360),https://www.metacritic.com/game/xbox-360/dance-dance-revolution-universe
Dance Dance Revolution Universe 2 (X360),https://www.metacritic.com/game/xbox-360/dance-dance-revolution-universe-2
Dance Dance Revolution Universe 3 (X360),https://www.metacritic.com/game/xbox-360/dance-dance-revolution-universe-3
Dance Paradise (X360),https://www.metacritic.com/game/xbox-360/dance-paradise
Dance! It's Your Stage (X360),https://www.metacritic.com/game/xbox-360/dance!-its-your-stage
DanceDanceRevolution (X360),https://www.metacritic.com/game/xbox-360/dancedancerevolution
DanceMasters (X360),https://www.metacritic.com/game/xbox-360/dancemasters
Dante's Inferno (X360),https://www.metacritic.com/game/xbox-360/dantes-inferno
Dante's Inferno: Dark Forest Pack (X360),https://www.metacritic.com/game/xbox-360/dantes-inferno-dark-forest-pack
Dante's Inferno: Trials of St. Lucia (X360),https://www.metacritic.com/game/xbox-360/dantes-inferno-trials-of-st-lucia
DARK (X360),https://www.metacritic.com/game/xbox-360/dark
Dark Messiah of Might and Magic: Elements (X360),https://www.metacritic.com/game/xbox-360/dark-messiah-of-might-and-magic-elements
Dark Sector (X360),https://www.metacritic.com/game/xbox-360/dark-sector
Dark Souls (X360),https://www.metacritic.com/game/xbox-360/dark-souls
Dark Souls II (X360),https://www.metacritic.com/game/xbox-360/dark-souls-ii
Dark Souls II: Crown of the Ivory King (X360),https://www.metacritic.com/game/xbox-360/dark-souls-ii-crown-of-the-ivory-king
Dark Souls II: Crown of the Old Iron King (X360),https://www.metacritic.com/game/xbox-360/dark-souls-ii-crown-of-the-old-iron-king
Dark Souls II: Crown of the Sunken King (X360),https://www.metacritic.com/game/xbox-360/dark-souls-ii-crown-of-the-sunken-king
Dark Souls II: Scholar of the First Sin (X360),https://www.metacritic.com/game/xbox-360/dark-souls-ii-scholar-of-the-first-sin
Dark Souls: Artorias of the Abyss (X360),https://www.metacritic.com/game/xbox-360/dark-souls-artorias-of-the-abyss
Dark Void (X360),https://www.metacritic.com/game/xbox-360/dark-void
Dark Void: Survivor Missions (X360),https://www.metacritic.com/game/xbox-360/dark-void-survivor-missions
Darkest of Days (X360),https://www.metacritic.com/game/xbox-360/darkest-of-days
Darksiders (X360),https://www.metacritic.com/game/xbox-360/darksiders
Darksiders Collection (X360),https://www.metacritic.com/game/xbox-360/darksiders-collection
Darksiders II (X360),https://www.metacritic.com/game/xbox-360/darksiders-ii
Darksiders II: Abyssal Forge (X360),https://www.metacritic.com/game/xbox-360/darksiders-ii-abyssal-forge
Darksiders II: Argul's Tomb (X360),https://www.metacritic.com/game/xbox-360/darksiders-ii-arguls-tomb
Darkstalkers Resurrection (X360),https://www.metacritic.com/game/xbox-360/darkstalkers-resurrection
DarkStar One: Broken Alliance (X360),https://www.metacritic.com/game/xbox-360/darkstar-one-broken-alliance
Darts vs. Zombies (X360),https://www.metacritic.com/game/xbox-360/darts-vs-zombies
Darwinia+ (X360),https://www.metacritic.com/game/xbox-360/darwinia+
Dash of Destruction (X360),https://www.metacritic.com/game/xbox-360/dash-of-destruction
Days of Thunder: Arcade (X360),https://www.metacritic.com/game/xbox-360/days-of-thunder-arcade
Daytona USA (X360),https://www.metacritic.com/game/xbox-360/daytona-usa
de Blob 2 (X360),https://www.metacritic.com/game/xbox-360/de-blob-2
Dead Block (X360),https://www.metacritic.com/game/xbox-360/dead-block
