title,url
L.A. Noire (X360),https://www.metacritic.com/game/xbox-360/la-noire
L.A. Noire: A Slip of the Tongue (X360),https://www.metacritic.com/game/xbox-360/la-noire-a-slip-of-the-tongue
L.A. Noire: Nicholson Electroplating Disaster (X360),https://www.metacritic.com/game/xbox-360/la-noire-nicholson-electroplating-disaster
L.A. Noire: Reefer Madness (X360),https://www.metacritic.com/game/xbox-360/la-noire-reefer-madness
L.A. Noire: The Badge Pursuit Challenge (X360),https://www.metacritic.com/game/xbox-360/la-noire-the-badge-pursuit-challenge
L.A. Noire: The Complete Edition (X360),https://www.metacritic.com/game/xbox-360/la-noire-the-complete-edition
L.A. Noire: The Naked City (X360),https://www.metacritic.com/game/xbox-360/la-noire-the-naked-city
Lara Croft and the Guardian of Light (X360),https://www.metacritic.com/game/xbox-360/lara-croft-and-the-guardian-of-light
Lara Croft and the Guardian of Light: A Hazardous Reunion (X360),https://www.metacritic.com/game/xbox-360/lara-croft-and-the-guardian-of-light-a-hazardous-reunion
Lara Croft and the Guardian of Light: All the Trappings (X360),https://www.metacritic.com/game/xbox-360/lara-croft-and-the-guardian-of-light-all-the-trappings
Lazy Raiders (X360),https://www.metacritic.com/game/xbox-360/lazy-raiders
Le Tour de France (X360),https://www.metacritic.com/game/xbox-360/le-tour-de-france
Le Tour de France 2012 (X360),https://www.metacritic.com/game/xbox-360/le-tour-de-france-2012
Le Tour de France 2013 - 100th Edition (X360),https://www.metacritic.com/game/xbox-360/le-tour-de-france-2013---100th-edition
Leedmees (X360),https://www.metacritic.com/game/xbox-360/leedmees
Left 4 Dead (X360),https://www.metacritic.com/game/xbox-360/left-4-dead
Left 4 Dead 2 (X360),https://www.metacritic.com/game/xbox-360/left-4-dead-2
Left 4 Dead 2: Cold Stream (X360),https://www.metacritic.com/game/xbox-360/left-4-dead-2-cold-stream
Left 4 Dead 2: The Passing (X360),https://www.metacritic.com/game/xbox-360/left-4-dead-2-the-passing
Left 4 Dead 2: The Sacrifice (X360),https://www.metacritic.com/game/xbox-360/left-4-dead-2-the-sacrifice
Left 4 Dead: Crash Course (X360),https://www.metacritic.com/game/xbox-360/left-4-dead-crash-course
Legend of Kay Anniversary (X360),https://www.metacritic.com/game/xbox-360/legend-of-kay-anniversary
Legend of the Guardians: The Owls of Ga'Hoole (X360),https://www.metacritic.com/game/xbox-360/legend-of-the-guardians-the-owls-of-gahoole
Legendary (X360),https://www.metacritic.com/game/xbox-360/legendary
LEGO Batman 2: DC Super Heroes (X360),https://www.metacritic.com/game/xbox-360/lego-batman-2-dc-super-heroes
LEGO Batman 3: Beyond Gotham (X360),https://www.metacritic.com/game/xbox-360/lego-batman-3-beyond-gotham
LEGO Batman: The Videogame (X360),https://www.metacritic.com/game/xbox-360/lego-batman-the-videogame
LEGO Dimensions (X360),https://www.metacritic.com/game/xbox-360/lego-dimensions
LEGO Harry Potter: Years 1-4 (X360),https://www.metacritic.com/game/xbox-360/lego-harry-potter-years-1-4
LEGO Harry Potter: Years 5-7 (X360),https://www.metacritic.com/game/xbox-360/lego-harry-potter-years-5-7
LEGO Indiana Jones 2: The Adventure Continues (X360),https://www.metacritic.com/game/xbox-360/lego-indiana-jones-2-the-adventure-continues
LEGO Indiana Jones: The Original Adventures (X360),https://www.metacritic.com/game/xbox-360/lego-indiana-jones-the-original-adventures
LEGO Indiana Jones: The Original Adventures / DreamWorks Kung Fu Panda (X360),https://www.metacritic.com/game/xbox-360/lego-indiana-jones-the-original-adventures-dreamworks-kung-fu-panda
LEGO Jurassic World (X360),https://www.metacritic.com/game/xbox-360/lego-jurassic-world
LEGO Marvel Super Heroes (X360),https://www.metacritic.com/game/xbox-360/lego-marvel-super-heroes
LEGO Marvel's Avengers (X360),https://www.metacritic.com/game/xbox-360/lego-marvels-avengers
LEGO Pirates of the Caribbean: The Video Game (X360),https://www.metacritic.com/game/xbox-360/lego-pirates-of-the-caribbean-the-video-game
LEGO Rock Band (X360),https://www.metacritic.com/game/xbox-360/lego-rock-band
LEGO Star Wars II: The Original Trilogy (X360),https://www.metacritic.com/game/xbox-360/lego-star-wars-ii-the-original-trilogy
LEGO Star Wars III: The Clone Wars (X360),https://www.metacritic.com/game/xbox-360/lego-star-wars-iii-the-clone-wars
LEGO Star Wars: The Complete Saga (X360),https://www.metacritic.com/game/xbox-360/lego-star-wars-the-complete-saga
LEGO Star Wars: The Force Awakens (X360),https://www.metacritic.com/game/xbox-360/lego-star-wars-the-force-awakens
LEGO Star Wars: The Force Awakens - Jabba's Palace Character Pack (X360),https://www.metacritic.com/game/xbox-360/lego-star-wars-the-force-awakens---jabbas-palace-character-pack
LEGO Star Wars: The Force Awakens - The Empire Strikes Back Character Pack (X360),https://www.metacritic.com/game/xbox-360/lego-star-wars-the-force-awakens---the-empire-strikes-back-character-pack
LEGO Star Wars: The Force Awakens - The Freemaker Adventures Character Pack (X360),https://www.metacritic.com/game/xbox-360/lego-star-wars-the-force-awakens---the-freemaker-adventures-character-pack
LEGO Star Wars: The Force Awakens - The Prequel Trilogy Character Pack (X360),https://www.metacritic.com/game/xbox-360/lego-star-wars-the-force-awakens---the-prequel-trilogy-character-pack
LEGO The Hobbit (X360),https://www.metacritic.com/game/xbox-360/lego-the-hobbit
LEGO The Lord of the Rings (X360),https://www.metacritic.com/game/xbox-360/lego-the-lord-of-the-rings
Leisure Suit Larry: Box Office Bust (X360),https://www.metacritic.com/game/xbox-360/leisure-suit-larry-box-office-bust
Let's Cheer (X360),https://www.metacritic.com/game/xbox-360/lets-cheer
Let's Cheer! (X360),https://www.metacritic.com/game/xbox-360/lets-cheer!
Let's Dance with Mel B (X360),https://www.metacritic.com/game/xbox-360/lets-dance-with-mel-b
Let's Sing and Dance (X360),https://www.metacritic.com/game/xbox-360/lets-sing-and-dance
Life is Strange: Episode 1 - Chrysalis (X360),https://www.metacritic.com/game/xbox-360/life-is-strange-episode-1---chrysalis
Life is Strange: Episode 2 - Out of Time (X360),https://www.metacritic.com/game/xbox-360/life-is-strange-episode-2---out-of-time
Life is Strange: Episode 3 - Chaos Theory (X360),https://www.metacritic.com/game/xbox-360/life-is-strange-episode-3---chaos-theory
Life is Strange: Episode 4 - Dark Room (X360),https://www.metacritic.com/game/xbox-360/life-is-strange-episode-4---dark-room
Life is Strange: Episode 5 - Polarized (X360),https://www.metacritic.com/game/xbox-360/life-is-strange-episode-5---polarized
Lightning Returns: Final Fantasy XIII (X360),https://www.metacritic.com/game/xbox-360/lightning-returns-final-fantasy-xiii
LIMBO (X360),https://www.metacritic.com/game/xbox-360/limbo
Lips (X360),https://www.metacritic.com/game/xbox-360/lips
Lips: Number One Hits (X360),https://www.metacritic.com/game/xbox-360/lips-number-one-hits
Lips: Party Classics (X360),https://www.metacritic.com/game/xbox-360/lips-party-classics
Little League World Series Baseball 2010 (X360),https://www.metacritic.com/game/xbox-360/little-league-world-series-baseball-2010
LocoCycle (X360),https://www.metacritic.com/game/xbox-360/lococycle
Lode Runner (X360),https://www.metacritic.com/game/xbox-360/lode-runner
Lode Runner: Journey (X360),https://www.metacritic.com/game/xbox-360/lode-runner-journey
Lode Runner: Skill (X360),https://www.metacritic.com/game/xbox-360/lode-runner-skill
Lollipop Chainsaw (X360),https://www.metacritic.com/game/xbox-360/lollipop-chainsaw
London 2012 - The Official Video Game of the Olympic Games (X360),https://www.metacritic.com/game/xbox-360/london-2012---the-official-video-game-of-the-olympic-games
Looney Tunes: Acme Arsenal (X360),https://www.metacritic.com/game/xbox-360/looney-tunes-acme-arsenal
Lost Cities (X360),https://www.metacritic.com/game/xbox-360/lost-cities
Lost Odyssey (X360),https://www.metacritic.com/game/xbox-360/lost-odyssey
Lost Odyssey: Seeker of the Deep (X360),https://www.metacritic.com/game/xbox-360/lost-odyssey-seeker-of-the-deep
Lost Planet 2 (X360),https://www.metacritic.com/game/xbox-360/lost-planet-2
Lost Planet 3 (X360),https://www.metacritic.com/game/xbox-360/lost-planet-3
Lost Planet: Extreme Condition (X360),https://www.metacritic.com/game/xbox-360/lost-planet-extreme-condition
Lost Planet: Extreme Condition Colonies Edition (X360),https://www.metacritic.com/game/xbox-360/lost-planet-extreme-condition-colonies-edition
Lost: Via Domus (X360),https://www.metacritic.com/game/xbox-360/lost-via-domus
Lucha Fury (X360),https://www.metacritic.com/game/xbox-360/lucha-fury
Lucha Libre AAA Heroes del Ring (X360),https://www.metacritic.com/game/xbox-360/lucha-libre-aaa-heroes-del-ring
Lucidity (X360),https://www.metacritic.com/game/xbox-360/lucidity
Lumines Live! (X360),https://www.metacritic.com/game/xbox-360/lumines-live!
Luxor 2 (X360),https://www.metacritic.com/game/xbox-360/luxor-2
