title,url
R-Type Dimensions (X360),https://www.metacritic.com/game/xbox-360/r-type-dimensions
R.B.I. Baseball 14 (X360),https://www.metacritic.com/game/xbox-360/rbi-baseball-14
R.I.P.D. The Game (X360),https://www.metacritic.com/game/xbox-360/ripd-the-game
R.U.S.E. (X360),https://www.metacritic.com/game/xbox-360/ruse
R.U.S.E. - The Chimera Pack (X360),https://www.metacritic.com/game/xbox-360/ruse---the-chimera-pack
Rabbids Invasion (X360),https://www.metacritic.com/game/xbox-360/rabbids-invasion
Race Pro (X360),https://www.metacritic.com/game/xbox-360/race-pro
Radiant Silvergun (X360),https://www.metacritic.com/game/xbox-360/radiant-silvergun
RAGE (X360),https://www.metacritic.com/game/xbox-360/rage
RAGE: The Scorchers (X360),https://www.metacritic.com/game/xbox-360/rage-the-scorchers
RAGE: Wasteland Sewer Missions (X360),https://www.metacritic.com/game/xbox-360/rage-wasteland-sewer-missions
Raiden Fighters Aces (X360),https://www.metacritic.com/game/xbox-360/raiden-fighters-aces
Raiden IV (X360),https://www.metacritic.com/game/xbox-360/raiden-iv
Raiden IV - Additional ship #1: Raiden MK-II (X360),https://www.metacritic.com/game/xbox-360/raiden-iv---additional-ship-1-raiden-mk-ii
Raiden IV - Additional ship #2: Fairy (X360),https://www.metacritic.com/game/xbox-360/raiden-iv---additional-ship-2-fairy
Rainbow Islands: Towering Adventure! (X360),https://www.metacritic.com/game/xbox-360/rainbow-islands-towering-adventure!
Rambo: The Video Game (X360),https://www.metacritic.com/game/xbox-360/rambo-the-video-game
Rango (X360),https://www.metacritic.com/game/xbox-360/rango
Rapala Fishing Frenzy 2009 (X360),https://www.metacritic.com/game/xbox-360/rapala-fishing-frenzy-2009
Rapala for Kinect (X360),https://www.metacritic.com/game/xbox-360/rapala-for-kinect
Rapala Pro Bass Fishing 2010 (X360),https://www.metacritic.com/game/xbox-360/rapala-pro-bass-fishing-2010
Rapala Tournament Fishing! (X360),https://www.metacritic.com/game/xbox-360/rapala-tournament-fishing!
Raskulls (X360),https://www.metacritic.com/game/xbox-360/raskulls
Raving Rabbids: Alive & Kicking (X360),https://www.metacritic.com/game/xbox-360/raving-rabbids-alive-kicking
Rayman 3 HD (X360),https://www.metacritic.com/game/xbox-360/rayman-3-hd
Rayman Legends (X360),https://www.metacritic.com/game/xbox-360/rayman-legends
Rayman Origins (X360),https://www.metacritic.com/game/xbox-360/rayman-origins
Rayman Raving Rabbids (X360),https://www.metacritic.com/game/xbox-360/rayman-raving-rabbids
RayStorm HD (X360),https://www.metacritic.com/game/xbox-360/raystorm-hd
Reaction Rally (X360),https://www.metacritic.com/game/xbox-360/reaction-rally
Real Steel (X360),https://www.metacritic.com/game/xbox-360/real-steel
