title,url
Zeit Squared (X360),https://www.metacritic.com/game/xbox-360/zeit-squared
ZEN Pinball 2: Super League Football (X360),https://www.metacritic.com/game/xbox-360/zen-pinball-2-super-league-football
Zeno Clash II (X360),https://www.metacritic.com/game/xbox-360/zeno-clash-ii
Zeno Clash: Ultimate Edition (X360),https://www.metacritic.com/game/xbox-360/zeno-clash-ultimate-edition
Zero D Beat Drop (X360),https://www.metacritic.com/game/xbox-360/zero-d-beat-drop
Zoids Assault (X360),https://www.metacritic.com/game/xbox-360/zoids-assault
Zombie Apocalypse (X360),https://www.metacritic.com/game/xbox-360/zombie-apocalypse
Zombie Apocalypse: Never Die Alone (X360),https://www.metacritic.com/game/xbox-360/zombie-apocalypse-never-die-alone
Zombie Driver HD (X360),https://www.metacritic.com/game/xbox-360/zombie-driver-hd
Zombie Driver HD: Apocalypse Pack (X360),https://www.metacritic.com/game/xbox-360/zombie-driver-hd-apocalypse-pack
Zombie Driver HD: Garden in Flames (X360),https://www.metacritic.com/game/xbox-360/zombie-driver-hd-garden-in-flames
Zombie Driver HD: Tropical Race Rage (X360),https://www.metacritic.com/game/xbox-360/zombie-driver-hd-tropical-race-rage
Zombie Wranglers (X360),https://www.metacritic.com/game/xbox-360/zombie-wranglers
Zone of the Enders HD Collection (X360),https://www.metacritic.com/game/xbox-360/zone-of-the-enders-hd-collection
Zoo Tycoon (X360),https://www.metacritic.com/game/xbox-360/zoo-tycoon
Zuma Deluxe (X360),https://www.metacritic.com/game/xbox-360/zuma-deluxe
Zuma's Revenge! (X360),https://www.metacritic.com/game/xbox-360/zumas-revenge!
Zumba Fitness Core (X360),https://www.metacritic.com/game/xbox-360/zumba-fitness-core
Zumba Fitness Rush (X360),https://www.metacritic.com/game/xbox-360/zumba-fitness-rush
Zumba Fitness World Party (X360),https://www.metacritic.com/game/xbox-360/zumba-fitness-world-party
Zumba Fitness: Join the Party (X360),https://www.metacritic.com/game/xbox-360/zumba-fitness-join-the-party
Zumba Kids (X360),https://www.metacritic.com/game/xbox-360/zumba-kids
