title,url
Advent Rising (XBOX),https://www.metacritic.com/game/xbox/advent-rising
Aeon Flux (XBOX),https://www.metacritic.com/game/xbox/aeon-flux
Aggressive Inline (XBOX),https://www.metacritic.com/game/xbox/aggressive-inline
AirForce Delta Storm (XBOX),https://www.metacritic.com/game/xbox/airforce-delta-storm
Alias (XBOX),https://www.metacritic.com/game/xbox/alias
Aliens Versus Predator: Extinction (XBOX),https://www.metacritic.com/game/xbox/aliens-versus-predator-extinction
All-Star Baseball 2003 (XBOX),https://www.metacritic.com/game/xbox/all-star-baseball-2003
All-Star Baseball 2004 (XBOX),https://www.metacritic.com/game/xbox/all-star-baseball-2004
All-Star Baseball 2005 (XBOX),https://www.metacritic.com/game/xbox/all-star-baseball-2005
Alter Echo (XBOX),https://www.metacritic.com/game/xbox/alter-echo
America's Army: Rise of a Soldier (XBOX),https://www.metacritic.com/game/xbox/americas-army-rise-of-a-soldier
American Chopper (XBOX),https://www.metacritic.com/game/xbox/american-chopper
American Chopper 2: Full Throttle (XBOX),https://www.metacritic.com/game/xbox/american-chopper-2-full-throttle
AMF Bowling 2004 (XBOX),https://www.metacritic.com/game/xbox/amf-bowling-2004
AMF Xtreme Bowling (XBOX),https://www.metacritic.com/game/xbox/amf-xtreme-bowling
Amped 2 (XBOX),https://www.metacritic.com/game/xbox/amped-2
Amped: Freestyle Snowboarding (XBOX),https://www.metacritic.com/game/xbox/amped-freestyle-snowboarding
And 1 Streetball (XBOX),https://www.metacritic.com/game/xbox/and-1-streetball
Animaniacs: The Great Edgar Hunt (XBOX),https://www.metacritic.com/game/xbox/animaniacs-the-great-edgar-hunt
Antz Extreme Racing (XBOX),https://www.metacritic.com/game/xbox/antz-extreme-racing
Apex (XBOX),https://www.metacritic.com/game/xbox/apex
Aquaman: Battle for Atlantis (XBOX),https://www.metacritic.com/game/xbox/aquaman-battle-for-atlantis
Arctic Thunder (XBOX),https://www.metacritic.com/game/xbox/arctic-thunder
Area 51 (XBOX),https://www.metacritic.com/game/xbox/area-51
Arena Football (XBOX),https://www.metacritic.com/game/xbox/arena-football
Armed and Dangerous (XBOX),https://www.metacritic.com/game/xbox/armed-and-dangerous
Army Men: Major Malfunction (XBOX),https://www.metacritic.com/game/xbox/army-men-major-malfunction
Army Men: Sarge's War (XBOX),https://www.metacritic.com/game/xbox/army-men-sarges-war
Arx Fatalis (XBOX),https://www.metacritic.com/game/xbox/arx-fatalis
Atari Anthology (XBOX),https://www.metacritic.com/game/xbox/atari-anthology
ATV Quad Power Racing 2 (XBOX),https://www.metacritic.com/game/xbox/atv-quad-power-racing-2
Auto Modellista (XBOX),https://www.metacritic.com/game/xbox/auto-modellista
Avatar: The Last Airbender (XBOX),https://www.metacritic.com/game/xbox/avatar-the-last-airbender
Azurik: Rise of Perathia (XBOX),https://www.metacritic.com/game/xbox/azurik-rise-of-perathia
