title,url
Cabela's Big Game Hunter 2005 Adventures (XBOX),https://www.metacritic.com/game/xbox/cabelas-big-game-hunter-2005-adventures
Cabela's Dangerous Hunts (XBOX),https://www.metacritic.com/game/xbox/cabelas-dangerous-hunts
Cabela's Dangerous Hunts 2 (XBOX),https://www.metacritic.com/game/xbox/cabelas-dangerous-hunts-2
Cabela's Deer Hunt 2005 Season (XBOX),https://www.metacritic.com/game/xbox/cabelas-deer-hunt-2005-season
Cabela's Deer Hunt: 2004 Season (XBOX),https://www.metacritic.com/game/xbox/cabelas-deer-hunt-2004-season
Cabela's Outdoor Adventures (XBOX),https://www.metacritic.com/game/xbox/cabelas-outdoor-adventures
Call of Cthulhu: Dark Corners of the Earth (XBOX),https://www.metacritic.com/game/xbox/call-of-cthulhu-dark-corners-of-the-earth
Call of Duty 2: Big Red One (XBOX),https://www.metacritic.com/game/xbox/call-of-duty-2-big-red-one
Call of Duty 3 (XBOX),https://www.metacritic.com/game/xbox/call-of-duty-3
Call of Duty: Finest Hour (XBOX),https://www.metacritic.com/game/xbox/call-of-duty-finest-hour
Capcom Classics Collection (XBOX),https://www.metacritic.com/game/xbox/capcom-classics-collection
Capcom Classics Collection Vol. 2 (XBOX),https://www.metacritic.com/game/xbox/capcom-classics-collection-vol-2
Capcom Fighting Evolution (XBOX),https://www.metacritic.com/game/xbox/capcom-fighting-evolution
Capcom vs. SNK 2 EO (XBOX),https://www.metacritic.com/game/xbox/capcom-vs-snk-2-eo
Carmen Sandiego: The Secret of the Stolen Drums (XBOX),https://www.metacritic.com/game/xbox/carmen-sandiego-the-secret-of-the-stolen-drums
Cars (XBOX),https://www.metacritic.com/game/xbox/cars
Carve (XBOX),https://www.metacritic.com/game/xbox/carve
Castlevania: Curse of Darkness (XBOX),https://www.metacritic.com/game/xbox/castlevania-curse-of-darkness
Catwoman (XBOX),https://www.metacritic.com/game/xbox/catwoman
Cel Damage (XBOX),https://www.metacritic.com/game/xbox/cel-damage
Championship Bowling (XBOX),https://www.metacritic.com/game/xbox/championship-bowling
Charlie and the Chocolate Factory (XBOX),https://www.metacritic.com/game/xbox/charlie-and-the-chocolate-factory
Chase: Hollywood Stunt Driver (XBOX),https://www.metacritic.com/game/xbox/chase-hollywood-stunt-driver
Chessmaster (XBOX),https://www.metacritic.com/game/xbox/chessmaster
Chicago Enforcer (XBOX),https://www.metacritic.com/game/xbox/chicago-enforcer
