title,url
F1 2001 (XBOX),https://www.metacritic.com/game/xbox/f1-2001
Fable (XBOX),https://www.metacritic.com/game/xbox/fable
Fable: The Lost Chapters (XBOX),https://www.metacritic.com/game/xbox/fable-the-lost-chapters
Fairly OddParents: Breakin' Da Rules (XBOX),https://www.metacritic.com/game/xbox/fairly-oddparents-breakin-da-rules
Fallout: Brotherhood of Steel (XBOX),https://www.metacritic.com/game/xbox/fallout-brotherhood-of-steel
Family Guy (XBOX),https://www.metacritic.com/game/xbox/family-guy
Fantastic 4 (XBOX),https://www.metacritic.com/game/xbox/fantastic-4
Far Cry Instincts (XBOX),https://www.metacritic.com/game/xbox/far-cry-instincts
Far Cry Instincts Evolution (XBOX),https://www.metacritic.com/game/xbox/far-cry-instincts-evolution
Fatal Frame (XBOX),https://www.metacritic.com/game/xbox/fatal-frame
Fatal Frame II: Crimson Butterfly Director's Cut (XBOX),https://www.metacritic.com/game/xbox/fatal-frame-ii-crimson-butterfly-directors-cut
FIFA 07 Soccer (XBOX),https://www.metacritic.com/game/xbox/fifa-07-soccer
FIFA Soccer 06 (XBOX),https://www.metacritic.com/game/xbox/fifa-soccer-06
FIFA Soccer 2003 (XBOX),https://www.metacritic.com/game/xbox/fifa-soccer-2003
FIFA Soccer 2004 (XBOX),https://www.metacritic.com/game/xbox/fifa-soccer-2004
FIFA Soccer 2005 (XBOX),https://www.metacritic.com/game/xbox/fifa-soccer-2005
FIFA Street (XBOX),https://www.metacritic.com/game/xbox/fifa-street
FIFA Street 2 (XBOX),https://www.metacritic.com/game/xbox/fifa-street-2
FIFA World Cup: Germany 2006 (XBOX),https://www.metacritic.com/game/xbox/fifa-world-cup-germany-2006
Fight Club (XBOX),https://www.metacritic.com/game/xbox/fight-club
Fight Night 2004 (XBOX),https://www.metacritic.com/game/xbox/fight-night-2004
Fight Night Round 2 (XBOX),https://www.metacritic.com/game/xbox/fight-night-round-2
Fight Night Round 3 (XBOX),https://www.metacritic.com/game/xbox/fight-night-round-3
Final Fight: Streetwise (XBOX),https://www.metacritic.com/game/xbox/final-fight-streetwise
Finding Nemo (XBOX),https://www.metacritic.com/game/xbox/finding-nemo
Fireblade (XBOX),https://www.metacritic.com/game/xbox/fireblade
FlatOut (XBOX),https://www.metacritic.com/game/xbox/flatout
FlatOut 2 (XBOX),https://www.metacritic.com/game/xbox/flatout-2
Ford Bold Moves Street Racing (XBOX),https://www.metacritic.com/game/xbox/ford-bold-moves-street-racing
Ford Mustang: The Legend Lives (XBOX),https://www.metacritic.com/game/xbox/ford-mustang-the-legend-lives
Ford Racing 2 (XBOX),https://www.metacritic.com/game/xbox/ford-racing-2
Ford Racing 3 (XBOX),https://www.metacritic.com/game/xbox/ford-racing-3
Ford vs. Chevy (XBOX),https://www.metacritic.com/game/xbox/ford-vs-chevy
Forgotten Realms: Demon Stone (XBOX),https://www.metacritic.com/game/xbox/forgotten-realms-demon-stone
Forza Motorsport (XBOX),https://www.metacritic.com/game/xbox/forza-motorsport
Freaky Flyers (XBOX),https://www.metacritic.com/game/xbox/freaky-flyers
Freedom Fighters (XBOX),https://www.metacritic.com/game/xbox/freedom-fighters
Freestyle MetalX (XBOX),https://www.metacritic.com/game/xbox/freestyle-metalx
Freestyle Street Soccer (XBOX),https://www.metacritic.com/game/xbox/freestyle-street-soccer
Frogger Beyond (XBOX),https://www.metacritic.com/game/xbox/frogger-beyond
Frogger: Ancient Shadow (XBOX),https://www.metacritic.com/game/xbox/frogger-ancient-shadow
From Russia With Love (XBOX),https://www.metacritic.com/game/xbox/from-russia-with-love
Full Spectrum Warrior (XBOX),https://www.metacritic.com/game/xbox/full-spectrum-warrior
Full Spectrum Warrior: Ten Hammers (XBOX),https://www.metacritic.com/game/xbox/full-spectrum-warrior-ten-hammers
Furious Karting (XBOX),https://www.metacritic.com/game/xbox/furious-karting
Futurama (XBOX),https://www.metacritic.com/game/xbox/futurama
Future Tactics: The Uprising (XBOX),https://www.metacritic.com/game/xbox/future-tactics-the-uprising
Fuzion Frenzy (XBOX),https://www.metacritic.com/game/xbox/fuzion-frenzy
