title,url
Galleon: Islands of Mystery (XBOX),https://www.metacritic.com/game/xbox/galleon-islands-of-mystery
Gauntlet Dark Legacy (XBOX),https://www.metacritic.com/game/xbox/gauntlet-dark-legacy
Gauntlet: Seven Sorrows (XBOX),https://www.metacritic.com/game/xbox/gauntlet-seven-sorrows
Genma Onimusha (XBOX),https://www.metacritic.com/game/xbox/genma-onimusha
Gladiator: Sword of Vengeance (XBOX),https://www.metacritic.com/game/xbox/gladiator-sword-of-vengeance
Gladius (XBOX),https://www.metacritic.com/game/xbox/gladius
Goblin Commander: Unleash the Horde (XBOX),https://www.metacritic.com/game/xbox/goblin-commander-unleash-the-horde
Godzilla: Destroy All Monsters Melee (XBOX),https://www.metacritic.com/game/xbox/godzilla-destroy-all-monsters-melee
Godzilla: Save the Earth (XBOX),https://www.metacritic.com/game/xbox/godzilla-save-the-earth
GoldenEye: Rogue Agent (XBOX),https://www.metacritic.com/game/xbox/goldeneye-rogue-agent
Grabbed by the Ghoulies (XBOX),https://www.metacritic.com/game/xbox/grabbed-by-the-ghoulies
Grand Theft Auto Double Pack (XBOX),https://www.metacritic.com/game/xbox/grand-theft-auto-double-pack
Grand Theft Auto: San Andreas (XBOX),https://www.metacritic.com/game/xbox/grand-theft-auto-san-andreas
Gravity Games Bike: Street Vert Dirt (XBOX),https://www.metacritic.com/game/xbox/gravity-games-bike-street-vert-dirt
Greg Hastings' Tournament Paintball (XBOX),https://www.metacritic.com/game/xbox/greg-hastings-tournament-paintball
Greg Hastings' Tournament Paintball Max'd (XBOX),https://www.metacritic.com/game/xbox/greg-hastings-tournament-paintball-maxd
Grooverider Slot Car Thunder (XBOX),https://www.metacritic.com/game/xbox/grooverider-slot-car-thunder
Group S Challenge (XBOX),https://www.metacritic.com/game/xbox/group-s-challenge
Guilty Gear X2 #Reload (XBOX),https://www.metacritic.com/game/xbox/guilty-gear-x2-reload
Gun (XBOX),https://www.metacritic.com/game/xbox/gun
Gun Metal (XBOX),https://www.metacritic.com/game/xbox/gun-metal
GunGriffon: Allied Strike (XBOX),https://www.metacritic.com/game/xbox/gungriffon-allied-strike
Gunvalkyrie (XBOX),https://www.metacritic.com/game/xbox/gunvalkyrie
