title,url
Half-Life 2 (XBOX),https://www.metacritic.com/game/xbox/half-life-2
Halo 2 (XBOX),https://www.metacritic.com/game/xbox/halo-2
Halo 2 Multiplayer Map Pack (XBOX),https://www.metacritic.com/game/xbox/halo-2-multiplayer-map-pack
Halo: Combat Evolved (XBOX),https://www.metacritic.com/game/xbox/halo-combat-evolved
Harry Potter and the Chamber of Secrets (XBOX),https://www.metacritic.com/game/xbox/harry-potter-and-the-chamber-of-secrets
Harry Potter and the Goblet of Fire (XBOX),https://www.metacritic.com/game/xbox/harry-potter-and-the-goblet-of-fire
Harry Potter and the Prisoner of Azkaban (XBOX),https://www.metacritic.com/game/xbox/harry-potter-and-the-prisoner-of-azkaban
Harry Potter and the Sorcerer's Stone (XBOX),https://www.metacritic.com/game/xbox/harry-potter-and-the-sorcerers-stone
Harry Potter: Quidditch World Cup (XBOX),https://www.metacritic.com/game/xbox/harry-potter-quidditch-world-cup
Headhunter: Redemption (XBOX),https://www.metacritic.com/game/xbox/headhunter-redemption
Heroes of the Pacific (XBOX),https://www.metacritic.com/game/xbox/heroes-of-the-pacific
High Heat Major League Baseball 2004 (XBOX),https://www.metacritic.com/game/xbox/high-heat-major-league-baseball-2004
High Rollers Casino (XBOX),https://www.metacritic.com/game/xbox/high-rollers-casino
Hitman 2: Silent Assassin (XBOX),https://www.metacritic.com/game/xbox/hitman-2-silent-assassin
Hitman: Blood Money (XBOX),https://www.metacritic.com/game/xbox/hitman-blood-money
Hitman: Contracts (XBOX),https://www.metacritic.com/game/xbox/hitman-contracts
Hot Wheels Stunt Track Challenge (XBOX),https://www.metacritic.com/game/xbox/hot-wheels-stunt-track-challenge
Hulk (XBOX),https://www.metacritic.com/game/xbox/hulk
Hummer Badlands (XBOX),https://www.metacritic.com/game/xbox/hummer-badlands
Hunter: The Reckoning (XBOX),https://www.metacritic.com/game/xbox/hunter-the-reckoning
Hunter: The Reckoning Redeemer (XBOX),https://www.metacritic.com/game/xbox/hunter-the-reckoning-redeemer
