title,url
Jade Empire (XBOX),https://www.metacritic.com/game/xbox/jade-empire
James Bond 007: Agent Under Fire (XBOX),https://www.metacritic.com/game/xbox/james-bond-007-agent-under-fire
James Bond 007: Everything or Nothing (XBOX),https://www.metacritic.com/game/xbox/james-bond-007-everything-or-nothing
James Bond 007: NightFire (XBOX),https://www.metacritic.com/game/xbox/james-bond-007-nightfire
James Cameron's Dark Angel (XBOX),https://www.metacritic.com/game/xbox/james-camerons-dark-angel
Jaws Unleashed (XBOX),https://www.metacritic.com/game/xbox/jaws-unleashed
JSRF: Jet Set Radio Future (XBOX),https://www.metacritic.com/game/xbox/jsrf-jet-set-radio-future
Judge Dredd: Dredd VS Death (XBOX),https://www.metacritic.com/game/xbox/judge-dredd-dredd-vs-death
Juiced (XBOX),https://www.metacritic.com/game/xbox/juiced
Jurassic Park: Operation Genesis (XBOX),https://www.metacritic.com/game/xbox/jurassic-park-operation-genesis
Just Cause (XBOX),https://www.metacritic.com/game/xbox/just-cause
Justice League Heroes (XBOX),https://www.metacritic.com/game/xbox/justice-league-heroes
