title,url
Kabuki Warriors (XBOX),https://www.metacritic.com/game/xbox/kabuki-warriors
Kakuto Chojin (XBOX),https://www.metacritic.com/game/xbox/kakuto-chojin
Kao the Kangaroo Round 2 (XBOX),https://www.metacritic.com/game/xbox/kao-the-kangaroo-round-2
Karaoke Revolution (XBOX),https://www.metacritic.com/game/xbox/karaoke-revolution
Karaoke Revolution Party (XBOX),https://www.metacritic.com/game/xbox/karaoke-revolution-party
Kelly Slater's Pro Surfer (XBOX),https://www.metacritic.com/game/xbox/kelly-slaters-pro-surfer
kill.switch (XBOX),https://www.metacritic.com/game/xbox/killswitch
King Arthur (XBOX),https://www.metacritic.com/game/xbox/king-arthur
Kingdom Under Fire: Heroes (XBOX),https://www.metacritic.com/game/xbox/kingdom-under-fire-heroes
Kingdom Under Fire: The Crusaders (XBOX),https://www.metacritic.com/game/xbox/kingdom-under-fire-the-crusaders
"Knight's Apprentice, Memorick's Adventures (XBOX)",https://www.metacritic.com/game/xbox/knights-apprentice-memoricks-adventures
Knockout Kings 2002 (XBOX),https://www.metacritic.com/game/xbox/knockout-kings-2002
Kung Fu Chaos (XBOX),https://www.metacritic.com/game/xbox/kung-fu-chaos
