title,url
Obscure (XBOX),https://www.metacritic.com/game/xbox/obscure
Oddworld: Munch's Oddysee (XBOX),https://www.metacritic.com/game/xbox/oddworld-munchs-oddysee
Oddworld: Stranger's Wrath (XBOX),https://www.metacritic.com/game/xbox/oddworld-strangers-wrath
Open Season (XBOX),https://www.metacritic.com/game/xbox/open-season
Operation Flashpoint: Elite (XBOX),https://www.metacritic.com/game/xbox/operation-flashpoint-elite
Otogi 2: Immortal Warriors (XBOX),https://www.metacritic.com/game/xbox/otogi-2-immortal-warriors
Otogi: Myth of Demons (XBOX),https://www.metacritic.com/game/xbox/otogi-myth-of-demons
Outlaw Golf (XBOX),https://www.metacritic.com/game/xbox/outlaw-golf
Outlaw Golf 2 (XBOX),https://www.metacritic.com/game/xbox/outlaw-golf-2
Outlaw Tennis (XBOX),https://www.metacritic.com/game/xbox/outlaw-tennis
Outlaw Volleyball (XBOX),https://www.metacritic.com/game/xbox/outlaw-volleyball
OutRun 2006: Coast 2 Coast (XBOX),https://www.metacritic.com/game/xbox/outrun-2006-coast-2-coast
OutRun2 (XBOX),https://www.metacritic.com/game/xbox/outrun2
Over the Hedge (XBOX),https://www.metacritic.com/game/xbox/over-the-hedge
