title,url
R: Racing Evolution (XBOX),https://www.metacritic.com/game/xbox/r-racing-evolution
Rallisport Challenge (XBOX),https://www.metacritic.com/game/xbox/rallisport-challenge
Rallisport Challenge 2 (XBOX),https://www.metacritic.com/game/xbox/rallisport-challenge-2
Rally Fusion: Race of Champions (XBOX),https://www.metacritic.com/game/xbox/rally-fusion-race-of-champions
Rapala Pro Fishing (XBOX),https://www.metacritic.com/game/xbox/rapala-pro-fishing
Ratatouille (XBOX),https://www.metacritic.com/game/xbox/ratatouille
Rayman 3: Hoodlum Havoc (XBOX),https://www.metacritic.com/game/xbox/rayman-3-hoodlum-havoc
Rayman Arena (XBOX),https://www.metacritic.com/game/xbox/rayman-arena
Raze's Hell (XBOX),https://www.metacritic.com/game/xbox/razes-hell
Real World Golf (XBOX),https://www.metacritic.com/game/xbox/real-world-golf
Red Dead Revolver (XBOX),https://www.metacritic.com/game/xbox/red-dead-revolver
Red Faction II (XBOX),https://www.metacritic.com/game/xbox/red-faction-ii
Red Ninja: End of Honor (XBOX),https://www.metacritic.com/game/xbox/red-ninja-end-of-honor
RedCard 20-03 (XBOX),https://www.metacritic.com/game/xbox/redcard-20-03
Reign of Fire (XBOX),https://www.metacritic.com/game/xbox/reign-of-fire
Reservoir Dogs (XBOX),https://www.metacritic.com/game/xbox/reservoir-dogs
Return to Castle Wolfenstein: Tides of War (XBOX),https://www.metacritic.com/game/xbox/return-to-castle-wolfenstein-tides-of-war
RLH: Run Like Hell (XBOX),https://www.metacritic.com/game/xbox/rlh-run-like-hell
RoadKill (XBOX),https://www.metacritic.com/game/xbox/roadkill
Robin Hood: Defender of the Crown (XBOX),https://www.metacritic.com/game/xbox/robin-hood-defender-of-the-crown
Robocop (XBOX),https://www.metacritic.com/game/xbox/robocop
Robotech: Battlecry (XBOX),https://www.metacritic.com/game/xbox/robotech-battlecry
Robotech: Invasion (XBOX),https://www.metacritic.com/game/xbox/robotech-invasion
Robots (XBOX),https://www.metacritic.com/game/xbox/robots
Rocky (XBOX),https://www.metacritic.com/game/xbox/rocky
Rocky: Legends (XBOX),https://www.metacritic.com/game/xbox/rocky-legends
Rogue Ops (XBOX),https://www.metacritic.com/game/xbox/rogue-ops
Rogue Trooper (XBOX),https://www.metacritic.com/game/xbox/rogue-trooper
RollerCoaster Tycoon (XBOX),https://www.metacritic.com/game/xbox/rollercoaster-tycoon
Room Zoom (XBOX),https://www.metacritic.com/game/xbox/room-zoom
Rugby 06 (XBOX),https://www.metacritic.com/game/xbox/rugby-06
Rugby 2005 (XBOX),https://www.metacritic.com/game/xbox/rugby-2005
