title,url
Wakeboarding Unleashed Featuring Shaun Murray (XBOX),https://www.metacritic.com/game/xbox/wakeboarding-unleashed-featuring-shaun-murray
Wallace & Gromit in Project Zoo (XBOX),https://www.metacritic.com/game/xbox/wallace-gromit-in-project-zoo
Wallace & Gromit: Curse of the Were-Rabbit (XBOX),https://www.metacritic.com/game/xbox/wallace-gromit-curse-of-the-were-rabbit
Warpath (XBOX),https://www.metacritic.com/game/xbox/warpath
Whacked! (XBOX),https://www.metacritic.com/game/xbox/whacked!
Whiplash (XBOX),https://www.metacritic.com/game/xbox/whiplash
Whiteout (XBOX),https://www.metacritic.com/game/xbox/whiteout
WinBack 2: Project Poseidon (XBOX),https://www.metacritic.com/game/xbox/winback-2-project-poseidon
Wings of War (XBOX),https://www.metacritic.com/game/xbox/wings-of-war
Without Warning (XBOX),https://www.metacritic.com/game/xbox/without-warning
World Championship Poker (XBOX),https://www.metacritic.com/game/xbox/world-championship-poker
World Championship Poker 2: Featuring Howard Lederer (XBOX),https://www.metacritic.com/game/xbox/world-championship-poker-2-featuring-howard-lederer
World Championship Pool 2004 (XBOX),https://www.metacritic.com/game/xbox/world-championship-pool-2004
World Poker Tour (XBOX),https://www.metacritic.com/game/xbox/world-poker-tour
World Racing (XBOX),https://www.metacritic.com/game/xbox/world-racing
World Racing 2 (XBOX),https://www.metacritic.com/game/xbox/world-racing-2
World Series Baseball (XBOX),https://www.metacritic.com/game/xbox/world-series-baseball
World Series Baseball 2K3 (XBOX),https://www.metacritic.com/game/xbox/world-series-baseball-2k3
World Series of Poker (XBOX),https://www.metacritic.com/game/xbox/world-series-of-poker
World Soccer Winning Eleven 8 International (XBOX),https://www.metacritic.com/game/xbox/world-soccer-winning-eleven-8-international
World Soccer Winning Eleven 9 (XBOX),https://www.metacritic.com/game/xbox/world-soccer-winning-eleven-9
World War II Combat: Iwo Jima (XBOX),https://www.metacritic.com/game/xbox/world-war-ii-combat-iwo-jima
World War II Combat: Road to Berlin (XBOX),https://www.metacritic.com/game/xbox/world-war-ii-combat-road-to-berlin
Worms 3D (XBOX),https://www.metacritic.com/game/xbox/worms-3d
Worms 4: Mayhem (XBOX),https://www.metacritic.com/game/xbox/worms-4-mayhem
Worms Forts: Under Siege (XBOX),https://www.metacritic.com/game/xbox/worms-forts-under-siege
Wrath Unleashed (XBOX),https://www.metacritic.com/game/xbox/wrath-unleashed
Wreckless: The Yakuza Missions (XBOX),https://www.metacritic.com/game/xbox/wreckless-the-yakuza-missions
WTA Tour Tennis (XBOX),https://www.metacritic.com/game/xbox/wta-tour-tennis
WWE Raw 2 (XBOX),https://www.metacritic.com/game/xbox/wwe-raw-2
WWE WrestleMania 21 (XBOX),https://www.metacritic.com/game/xbox/wwe-wrestlemania-21
WWF Raw (XBOX),https://www.metacritic.com/game/xbox/wwf-raw
