title,url
D/Generation HD (XONE),https://www.metacritic.com/game/xbox-one/dgeneration-hd
D4: Dark Dreams Don't Die (XONE),https://www.metacritic.com/game/xbox-one/d4-dark-dreams-dont-die
Dad Beat Dads (XONE),https://www.metacritic.com/game/xbox-one/dad-beat-dads
Dad's Monster House (XONE),https://www.metacritic.com/game/xbox-one/dads-monster-house
Dadish (XONE),https://www.metacritic.com/game/xbox-one/dadish
Dadish 2 (XONE),https://www.metacritic.com/game/xbox-one/dadish-2
Dadish 3 (XONE),https://www.metacritic.com/game/xbox-one/dadish-3
Daggerhood (XONE),https://www.metacritic.com/game/xbox-one/daggerhood
Dakar 18 (XONE),https://www.metacritic.com/game/xbox-one/dakar-18
Dakar Desert Rally (XONE),https://www.metacritic.com/game/xbox-one/dakar-desert-rally
Damsel (XONE),https://www.metacritic.com/game/xbox-one/damsel
Dance Central Spotlight (XONE),https://www.metacritic.com/game/xbox-one/dance-central-spotlight
Dance of Death: Du Lac & Fey (XONE),https://www.metacritic.com/game/xbox-one/dance-of-death-du-lac-fey
Dandara (XONE),https://www.metacritic.com/game/xbox-one/dandara
Dandy & Randy DX (XONE),https://www.metacritic.com/game/xbox-one/dandy-randy-dx
Dandy Ace (XONE),https://www.metacritic.com/game/xbox-one/dandy-ace
Danganronpa 2: Goodbye Despair Anniversary Edition (XONE),https://www.metacritic.com/game/xbox-one/danganronpa-2-goodbye-despair-anniversary-edition
Danganronpa V3: Killing Harmony - Anniversary Edition (XONE),https://www.metacritic.com/game/xbox-one/danganronpa-v3-killing-harmony---anniversary-edition
Danganronpa: Trigger Happy Havoc - Anniversary Edition (XONE),https://www.metacritic.com/game/xbox-one/danganronpa-trigger-happy-havoc---anniversary-edition
Danger Noodle (XONE),https://www.metacritic.com/game/xbox-one/danger-noodle
Danger Scavenger (XONE),https://www.metacritic.com/game/xbox-one/danger-scavenger
Danger Zone (XONE),https://www.metacritic.com/game/xbox-one/danger-zone
Danger Zone 2 (XONE),https://www.metacritic.com/game/xbox-one/danger-zone-2
Danger!Energy (XONE),https://www.metacritic.com/game/xbox-one/danger!energy
Dangerous Driving (XONE),https://www.metacritic.com/game/xbox-one/dangerous-driving
Dangerous Golf (XONE),https://www.metacritic.com/game/xbox-one/dangerous-golf
Dangun Feveron (XONE),https://www.metacritic.com/game/xbox-one/dangun-feveron
Dark Arcana: The Carnival (XONE),https://www.metacritic.com/game/xbox-one/dark-arcana-the-carnival
Dark Grim Mariupolis (XONE),https://www.metacritic.com/game/xbox-one/dark-grim-mariupolis
Dark Nights with Poe and Munro (XONE),https://www.metacritic.com/game/xbox-one/dark-nights-with-poe-and-munro
Dark Quest 2 (XONE),https://www.metacritic.com/game/xbox-one/dark-quest-2
Dark Sauce (XONE),https://www.metacritic.com/game/xbox-one/dark-sauce
Dark Souls II: Scholar of the First Sin (XONE),https://www.metacritic.com/game/xbox-one/dark-souls-ii-scholar-of-the-first-sin
Dark Souls III (XONE),https://www.metacritic.com/game/xbox-one/dark-souls-iii
Dark Souls III: Ashes of Ariandel (XONE),https://www.metacritic.com/game/xbox-one/dark-souls-iii-ashes-of-ariandel
Dark Souls III: The Fire Fades Edition (XONE),https://www.metacritic.com/game/xbox-one/dark-souls-iii-the-fire-fades-edition
Dark Souls III: The Ringed City (XONE),https://www.metacritic.com/game/xbox-one/dark-souls-iii-the-ringed-city
Dark Souls Remastered (XONE),https://www.metacritic.com/game/xbox-one/dark-souls-remastered
Dark Souls Trilogy (XONE),https://www.metacritic.com/game/xbox-one/dark-souls-trilogy
Dark Sun (XONE),https://www.metacritic.com/game/xbox-one/dark-sun
Dark Temple (XONE),https://www.metacritic.com/game/xbox-one/dark-temple
Darker Skies (XONE),https://www.metacritic.com/game/xbox-one/darker-skies
Darkest Dungeon (XONE),https://www.metacritic.com/game/xbox-one/darkest-dungeon
Darkest Dungeon: Ancestral Edition (XONE),https://www.metacritic.com/game/xbox-one/darkest-dungeon-ancestral-edition
Darkest Dungeon: Crimson Edition (XONE),https://www.metacritic.com/game/xbox-one/darkest-dungeon-crimson-edition
Darkest Dungeon: The Color of Madness (XONE),https://www.metacritic.com/game/xbox-one/darkest-dungeon-the-color-of-madness
Darkest Dungeon: The Crimson Court (XONE),https://www.metacritic.com/game/xbox-one/darkest-dungeon-the-crimson-court
Darkest Dungeon: The Musketeer (XONE),https://www.metacritic.com/game/xbox-one/darkest-dungeon-the-musketeer
Darkest Dungeon: The Shieldbreaker (XONE),https://www.metacritic.com/game/xbox-one/darkest-dungeon-the-shieldbreaker
Darkestville Castle (XONE),https://www.metacritic.com/game/xbox-one/darkestville-castle
DARKLAND 2 (XONE),https://www.metacritic.com/game/xbox-one/darkland-2
Darksiders Genesis (XONE),https://www.metacritic.com/game/xbox-one/darksiders-genesis
Darksiders II: Deathinitive Edition (XONE),https://www.metacritic.com/game/xbox-one/darksiders-ii-deathinitive-edition
Darksiders III (XONE),https://www.metacritic.com/game/xbox-one/darksiders-iii
Darksiders III: Keepers of the Void (XONE),https://www.metacritic.com/game/xbox-one/darksiders-iii-keepers-of-the-void
Darksiders III: The Crucible (XONE),https://www.metacritic.com/game/xbox-one/darksiders-iii-the-crucible
Darksiders: Warmastered Edition (XONE),https://www.metacritic.com/game/xbox-one/darksiders-warmastered-edition
Darkwood (XONE),https://www.metacritic.com/game/xbox-one/darkwood
DARQ: Complete Edition (XONE),https://www.metacritic.com/game/xbox-one/darq-complete-edition
Darwin Project (XONE),https://www.metacritic.com/game/xbox-one/darwin-project
Dauntless (XONE),https://www.metacritic.com/game/xbox-one/dauntless
Dawn of Man (XONE),https://www.metacritic.com/game/xbox-one/dawn-of-man
Dawn of the Monsters (XONE),https://www.metacritic.com/game/xbox-one/dawn-of-the-monsters
Day of the Tentacle Remastered (XONE),https://www.metacritic.com/game/xbox-one/day-of-the-tentacle-remastered
DayD: Through time (XONE),https://www.metacritic.com/game/xbox-one/dayd-through-time
Daymare: 1994 Sandcastle (XONE),https://www.metacritic.com/game/xbox-one/daymare-1994-sandcastle
Daymare: 1998 (XONE),https://www.metacritic.com/game/xbox-one/daymare-1998
DayZ (XONE),https://www.metacritic.com/game/xbox-one/dayz
DC Justice League: Cosmic Chaos (XONE),https://www.metacritic.com/game/xbox-one/dc-justice-league-cosmic-chaos
DC League of Super-Pets: The Adventures of Krypto and Ace (XONE),https://www.metacritic.com/game/xbox-one/dc-league-of-super-pets-the-adventures-of-krypto-and-ace
DC Universe Online (XONE),https://www.metacritic.com/game/xbox-one/dc-universe-online
DCL - The Game (XONE),https://www.metacritic.com/game/xbox-one/dcl---the-game
De Blob (XONE),https://www.metacritic.com/game/xbox-one/de-blob
de Blob 2 (XONE),https://www.metacritic.com/game/xbox-one/de-blob-2
De-formers (XONE),https://www.metacritic.com/game/xbox-one/de-formers
Dead Age (XONE),https://www.metacritic.com/game/xbox-one/dead-age
Dead Ahead: Zombie Warfare (XONE),https://www.metacritic.com/game/xbox-one/dead-ahead-zombie-warfare
Dead Alliance (XONE),https://www.metacritic.com/game/xbox-one/dead-alliance
Dead by Daylight (XONE),https://www.metacritic.com/game/xbox-one/dead-by-daylight
Dead by Daylight: A Binding of Kin (XONE),https://www.metacritic.com/game/xbox-one/dead-by-daylight-a-binding-of-kin
Dead by Daylight: All-Kill (XONE),https://www.metacritic.com/game/xbox-one/dead-by-daylight-all-kill
