title,url
F1 2015 (XONE),https://www.metacritic.com/game/xbox-one/f1-2015
F1 2016 (XONE),https://www.metacritic.com/game/xbox-one/f1-2016
F1 2017 (XONE),https://www.metacritic.com/game/xbox-one/f1-2017
F1 2018 (XONE),https://www.metacritic.com/game/xbox-one/f1-2018
F1 2019 (XONE),https://www.metacritic.com/game/xbox-one/f1-2019
F1 2020 (XONE),https://www.metacritic.com/game/xbox-one/f1-2020
F1 2021 (XONE),https://www.metacritic.com/game/xbox-one/f1-2021
F1 22 (XONE),https://www.metacritic.com/game/xbox-one/f1-22
F1 Manager 2022 (XONE),https://www.metacritic.com/game/xbox-one/f1-manager-2022
Fable Fortune (XONE),https://www.metacritic.com/game/xbox-one/fable-fortune
Factotum 90 (XONE),https://www.metacritic.com/game/xbox-one/factotum-90
Fade to Silence (XONE),https://www.metacritic.com/game/xbox-one/fade-to-silence
Fae Tactics (XONE),https://www.metacritic.com/game/xbox-one/fae-tactics
Faeria (XONE),https://www.metacritic.com/game/xbox-one/faeria
Fairy Elements (XONE),https://www.metacritic.com/game/xbox-one/fairy-elements
Fall Guys (XONE),https://www.metacritic.com/game/xbox-one/fall-guys
Fall of Light: Darkest Edition (XONE),https://www.metacritic.com/game/xbox-one/fall-of-light-darkest-edition
Fallen Knight (XONE),https://www.metacritic.com/game/xbox-one/fallen-knight
Fallen Legion: Revenants (XONE),https://www.metacritic.com/game/xbox-one/fallen-legion-revenants
Fallen Legion: Rise to Glory (XONE),https://www.metacritic.com/game/xbox-one/fallen-legion-rise-to-glory
Fallen Legion: Rise to Glory / Fallen Legion Revenants (XONE),https://www.metacritic.com/game/xbox-one/fallen-legion-rise-to-glory-fallen-legion-revenants
FALLING OUT (XONE),https://www.metacritic.com/game/xbox-one/falling-out
Fallout 4 (XONE),https://www.metacritic.com/game/xbox-one/fallout-4
Fallout 4: Automatron (XONE),https://www.metacritic.com/game/xbox-one/fallout-4-automatron
Fallout 4: Contraptions Workshop (XONE),https://www.metacritic.com/game/xbox-one/fallout-4-contraptions-workshop
Fallout 4: Far Harbor (XONE),https://www.metacritic.com/game/xbox-one/fallout-4-far-harbor
Fallout 4: Game of the Year Edition (XONE),https://www.metacritic.com/game/xbox-one/fallout-4-game-of-the-year-edition
Fallout 4: Nuka-World (XONE),https://www.metacritic.com/game/xbox-one/fallout-4-nuka-world
Fallout 4: Vault-Tec Workshop (XONE),https://www.metacritic.com/game/xbox-one/fallout-4-vault-tec-workshop
Fallout 4: Wasteland Workshop (XONE),https://www.metacritic.com/game/xbox-one/fallout-4-wasteland-workshop
Fallout 76 (XONE),https://www.metacritic.com/game/xbox-one/fallout-76
Fallout 76: Wastelanders (XONE),https://www.metacritic.com/game/xbox-one/fallout-76-wastelanders
Fallout Shelter (XONE),https://www.metacritic.com/game/xbox-one/fallout-shelter
Family Feud (XONE),https://www.metacritic.com/game/xbox-one/family-feud
Family Man (XONE),https://www.metacritic.com/game/xbox-one/family-man
Family Mysteries 2: Echoes of Tomorrow (XONE),https://www.metacritic.com/game/xbox-one/family-mysteries-2-echoes-of-tomorrow
Family Mysteries 3: Criminal Mindset (XONE),https://www.metacritic.com/game/xbox-one/family-mysteries-3-criminal-mindset
Family Mysteries: Poisonous Promises (XONE),https://www.metacritic.com/game/xbox-one/family-mysteries-poisonous-promises
Fantasia: Music Evolved (XONE),https://www.metacritic.com/game/xbox-one/fantasia-music-evolved
Fantasy Dash (XONE),https://www.metacritic.com/game/xbox-one/fantasy-dash
Fantasy General II: Invasion (XONE),https://www.metacritic.com/game/xbox-one/fantasy-general-ii-invasion
Fantasy Gunner (XONE),https://www.metacritic.com/game/xbox-one/fantasy-gunner
Fantasy Gunner (XONE),https://www.metacritic.com/game/xbox-one/fantasy-gunner
Far Cry 3: Blood Dragon (XONE),https://www.metacritic.com/game/xbox-one/far-cry-3-blood-dragon
Far Cry 3: Classic Edition (XONE),https://www.metacritic.com/game/xbox-one/far-cry-3-classic-edition
Far Cry 4 (XONE),https://www.metacritic.com/game/xbox-one/far-cry-4
Far Cry 4: Complete Edition (XONE),https://www.metacritic.com/game/xbox-one/far-cry-4-complete-edition
Far Cry 4: Escape from Durgesh Prison (XONE),https://www.metacritic.com/game/xbox-one/far-cry-4-escape-from-durgesh-prison
Far Cry 4: Valley of the Yetis (XONE),https://www.metacritic.com/game/xbox-one/far-cry-4-valley-of-the-yetis
Far Cry 5 (XONE),https://www.metacritic.com/game/xbox-one/far-cry-5
Far Cry 5: Dead Living Zombies (XONE),https://www.metacritic.com/game/xbox-one/far-cry-5-dead-living-zombies
Far Cry 5: Hours of Darkness (XONE),https://www.metacritic.com/game/xbox-one/far-cry-5-hours-of-darkness
Far Cry 5: Lost on Mars (XONE),https://www.metacritic.com/game/xbox-one/far-cry-5-lost-on-mars
Far Cry 6 (XONE),https://www.metacritic.com/game/xbox-one/far-cry-6
Far Cry 6 - Joseph: Collapse (XONE),https://www.metacritic.com/game/xbox-one/far-cry-6---joseph-collapse
Far Cry 6 - Pagan: Control (XONE),https://www.metacritic.com/game/xbox-one/far-cry-6---pagan-control
Far Cry 6 - Vaas: Insanity (XONE),https://www.metacritic.com/game/xbox-one/far-cry-6---vaas-insanity
Far Cry 6: Lost Between Worlds (XONE),https://www.metacritic.com/game/xbox-one/far-cry-6-lost-between-worlds
Far Cry New Dawn (XONE),https://www.metacritic.com/game/xbox-one/far-cry-new-dawn
Far Cry Primal (XONE),https://www.metacritic.com/game/xbox-one/far-cry-primal
Far-Out (XONE),https://www.metacritic.com/game/xbox-one/far-out
FAR: Changing Tides (XONE),https://www.metacritic.com/game/xbox-one/far-changing-tides
FAR: Lone Sails (XONE),https://www.metacritic.com/game/xbox-one/far-lone-sails
Faraday Protocol (XONE),https://www.metacritic.com/game/xbox-one/faraday-protocol
Farm for your Life (XONE),https://www.metacritic.com/game/xbox-one/farm-for-your-life
Farm Frenzy: Refreshed (XONE),https://www.metacritic.com/game/xbox-one/farm-frenzy-refreshed
Farm Manager 2022 (XONE),https://www.metacritic.com/game/xbox-one/farm-manager-2022
Farm Together (XONE),https://www.metacritic.com/game/xbox-one/farm-together
Farmer's Dynasty (XONE),https://www.metacritic.com/game/xbox-one/farmers-dynasty
Farming Simulator 15 (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-15
Farming Simulator 15: Complete Edition (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-15-complete-edition
Farming Simulator 17 (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-17
Farming Simulator 17: Platinum Edition (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-17-platinum-edition
Farming Simulator 19 (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-19
Farming Simulator 19 Platinum Edition (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-19-platinum-edition
Farming Simulator 19: Alpine Farming Expansion (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-19-alpine-farming-expansion
Farming Simulator 19: Bourgault (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-19-bourgault
Farming Simulator 19: Kverneland & Vicon (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-19-kverneland-vicon
Farming Simulator 19: Platinum Expansion (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-19-platinum-expansion
Farming Simulator 19: Precision Farming (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-19-precision-farming
Farming Simulator 19: Straw Harvest (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-19-straw-harvest
Farming Simulator 22 (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-22
Farming Simulator 22: Platinum Edition (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-22-platinum-edition
Farming Simulator 22: Platinum Expansion (XONE),https://www.metacritic.com/game/xbox-one/farming-simulator-22-platinum-expansion
Fashion Police Squad (XONE),https://www.metacritic.com/game/xbox-one/fashion-police-squad
Fast & Furious Crossroads (XONE),https://www.metacritic.com/game/xbox-one/fast-furious-crossroads
Fast & Furious: Spy Racers Rise of SH1FT3R (XONE),https://www.metacritic.com/game/xbox-one/fast-furious-spy-racers-rise-of-sh1ft3r
Fast & Furious: Spy Racers Rise of SH1FT3R - Arctic Challenge (XONE),https://www.metacritic.com/game/xbox-one/fast-furious-spy-racers-rise-of-sh1ft3r---arctic-challenge
Fat City (XONE),https://www.metacritic.com/game/xbox-one/fat-city
Fat Dragons (XONE),https://www.metacritic.com/game/xbox-one/fat-dragons
Fatal Frame: Maiden of Black Water (XONE),https://www.metacritic.com/game/xbox-one/fatal-frame-maiden-of-black-water
Fatal Frame: Mask of the Lunar Eclipse (XONE),https://www.metacritic.com/game/xbox-one/fatal-frame-mask-of-the-lunar-eclipse
Fatum Betula (XONE),https://www.metacritic.com/game/xbox-one/fatum-betula
Fe (XONE),https://www.metacritic.com/game/xbox-one/fe
