title,url
I Am Bread (XONE),https://www.metacritic.com/game/xbox-one/i-am-bread
I Am Dead (XONE),https://www.metacritic.com/game/xbox-one/i-am-dead
I Am Fish (XONE),https://www.metacritic.com/game/xbox-one/i-am-fish
I Am The Hero (XONE),https://www.metacritic.com/game/xbox-one/i-am-the-hero
I and Me (XONE),https://www.metacritic.com/game/xbox-one/i-and-me
I Hate Heroes (XONE),https://www.metacritic.com/game/xbox-one/i-hate-heroes
I Hate Running Backwards (XONE),https://www.metacritic.com/game/xbox-one/i-hate-running-backwards
I Saw Black Clouds (XONE),https://www.metacritic.com/game/xbox-one/i-saw-black-clouds
"I, AI (XONE)",https://www.metacritic.com/game/xbox-one/i-ai
"I, Hope (XONE)",https://www.metacritic.com/game/xbox-one/i-hope
"I, Zombie (XONE)",https://www.metacritic.com/game/xbox-one/i-zombie
Ice Age: Scrat's Nutty Adventure (XONE),https://www.metacritic.com/game/xbox-one/ice-age-scrats-nutty-adventure
Ice Cream Surfer (XONE),https://www.metacritic.com/game/xbox-one/ice-cream-surfer
Icewind Dale: Enhanced Edition (XONE),https://www.metacritic.com/game/xbox-one/icewind-dale-enhanced-edition
Iconoclasts (XONE),https://www.metacritic.com/game/xbox-one/iconoclasts
Idle Champions of the Forgotten Realms (XONE),https://www.metacritic.com/game/xbox-one/idle-champions-of-the-forgotten-realms
IIN (XONE),https://www.metacritic.com/game/xbox-one/iin
Ikai (XONE),https://www.metacritic.com/game/xbox-one/ikai
Ikenfell (XONE),https://www.metacritic.com/game/xbox-one/ikenfell
Illumine (XONE),https://www.metacritic.com/game/xbox-one/illumine
Illusion of L'Phalcia (XONE),https://www.metacritic.com/game/xbox-one/illusion-of-lphalcia
Illusion: A Tale of the Mind (XONE),https://www.metacritic.com/game/xbox-one/illusion-a-tale-of-the-mind
Imagine Earth (XONE),https://www.metacritic.com/game/xbox-one/imagine-earth
Immersed (XONE),https://www.metacritic.com/game/xbox-one/immersed
Immortal Legacy: The Jade Cipher (XONE),https://www.metacritic.com/game/xbox-one/immortal-legacy-the-jade-cipher
Immortal Planet (XONE),https://www.metacritic.com/game/xbox-one/immortal-planet
Immortal Realms: Vampire Wars (XONE),https://www.metacritic.com/game/xbox-one/immortal-realms-vampire-wars
Immortal Redneck (XONE),https://www.metacritic.com/game/xbox-one/immortal-redneck
Immortal: Unchained (XONE),https://www.metacritic.com/game/xbox-one/immortal-unchained
Immortal: Unchained - Storm Breaker (XONE),https://www.metacritic.com/game/xbox-one/immortal-unchained---storm-breaker
Immortals Fenyx Rising (XONE),https://www.metacritic.com/game/xbox-one/immortals-fenyx-rising
Immortals Fenyx Rising: A New God (XONE),https://www.metacritic.com/game/xbox-one/immortals-fenyx-rising-a-new-god
Immortals Fenyx Rising: Myths of the Eastern Realm (XONE),https://www.metacritic.com/game/xbox-one/immortals-fenyx-rising-myths-of-the-eastern-realm
Immortals Fenyx Rising: The Lost Gods (XONE),https://www.metacritic.com/game/xbox-one/immortals-fenyx-rising-the-lost-gods
Immortus Temporus (XONE),https://www.metacritic.com/game/xbox-one/immortus-temporus
Imp of the Sun (XONE),https://www.metacritic.com/game/xbox-one/imp-of-the-sun
