title,url
Jack 'n' Hat (XONE),https://www.metacritic.com/game/xbox-one/jack-n-hat
Jack Move (XONE),https://www.metacritic.com/game/xbox-one/jack-move
Jack N' Jill DX (XONE),https://www.metacritic.com/game/xbox-one/jack-n-jill-dx
JackQuest: The Tale of the Sword (XONE),https://www.metacritic.com/game/xbox-one/jackquest-the-tale-of-the-sword
Jagged Alliance: Rage! (XONE),https://www.metacritic.com/game/xbox-one/jagged-alliance-rage!
Jalopy (XONE),https://www.metacritic.com/game/xbox-one/jalopy
Jam Game (XONE),https://www.metacritic.com/game/xbox-one/jam-game
JANITOR BLEEDS (XONE),https://www.metacritic.com/game/xbox-one/janitor-bleeds
Jay and Silent Bob: Mall Brawl (XONE),https://www.metacritic.com/game/xbox-one/jay-and-silent-bob-mall-brawl
JCB Pioneer: Mars (XONE),https://www.metacritic.com/game/xbox-one/jcb-pioneer-mars
Jelly Brawl (XONE),https://www.metacritic.com/game/xbox-one/jelly-brawl
Jeopardy! (XONE),https://www.metacritic.com/game/xbox-one/jeopardy!
Jeopardy! PlayShow (XONE),https://www.metacritic.com/game/xbox-one/jeopardy!-playshow
Jet Car Stunts (XONE),https://www.metacritic.com/game/xbox-one/jet-car-stunts
Jet Kave Adventure (XONE),https://www.metacritic.com/game/xbox-one/jet-kave-adventure
Jet Set Knights (XONE),https://www.metacritic.com/game/xbox-one/jet-set-knights
Jetboard Joust (XONE),https://www.metacritic.com/game/xbox-one/jetboard-joust
JETMAN ADVENTURE (XONE),https://www.metacritic.com/game/xbox-one/jetman-adventure
Jetman Escape (XONE),https://www.metacritic.com/game/xbox-one/jetman-escape
Jetman Fly Adventure (XONE),https://www.metacritic.com/game/xbox-one/jetman-fly-adventure
Jettomero: Hero of the Universe (XONE),https://www.metacritic.com/game/xbox-one/jettomero-hero-of-the-universe
Jewel Fever (Xbox-Edition) (XONE),https://www.metacritic.com/game/xbox-one/jewel-fever-xbox-edition
Jewel Fever 2 (XONE),https://www.metacritic.com/game/xbox-one/jewel-fever-2
Jisei: The First Case HD (XONE),https://www.metacritic.com/game/xbox-one/jisei-the-first-case-hd
Jitsu Squad (XONE),https://www.metacritic.com/game/xbox-one/jitsu-squad
Joe Dever's Lone Wolf Console Edition (XONE),https://www.metacritic.com/game/xbox-one/joe-devers-lone-wolf-console-edition
John Wick Hex (XONE),https://www.metacritic.com/game/xbox-one/john-wick-hex
Johnny Rocket (XONE),https://www.metacritic.com/game/xbox-one/johnny-rocket
JoJo Siwa: Worldwide Party (XONE),https://www.metacritic.com/game/xbox-one/jojo-siwa-worldwide-party
JoJo's Bizarre Adventure: All-Star Battle R (XONE),https://www.metacritic.com/game/xbox-one/jojos-bizarre-adventure-all-star-battle-r
Josh Journey: Darkness Totems (XONE),https://www.metacritic.com/game/xbox-one/josh-journey-darkness-totems
Jotun: Valhalla Edition (XONE),https://www.metacritic.com/game/xbox-one/jotun-valhalla-edition
Journey of the Broken Circle (XONE),https://www.metacritic.com/game/xbox-one/journey-of-the-broken-circle
Journey to the Savage Planet (XONE),https://www.metacritic.com/game/xbox-one/journey-to-the-savage-planet
Journey to the Savage Planet: Hot Garbage (XONE),https://www.metacritic.com/game/xbox-one/journey-to-the-savage-planet-hot-garbage
