title,url
KaelynsDiary (XONE),https://www.metacritic.com/game/xbox-one/kaelynsdiary
Kaichu - The Kaiju Dating Sim (XONE),https://www.metacritic.com/game/xbox-one/kaichu---the-kaiju-dating-sim
Kaiju Panic (XONE),https://www.metacritic.com/game/xbox-one/kaiju-panic
Kaiju Wars (XONE),https://www.metacritic.com/game/xbox-one/kaiju-wars
Kalimba (XONE),https://www.metacritic.com/game/xbox-one/kalimba
Kamikaze Veggies (XONE),https://www.metacritic.com/game/xbox-one/kamikaze-veggies
Kamiko (XONE),https://www.metacritic.com/game/xbox-one/kamiko
Kansei: The Second Turn HD (XONE),https://www.metacritic.com/game/xbox-one/kansei-the-second-turn-hd
Kao the Kangaroo (XONE),https://www.metacritic.com/game/xbox-one/kao-the-kangaroo
"Kao the Kangaroo: Oh, Well! (XONE)",https://www.metacritic.com/game/xbox-one/kao-the-kangaroo-oh-well!
Karma. Incarnation 1 (XONE),https://www.metacritic.com/game/xbox-one/karma-incarnation-1
KartRider: Drift (XONE),https://www.metacritic.com/game/xbox-one/kartrider-drift
Katamari Damacy REROLL (XONE),https://www.metacritic.com/game/xbox-one/katamari-damacy-reroll
Katana Kata (XONE),https://www.metacritic.com/game/xbox-one/katana-kata
Katana ZERO (XONE),https://www.metacritic.com/game/xbox-one/katana-zero
Kattastick (XONE),https://www.metacritic.com/game/xbox-one/kattastick
Kattish (XONE),https://www.metacritic.com/game/xbox-one/kattish
KAUIL'S TREASURE (XONE),https://www.metacritic.com/game/xbox-one/kauils-treasure
Kaze and the Wild Masks (XONE),https://www.metacritic.com/game/xbox-one/kaze-and-the-wild-masks
Keep Talking and Nobody Explodes (XONE),https://www.metacritic.com/game/xbox-one/keep-talking-and-nobody-explodes
Ken Follett's The Pillars of the Earth (XONE),https://www.metacritic.com/game/xbox-one/ken-folletts-the-pillars-of-the-earth
Ken Follett's The Pillars of the Earth: Book Three (XONE),https://www.metacritic.com/game/xbox-one/ken-folletts-the-pillars-of-the-earth-book-three
Ken Follett's The Pillars of the Earth: Book Two (XONE),https://www.metacritic.com/game/xbox-one/ken-folletts-the-pillars-of-the-earth-book-two
Ken's Pub Quiz (XONE),https://www.metacritic.com/game/xbox-one/kens-pub-quiz
Kentucky Route Zero: TV Edition (XONE),https://www.metacritic.com/game/xbox-one/kentucky-route-zero-tv-edition
Kerbal Space Program (XONE),https://www.metacritic.com/game/xbox-one/kerbal-space-program
Kerbal Space Program: Breaking Ground Expansion (XONE),https://www.metacritic.com/game/xbox-one/kerbal-space-program-breaking-ground-expansion
Kerbal Space Program: Enhanced Edition (XONE),https://www.metacritic.com/game/xbox-one/kerbal-space-program-enhanced-edition
Kerbal Space Program: Enhanced Edition - History and Parts Pack (XONE),https://www.metacritic.com/game/xbox-one/kerbal-space-program-enhanced-edition---history-and-parts-pack
KeyWe (XONE),https://www.metacritic.com/game/xbox-one/keywe
Kholat (XONE),https://www.metacritic.com/game/xbox-one/kholat
Kick & Fennick (XONE),https://www.metacritic.com/game/xbox-one/kick-fennick
"Kick it, Bunny! (XONE)",https://www.metacritic.com/game/xbox-one/kick-it-bunny!
KickBeat: Special Edition (XONE),https://www.metacritic.com/game/xbox-one/kickbeat-special-edition
Kid Ball Adventure (XONE),https://www.metacritic.com/game/xbox-one/kid-ball-adventure
Kid Tripp (XONE),https://www.metacritic.com/game/xbox-one/kid-tripp
Kids Bingo (XONE),https://www.metacritic.com/game/xbox-one/kids-bingo
Kill It With Fire (XONE),https://www.metacritic.com/game/xbox-one/kill-it-with-fire
Kill The Bad Guy (XONE),https://www.metacritic.com/game/xbox-one/kill-the-bad-guy
Killer Chambers (XONE),https://www.metacritic.com/game/xbox-one/killer-chambers
Killer Instinct (XONE),https://www.metacritic.com/game/xbox-one/killer-instinct
Killer Instinct 2 Classic (XONE),https://www.metacritic.com/game/xbox-one/killer-instinct-2-classic
Killer Instinct Season 2 (XONE),https://www.metacritic.com/game/xbox-one/killer-instinct-season-2
Killer Instinct Season 3 (XONE),https://www.metacritic.com/game/xbox-one/killer-instinct-season-3
Killer Instinct: Complete Collection (XONE),https://www.metacritic.com/game/xbox-one/killer-instinct-complete-collection
Killer Instinct: Definitive Edition (XONE),https://www.metacritic.com/game/xbox-one/killer-instinct-definitive-edition
Killer Queen Black (XONE),https://www.metacritic.com/game/xbox-one/killer-queen-black
Killing Floor 2 (XONE),https://www.metacritic.com/game/xbox-one/killing-floor-2
Kinduo (XONE),https://www.metacritic.com/game/xbox-one/kinduo
Kine (XONE),https://www.metacritic.com/game/xbox-one/kine
Kinect Bundle: Beats & Squids (XONE),https://www.metacritic.com/game/xbox-one/kinect-bundle-beats-amp-squids
Kinect Sports Rivals (XONE),https://www.metacritic.com/game/xbox-one/kinect-sports-rivals
King Drift (XONE),https://www.metacritic.com/game/xbox-one/king-drift
King Leo (XONE),https://www.metacritic.com/game/xbox-one/king-leo
King Oddball (XONE),https://www.metacritic.com/game/xbox-one/king-oddball
King of Seas (XONE),https://www.metacritic.com/game/xbox-one/king-of-seas
King's Bounty II (XONE),https://www.metacritic.com/game/xbox-one/kings-bounty-ii
King's Guard TD (XONE),https://www.metacritic.com/game/xbox-one/kings-guard-td
King's Quest Chapter 1: A Knight to Remember (XONE),https://www.metacritic.com/game/xbox-one/kings-quest-chapter-1-a-knight-to-remember
King's Quest Chapter 2: Rubble Without a Cause (XONE),https://www.metacritic.com/game/xbox-one/kings-quest-chapter-2-rubble-without-a-cause
King's Quest Chapter 3: Once Upon a Climb (XONE),https://www.metacritic.com/game/xbox-one/kings-quest-chapter-3-once-upon-a-climb
King's Quest Chapter 4: Snow Place Like Home (XONE),https://www.metacritic.com/game/xbox-one/kings-quest-chapter-4-snow-place-like-home
King's Quest Chapter 5: The Good Knight (XONE),https://www.metacritic.com/game/xbox-one/kings-quest-chapter-5-the-good-knight
King's Quest: The Complete Collection (XONE),https://www.metacritic.com/game/xbox-one/kings-quest-the-complete-collection
Kingdom Come: Deliverance (XONE),https://www.metacritic.com/game/xbox-one/kingdom-come-deliverance
Kingdom Come: Deliverance - A Woman's Lot (XONE),https://www.metacritic.com/game/xbox-one/kingdom-come-deliverance---a-womans-lot
Kingdom Come: Deliverance - Band of Bastards (XONE),https://www.metacritic.com/game/xbox-one/kingdom-come-deliverance---band-of-bastards
Kingdom Come: Deliverance - From The Ashes (XONE),https://www.metacritic.com/game/xbox-one/kingdom-come-deliverance---from-the-ashes
Kingdom Come: Deliverance - Royal Edition (XONE),https://www.metacritic.com/game/xbox-one/kingdom-come-deliverance---royal-edition
Kingdom Come: Deliverance - The Amorous Adventures of Bold Sir Hans Capon (XONE),https://www.metacritic.com/game/xbox-one/kingdom-come-deliverance---the-amorous-adventures-of-bold-sir-hans-capon
Kingdom Hearts HD 2.8 Final Chapter Prologue (XONE),https://www.metacritic.com/game/xbox-one/kingdom-hearts-hd-28-final-chapter-prologue
Kingdom Hearts HD I.5 + II.5 Remix (XONE),https://www.metacritic.com/game/xbox-one/kingdom-hearts-hd-i5-+-ii5-remix
