title,url
M.A.C.E. Space Shooter (XONE),https://www.metacritic.com/game/xbox-one/mace-space-shooter
Mable & The Wood (XONE),https://www.metacritic.com/game/xbox-one/mable-the-wood
Machinarium (XONE),https://www.metacritic.com/game/xbox-one/machinarium
Macrotis: A Mother's Journey (XONE),https://www.metacritic.com/game/xbox-one/macrotis-a-mothers-journey
Mad Ball Racer (XONE),https://www.metacritic.com/game/xbox-one/mad-ball-racer
Mad Combat Marines (XONE),https://www.metacritic.com/game/xbox-one/mad-combat-marines
Mad Games Tycoon (XONE),https://www.metacritic.com/game/xbox-one/mad-games-tycoon
Mad Max (XONE),https://www.metacritic.com/game/xbox-one/mad-max
Mad Streets (XONE),https://www.metacritic.com/game/xbox-one/mad-streets
Mad Tower Tycoon (XONE),https://www.metacritic.com/game/xbox-one/mad-tower-tycoon
Madden NFL 15 (XONE),https://www.metacritic.com/game/xbox-one/madden-nfl-15
Madden NFL 16 (XONE),https://www.metacritic.com/game/xbox-one/madden-nfl-16
Madden NFL 17 (XONE),https://www.metacritic.com/game/xbox-one/madden-nfl-17
Madden NFL 18 (XONE),https://www.metacritic.com/game/xbox-one/madden-nfl-18
Madden NFL 19 (XONE),https://www.metacritic.com/game/xbox-one/madden-nfl-19
Madden NFL 19 / FIFA 19 (XONE),https://www.metacritic.com/game/xbox-one/madden-nfl-19-fifa-19
Madden NFL 20 (XONE),https://www.metacritic.com/game/xbox-one/madden-nfl-20
Madden NFL 20 / FIFA 20 (XONE),https://www.metacritic.com/game/xbox-one/madden-nfl-20-fifa-20
Madden NFL 21 (XONE),https://www.metacritic.com/game/xbox-one/madden-nfl-21
Madden NFL 22 (XONE),https://www.metacritic.com/game/xbox-one/madden-nfl-22
Madden NFL 23 (XONE),https://www.metacritic.com/game/xbox-one/madden-nfl-23
Madden NFL 25 (XONE),https://www.metacritic.com/game/xbox-one/madden-nfl-25
MADiSON (XONE),https://www.metacritic.com/game/xbox-one/madison
Madness Beverage (XONE),https://www.metacritic.com/game/xbox-one/madness-beverage
Mafia II: Definitive Edition (XONE),https://www.metacritic.com/game/xbox-one/mafia-ii-definitive-edition
Mafia III (XONE),https://www.metacritic.com/game/xbox-one/mafia-iii
Mafia III: Definitive Edition (XONE),https://www.metacritic.com/game/xbox-one/mafia-iii-definitive-edition
"Mafia III: Faster, Baby! (XONE)",https://www.metacritic.com/game/xbox-one/mafia-iii-faster-baby!
Mafia III: Sign of the Times (XONE),https://www.metacritic.com/game/xbox-one/mafia-iii-sign-of-the-times
Mafia: Definitive Edition (XONE),https://www.metacritic.com/game/xbox-one/mafia-definitive-edition
Mafia: Trilogy (XONE),https://www.metacritic.com/game/xbox-one/mafia-trilogy
MageQuit (XONE),https://www.metacritic.com/game/xbox-one/magequit
Mages and Treasures (XONE),https://www.metacritic.com/game/xbox-one/mages-and-treasures
Mages of Mystralia (XONE),https://www.metacritic.com/game/xbox-one/mages-of-mystralia
Maggie the Magnet (XONE),https://www.metacritic.com/game/xbox-one/maggie-the-magnet
Magic Action 2021 (XONE),https://www.metacritic.com/game/xbox-one/magic-action-2021
Magic Duels: Origins (XONE),https://www.metacritic.com/game/xbox-one/magic-duels-origins
Magic Nations (XONE),https://www.metacritic.com/game/xbox-one/magic-nations
Magic: Duels of the Planeswalkers 2015 (XONE),https://www.metacritic.com/game/xbox-one/magic-duels-of-the-planeswalkers-2015
Magical Brickout (XONE),https://www.metacritic.com/game/xbox-one/magical-brickout
Magnetic: Cage Closed (XONE),https://www.metacritic.com/game/xbox-one/magnetic-cage-closed
MagNets: Fully Charged (XONE),https://www.metacritic.com/game/xbox-one/magnets-fully-charged
Mahjong (XONE),https://www.metacritic.com/game/xbox-one/mahjong
Mahjong Adventure DX (XONE),https://www.metacritic.com/game/xbox-one/mahjong-adventure-dx
Maid of Sker (XONE),https://www.metacritic.com/game/xbox-one/maid-of-sker
Mail Mole (XONE),https://www.metacritic.com/game/xbox-one/mail-mole
Mainframe Defenders (XONE),https://www.metacritic.com/game/xbox-one/mainframe-defenders
Maize (XONE),https://www.metacritic.com/game/xbox-one/maize
Maldita Castilla EX: Cursed Castilla (XONE),https://www.metacritic.com/game/xbox-one/maldita-castilla-ex-cursed-castilla
Maneater (XONE),https://www.metacritic.com/game/xbox-one/maneater
Maneater: Truth Quest (XONE),https://www.metacritic.com/game/xbox-one/maneater-truth-quest
Manifold Garden (XONE),https://www.metacritic.com/game/xbox-one/manifold-garden
Mantis Burn Racing (XONE),https://www.metacritic.com/game/xbox-one/mantis-burn-racing
