title,url
Obduction (XONE),https://www.metacritic.com/game/xbox-one/obduction
Obey Me (XONE),https://www.metacritic.com/game/xbox-one/obey-me
Obliteracers (XONE),https://www.metacritic.com/game/xbox-one/obliteracers
Observation (XONE),https://www.metacritic.com/game/xbox-one/observation
Observer (XONE),https://www.metacritic.com/game/xbox-one/observer
Observer: System Redux (XONE),https://www.metacritic.com/game/xbox-one/observer-system-redux
Obsurity (XONE),https://www.metacritic.com/game/xbox-one/obsurity
Ocean Bubbles (XONE),https://www.metacritic.com/game/xbox-one/ocean-bubbles
Oceanhorn: Monster of Uncharted Seas (XONE),https://www.metacritic.com/game/xbox-one/oceanhorn-monster-of-uncharted-seas
OctaFight (XONE),https://www.metacritic.com/game/xbox-one/octafight
Octahedron (XONE),https://www.metacritic.com/game/xbox-one/octahedron
Octodad: Dadliest Catch (XONE),https://www.metacritic.com/game/xbox-one/octodad-dadliest-catch
Octopath Traveler (XONE),https://www.metacritic.com/game/xbox-one/octopath-traveler
Odallus: The Dark Call (XONE),https://www.metacritic.com/game/xbox-one/odallus-the-dark-call
OddBallers (XONE),https://www.metacritic.com/game/xbox-one/oddballers
OddOneOut (XONE),https://www.metacritic.com/game/xbox-one/oddoneout
Oddworld: Abe's Oddysee - New 'n' Tasty (XONE),https://www.metacritic.com/game/xbox-one/oddworld-abes-oddysee---new-n-tasty
Oddworld: Abe's Oddysee - New 'n' Tasty: Alf's Escape (XONE),https://www.metacritic.com/game/xbox-one/oddworld-abes-oddysee---new-n-tasty-alfs-escape
Oddworld: Abe's Oddysee - New 'n' Tasty: Deluxe Edition (XONE),https://www.metacritic.com/game/xbox-one/oddworld-abes-oddysee---new-n-tasty-deluxe-edition
Oddworld: Soulstorm Enhanced Edition (XONE),https://www.metacritic.com/game/xbox-one/oddworld-soulstorm-enhanced-edition
Oddworld: Stranger's Wrath HD (XONE),https://www.metacritic.com/game/xbox-one/oddworld-strangers-wrath-hd
Odium To the Core (XONE),https://www.metacritic.com/game/xbox-one/odium-to-the-core
Of Bird and Cage (XONE),https://www.metacritic.com/game/xbox-one/of-bird-and-cage
Of Tanks and Demons III (XONE),https://www.metacritic.com/game/xbox-one/of-tanks-and-demons-iii
Off And On Again (XONE),https://www.metacritic.com/game/xbox-one/off-and-on-again
Offroad Racing - Buggy X ATV X Moto (XONE),https://www.metacritic.com/game/xbox-one/offroad-racing---buggy-x-atv-x-moto
Offroad Racing Online (XONE),https://www.metacritic.com/game/xbox-one/offroad-racing-online
Ogre: Console Edition (XONE),https://www.metacritic.com/game/xbox-one/ogre-console-edition
Oh My Godheads (XONE),https://www.metacritic.com/game/xbox-one/oh-my-godheads
Oh...Sir! The Hollywood Roast (XONE),https://www.metacritic.com/game/xbox-one/ohsir!-the-hollywood-roast
Oh...Sir! The Insult Simulator (XONE),https://www.metacritic.com/game/xbox-one/ohsir!-the-insult-simulator
OK K.O.! Let's Play Heroes (XONE),https://www.metacritic.com/game/xbox-one/ok-ko!-lets-play-heroes
Okami HD (XONE),https://www.metacritic.com/game/xbox-one/okami-hd
Okinawa Rush (XONE),https://www.metacritic.com/game/xbox-one/okinawa-rush
OkunoKA Madness (XONE),https://www.metacritic.com/game/xbox-one/okunoka-madness
Old Man's Journey (XONE),https://www.metacritic.com/game/xbox-one/old-mans-journey
Olija (XONE),https://www.metacritic.com/game/xbox-one/olija
Oliver's Adventures in the Fairyland (XONE),https://www.metacritic.com/game/xbox-one/olivers-adventures-in-the-fairyland
OlliOlli (XONE),https://www.metacritic.com/game/xbox-one/olliolli
OlliOlli World (XONE),https://www.metacritic.com/game/xbox-one/olliolli-world
OlliOlli World: Finding the Flowzone (XONE),https://www.metacritic.com/game/xbox-one/olliolli-world-finding-the-flowzone
OlliOlli World: VOID Riders (XONE),https://www.metacritic.com/game/xbox-one/olliolli-world-void-riders
OlliOlli2: XL Edition (XONE),https://www.metacritic.com/game/xbox-one/olliolli2-xl-edition
Olympic Basketball Championship (XONE),https://www.metacritic.com/game/xbox-one/olympic-basketball-championship
Olympic Games Tokyo 2020: The Official Video Game (XONE),https://www.metacritic.com/game/xbox-one/olympic-games-tokyo-2020-the-official-video-game
Ombra (XONE),https://www.metacritic.com/game/xbox-one/ombra
Omega Strike (XONE),https://www.metacritic.com/game/xbox-one/omega-strike
OmegaBot (XONE),https://www.metacritic.com/game/xbox-one/omegabot
omegaGo (XONE),https://www.metacritic.com/game/xbox-one/omegago
Omen of Sorrow (XONE),https://www.metacritic.com/game/xbox-one/omen-of-sorrow
Omensight: Definitive Edition (XONE),https://www.metacritic.com/game/xbox-one/omensight-definitive-edition
OMNO (XONE),https://www.metacritic.com/game/xbox-one/omno
Omori (XONE),https://www.metacritic.com/game/xbox-one/omori
On A Roll 3D (XONE),https://www.metacritic.com/game/xbox-one/on-a-roll-3d
