title,url
S.W.A.N.: Chernobyl Unexplored (XONE),https://www.metacritic.com/game/xbox-one/swan-chernobyl-unexplored
Sable (XONE),https://www.metacritic.com/game/xbox-one/sable
Sable's Grimoire (XONE),https://www.metacritic.com/game/xbox-one/sables-grimoire
Sagebrush (XONE),https://www.metacritic.com/game/xbox-one/sagebrush
Sail Forth (XONE),https://www.metacritic.com/game/xbox-one/sail-forth
Saint Kotar (XONE),https://www.metacritic.com/game/xbox-one/saint-kotar
Saints Row (XONE),https://www.metacritic.com/game/xbox-one/saints-row
Saints Row IV: Re-Elected (XONE),https://www.metacritic.com/game/xbox-one/saints-row-iv-re-elected
Saints Row IV: Re-Elected & Gat Out of Hell (XONE),https://www.metacritic.com/game/xbox-one/saints-row-iv-re-elected-gat-out-of-hell
Saints Row: Gat Out of Hell (XONE),https://www.metacritic.com/game/xbox-one/saints-row-gat-out-of-hell
Saints Row: The Third Remastered (XONE),https://www.metacritic.com/game/xbox-one/saints-row-the-third-remastered
Salamander County Public Television (XONE),https://www.metacritic.com/game/xbox-one/salamander-county-public-television
Sally Face (XONE),https://www.metacritic.com/game/xbox-one/sally-face
Sally's Law (XONE),https://www.metacritic.com/game/xbox-one/sallys-law
Salt and Sanctuary (XONE),https://www.metacritic.com/game/xbox-one/salt-and-sanctuary
Sam & Max Save the World Remastered (XONE),https://www.metacritic.com/game/xbox-one/sam-max-save-the-world-remastered
Sam & Max: Beyond Time and Space Remastered (XONE),https://www.metacritic.com/game/xbox-one/sam-max-beyond-time-and-space-remastered
Samsara (XONE),https://www.metacritic.com/game/xbox-one/samsara
Samurai Aces (XONE),https://www.metacritic.com/game/xbox-one/samurai-aces
Samurai Aces III: Sengoku Cannon (XONE),https://www.metacritic.com/game/xbox-one/samurai-aces-iii-sengoku-cannon
Samurai Jack: Battle Through Time (XONE),https://www.metacritic.com/game/xbox-one/samurai-jack-battle-through-time
Samurai Shodown (XONE),https://www.metacritic.com/game/xbox-one/samurai-shodown
Samurai Shodown NeoGeo Collection (XONE),https://www.metacritic.com/game/xbox-one/samurai-shodown-neogeo-collection
"Samurai Shodown: DLC Character ""Baiken"" (XONE)",https://www.metacritic.com/game/xbox-one/samurai-shodown-dlc-character-baiken
"Samurai Shodown: DLC Character ""Basara"" (XONE)",https://www.metacritic.com/game/xbox-one/samurai-shodown-dlc-character-basara
"Samurai Shodown: DLC Character ""Cham Cham"" (XONE)",https://www.metacritic.com/game/xbox-one/samurai-shodown-dlc-character-cham-cham
"Samurai Shodown: DLC Character ""Hibiki Takane"" (XONE)",https://www.metacritic.com/game/xbox-one/samurai-shodown-dlc-character-hibiki-takane
"Samurai Shodown: DLC Character ""Iroha"" (XONE)",https://www.metacritic.com/game/xbox-one/samurai-shodown-dlc-character-iroha
"Samurai Shodown: DLC Character ""Kazuki"" (XONE)",https://www.metacritic.com/game/xbox-one/samurai-shodown-dlc-character-kazuki
"Samurai Shodown: DLC Character ""Mina Majikina"" (XONE)",https://www.metacritic.com/game/xbox-one/samurai-shodown-dlc-character-mina-majikina
