title,url
Table Soccer Foosball Live Edition (XONE),https://www.metacritic.com/game/xbox-one/table-soccer-foosball-live-edition
Table Top Racing: World Tour (XONE),https://www.metacritic.com/game/xbox-one/table-top-racing-world-tour
Tachyon Project (XONE),https://www.metacritic.com/game/xbox-one/tachyon-project
Taco Tom 2 (XONE),https://www.metacritic.com/game/xbox-one/taco-tom-2
Tacoma (XONE),https://www.metacritic.com/game/xbox-one/tacoma
Tacticool Champs (XONE),https://www.metacritic.com/game/xbox-one/tacticool-champs
"Tactics V: ""Obsidian Brigade"" (XONE)",https://www.metacritic.com/game/xbox-one/tactics-v-obsidian-brigade
Taiko no Tatsujin: The Drum Master! (XONE),https://www.metacritic.com/game/xbox-one/taiko-no-tatsujin-the-drum-master!
Tails of Iron (XONE),https://www.metacritic.com/game/xbox-one/tails-of-iron
Taimumari: Complete Edition (XONE),https://www.metacritic.com/game/xbox-one/taimumari-complete-edition
Tainted Grail: Conquest (XONE),https://www.metacritic.com/game/xbox-one/tainted-grail-conquest
Takorita Meets Fries (XONE),https://www.metacritic.com/game/xbox-one/takorita-meets-fries
Takotan (XONE),https://www.metacritic.com/game/xbox-one/takotan
Talent Not Included (XONE),https://www.metacritic.com/game/xbox-one/talent-not-included
Tales from the Borderlands: A Telltale Game Series (XONE),https://www.metacritic.com/game/xbox-one/tales-from-the-borderlands-a-telltale-game-series
Tales From The Borderlands: Episode 1 - Zer0 Sum (XONE),https://www.metacritic.com/game/xbox-one/tales-from-the-borderlands-episode-1---zer0-sum
Tales From The Borderlands: Episode 2 - Atlas Mugged (XONE),https://www.metacritic.com/game/xbox-one/tales-from-the-borderlands-episode-2---atlas-mugged
Tales From The Borderlands: Episode 3 - Catch A Ride (XONE),https://www.metacritic.com/game/xbox-one/tales-from-the-borderlands-episode-3---catch-a-ride
Tales From The Borderlands: Episode 4 - Escape Plan Bravo (XONE),https://www.metacritic.com/game/xbox-one/tales-from-the-borderlands-episode-4---escape-plan-bravo
Tales From The Borderlands: Episode 5 - The Vault of the Traveler (XONE),https://www.metacritic.com/game/xbox-one/tales-from-the-borderlands-episode-5---the-vault-of-the-traveler
Tales of Aravorn: Seasons Of The Wolf (XONE),https://www.metacritic.com/game/xbox-one/tales-of-aravorn-seasons-of-the-wolf
Tales of Arise (XONE),https://www.metacritic.com/game/xbox-one/tales-of-arise
Tales of Symphonia Remastered (XONE),https://www.metacritic.com/game/xbox-one/tales-of-symphonia-remastered
Tales of Vesperia: Definitive Edition (XONE),https://www.metacritic.com/game/xbox-one/tales-of-vesperia-definitive-edition
Talisman: Digital Edition (XONE),https://www.metacritic.com/game/xbox-one/talisman-digital-edition
Talking Tom Candy Run (XONE),https://www.metacritic.com/game/xbox-one/talking-tom-candy-run
Tamarin (XONE),https://www.metacritic.com/game/xbox-one/tamarin
Tamashii (XONE),https://www.metacritic.com/game/xbox-one/tamashii
Tamiku (XONE),https://www.metacritic.com/game/xbox-one/tamiku
Tandem: A Tale of Shadows (XONE),https://www.metacritic.com/game/xbox-one/tandem-a-tale-of-shadows
Tangle Tower (XONE),https://www.metacritic.com/game/xbox-one/tangle-tower
Tango Fiesta (XONE),https://www.metacritic.com/game/xbox-one/tango-fiesta
