title,url
UglyDolls: An Imperfect Adventure (XONE),https://www.metacritic.com/game/xbox-one/uglydolls-an-imperfect-adventure
Ultimate ADOM - Caverns of Chaos (XONE),https://www.metacritic.com/game/xbox-one/ultimate-adom---caverns-of-chaos
Ultimate Chicken Horse (XONE),https://www.metacritic.com/game/xbox-one/ultimate-chicken-horse
Ultimate Custom Night (XONE),https://www.metacritic.com/game/xbox-one/ultimate-custom-night
Ultimate Fishing Simulator (XONE),https://www.metacritic.com/game/xbox-one/ultimate-fishing-simulator
Ultimate Marvel vs. Capcom 3 (XONE),https://www.metacritic.com/game/xbox-one/ultimate-marvel-vs-capcom-3
Ultimate Massage (XONE),https://www.metacritic.com/game/xbox-one/ultimate-massage
Ultimate Racing 2D (XONE),https://www.metacritic.com/game/xbox-one/ultimate-racing-2d
Ultimate Ski Jumping 2020 (XONE),https://www.metacritic.com/game/xbox-one/ultimate-ski-jumping-2020
Ultimate Trivia (XONE),https://www.metacritic.com/game/xbox-one/ultimate-trivia
Ultra Hat Dimension (XONE),https://www.metacritic.com/game/xbox-one/ultra-hat-dimension
UltraGoodness 2 (XONE),https://www.metacritic.com/game/xbox-one/ultragoodness-2
Ultratron (XONE),https://www.metacritic.com/game/xbox-one/ultratron
Umurangi Generation Special Edition (XONE),https://www.metacritic.com/game/xbox-one/umurangi-generation-special-edition
Unalive (XONE),https://www.metacritic.com/game/xbox-one/unalive
Unbound: Worlds Apart (XONE),https://www.metacritic.com/game/xbox-one/unbound-worlds-apart
Unbox: Newbie's Adventure (XONE),https://www.metacritic.com/game/xbox-one/unbox-newbies-adventure
Uncanny Valley (XONE),https://www.metacritic.com/game/xbox-one/uncanny-valley
Uncharted Tides: Port Royal (XONE),https://www.metacritic.com/game/xbox-one/uncharted-tides-port-royal
Undead Horde (XONE),https://www.metacritic.com/game/xbox-one/undead-horde
Under Leaves (XONE),https://www.metacritic.com/game/xbox-one/under-leaves
Under The Jolly Roger (XONE),https://www.metacritic.com/game/xbox-one/under-the-jolly-roger
Under the Jolly Roger: Jade Sea (XONE),https://www.metacritic.com/game/xbox-one/under-the-jolly-roger-jade-sea
UnderDungeon (XONE),https://www.metacritic.com/game/xbox-one/underdungeon
Underhero (XONE),https://www.metacritic.com/game/xbox-one/underhero
Underland (XONE),https://www.metacritic.com/game/xbox-one/underland
Underland: The Climb (XONE),https://www.metacritic.com/game/xbox-one/underland-the-climb
UnderMine (XONE),https://www.metacritic.com/game/xbox-one/undermine
Undernauts: Labyrinth of Yomi (XONE),https://www.metacritic.com/game/xbox-one/undernauts-labyrinth-of-yomi
Undertale (XONE),https://www.metacritic.com/game/xbox-one/undertale
Underworld Ascendant (XONE),https://www.metacritic.com/game/xbox-one/underworld-ascendant
Undungeon (XONE),https://www.metacritic.com/game/xbox-one/undungeon
Unepic (XONE),https://www.metacritic.com/game/xbox-one/unepic
Unexplored 2: The Wayfarer's Legacy (XONE),https://www.metacritic.com/game/xbox-one/unexplored-2-the-wayfarers-legacy
Unexplored: Unlocked Edition (XONE),https://www.metacritic.com/game/xbox-one/unexplored-unlocked-edition
UnFlappy (XONE),https://www.metacritic.com/game/xbox-one/unflappy
Unichrome: A 1-bit Unicorn Adventure (XONE),https://www.metacritic.com/game/xbox-one/unichrome-a-1-bit-unicorn-adventure
Unit 4 (XONE),https://www.metacritic.com/game/xbox-one/unit-4
United Assault - Battle of the Bulge (XONE),https://www.metacritic.com/game/xbox-one/united-assault---battle-of-the-bulge
United Assault - Normandy '44 (XONE),https://www.metacritic.com/game/xbox-one/united-assault---normandy-44
Unknown Fate (XONE),https://www.metacritic.com/game/xbox-one/unknown-fate
Unmechanical: Extended Edition (XONE),https://www.metacritic.com/game/xbox-one/unmechanical-extended-edition
UnMetal (XONE),https://www.metacritic.com/game/xbox-one/unmetal
Unnamed Fiasco (XONE),https://www.metacritic.com/game/xbox-one/unnamed-fiasco
Uno (XONE),https://www.metacritic.com/game/xbox-one/uno
Uno Flip! (XONE),https://www.metacritic.com/game/xbox-one/uno-flip!
Uno: 50th Anniversary (XONE),https://www.metacritic.com/game/xbox-one/uno-50th-anniversary
Unpacking (XONE),https://www.metacritic.com/game/xbox-one/unpacking
Unrailed! (XONE),https://www.metacritic.com/game/xbox-one/unrailed!
Unravel (XONE),https://www.metacritic.com/game/xbox-one/unravel
Unravel Two (XONE),https://www.metacritic.com/game/xbox-one/unravel-two
Unravel: Yarny Bundle (XONE),https://www.metacritic.com/game/xbox-one/unravel-yarny-bundle
Unruly Heroes (XONE),https://www.metacritic.com/game/xbox-one/unruly-heroes
Unsighted (XONE),https://www.metacritic.com/game/xbox-one/unsighted
Unsouled (XONE),https://www.metacritic.com/game/xbox-one/unsouled
Unspottable (XONE),https://www.metacritic.com/game/xbox-one/unspottable
