title,url
V-Rally 4 (XONE),https://www.metacritic.com/game/xbox-one/v-rally-4
Vaccine (XONE),https://www.metacritic.com/game/xbox-one/vaccine
Vagante (XONE),https://www.metacritic.com/game/xbox-one/vagante
Valentino Rossi The Game (XONE),https://www.metacritic.com/game/xbox-one/valentino-rossi-the-game
Valfaris (XONE),https://www.metacritic.com/game/xbox-one/valfaris
Valhalla Hills: Definitive Edition (XONE),https://www.metacritic.com/game/xbox-one/valhalla-hills-definitive-edition
Valiant Hearts: The Great War (XONE),https://www.metacritic.com/game/xbox-one/valiant-hearts-the-great-war
ValiDate: Struggling Singles in your Area (XONE),https://www.metacritic.com/game/xbox-one/validate-struggling-singles-in-your-area
Valkyria Chronicles 4 (XONE),https://www.metacritic.com/game/xbox-one/valkyria-chronicles-4
Valkyria Chronicles 4: A Captainless Squad (XONE),https://www.metacritic.com/game/xbox-one/valkyria-chronicles-4-a-captainless-squad
Valkyria Chronicles 4: A United Front with Squad 7 (XONE),https://www.metacritic.com/game/xbox-one/valkyria-chronicles-4-a-united-front-with-squad-7
Valkyria Chronicles 4: Complete Edition (XONE),https://www.metacritic.com/game/xbox-one/valkyria-chronicles-4-complete-edition
Valkyria Chronicles 4: Edy's Advance Ops (XONE),https://www.metacritic.com/game/xbox-one/valkyria-chronicles-4-edys-advance-ops
Valkyria Chronicles 4: Expert Level Skirmishes (XONE),https://www.metacritic.com/game/xbox-one/valkyria-chronicles-4-expert-level-skirmishes
"Valkyria Chronicles 4: Squad E, to the Beach! (XONE)",https://www.metacritic.com/game/xbox-one/valkyria-chronicles-4-squad-e-to-the-beach!
Valkyria Chronicles 4: The Two Valkyria (XONE),https://www.metacritic.com/game/xbox-one/valkyria-chronicles-4-the-two-valkyria
Valkyria Revolution (XONE),https://www.metacritic.com/game/xbox-one/valkyria-revolution
Valley (XONE),https://www.metacritic.com/game/xbox-one/valley
Vambrace: Cold Soul (XONE),https://www.metacritic.com/game/xbox-one/vambrace-cold-soul
Vampire Survivors (XONE),https://www.metacritic.com/game/xbox-one/vampire-survivors
Vampire Survivors: Legacy of the Moonspell (XONE),https://www.metacritic.com/game/xbox-one/vampire-survivors-legacy-of-the-moonspell
Vampire's Fall: Origins (XONE),https://www.metacritic.com/game/xbox-one/vampires-fall-origins
Vampire: The Masquerade - Coteries of New York (XONE),https://www.metacritic.com/game/xbox-one/vampire-the-masquerade---coteries-of-new-york
Vampire: The Masquerade - Shadows of New York (XONE),https://www.metacritic.com/game/xbox-one/vampire-the-masquerade---shadows-of-new-york
Vampire: The Masquerade - Swansong (XONE),https://www.metacritic.com/game/xbox-one/vampire-the-masquerade---swansong
Vampyr (XONE),https://www.metacritic.com/game/xbox-one/vampyr
Vanquish (XONE),https://www.metacritic.com/game/xbox-one/vanquish
Vaporum (XONE),https://www.metacritic.com/game/xbox-one/vaporum
Vaporum: Lockdown (XONE),https://www.metacritic.com/game/xbox-one/vaporum-lockdown
Varenje (XONE),https://www.metacritic.com/game/xbox-one/varenje
Vasara Collection (XONE),https://www.metacritic.com/game/xbox-one/vasara-collection
Vasilis (XONE),https://www.metacritic.com/game/xbox-one/vasilis
Vector Blade (XONE),https://www.metacritic.com/game/xbox-one/vector-blade
Vegas Party (XONE),https://www.metacritic.com/game/xbox-one/vegas-party
Vegas Tales (XONE),https://www.metacritic.com/game/xbox-one/vegas-tales
VEGGIE KILLER (XONE),https://www.metacritic.com/game/xbox-one/veggie-killer
